rank,song,artist,Previous week,weeks on chart
1,Crown Of Clay (feat. Pheelz),"Vector,  Khaligraph Jones and  Dip Doundou Guiss",1,6
2,Tycoon,Show Dem Camp,5,7
3,Jack,Nasty C,2,7
4,Vibration,Sarkodie and  VIC MENSA,8,7
5,Coachella (feat. Kwesi Arthur),Sarkodie and  Kwesi Arthur,3,4
6,Heartbreaker (feat. Nasty C),Blaqbonez,4,7
7,Second Sermon,Black Sherif,6,7
8,Sore (Remix),"Yaw Tog, Stormzy & Kwesi Arthur",10,7
9,Euphoria,PsychoYP,7,7
10,First Sermon,Black Sherif,9,7
11,Align ft. LadiPoe,Show Dem Camp,20,7
12,Feeling,LADIPOE and  Buju,11,7
13,Best I Ever Had,Nasty C,12,4
14,Sinner,"Smallgod, Headie One, O'Kenneth",24,4
15,Omo X 100 ft. Olamide,Reminisce,14,4
16,Winning (Official Music Video) (feat. VIC MENSA),Kwesi Arthur,15,5
17,"Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O\'Kenneth)",Jay Bahd,17,7
18,Check Yourself,Kaptain,19,4
19,vipers,Show Dem Camp,0,1
20,early momo,Vector,0,1
21,All My Life (feat. Oxlade),M.I Abaga,21,4
22,Midf (Money I Dey Find),Ycee,23,6
23,No Fear (feat. Moliy),M.anifest,30,5
24,Black And White,Nasty C,27,3
25,TBDK (feat. Sinzu & Erigga),M.I Abaga,22,4
26,KOLO (feat. Oxlade),Ice Prince ,26,4
27,Rappers (feat. Dremo),Dreylo feat. Dremo,25,4
28,Hmm,G4 Boyz,32,5
29,Yafun Yafun,Ajebo Hustlers,29,2
30,Question For The Gods,M3NSA,28,5
31,Ofr3,$pacely,31,2
32,Call Me Baby,Cheque,34,4
33,married to the game,TenTik,0,1
34,Ye x4,Blxckie,13,2
35,wavy,Khaligraph Jones,0,1
36,loose guard,Legendary Styles & Falz,0,1
37,"Kubo (feat. Bassie, Focalistic & K.O.)","Kwesta featuring K.O, Focalistic and Bassie",33,4
38,Who Be This Guy (feat. FALZ & M.I ABAGA),Kheengz,37,4
39,Rise Of The Underdogs 2 ft. Tomi Thomas,Show Dem Camp featuring Tomi Thomas,39,5
40,Decisions,Jay Bahd,36,4
41,Breathe (feat. Chike),A-Q,18,2
42,My Crew (feat. Lil5ive),Kiiwii,16,3
43,DKM (Ma Pa Mi),Loti,40,5
44,I Want,Chris Kaiga,42,2
45,system,Dave,0,1
46,Feel,Mrolaide ,44,2
47,Dimension ft. Skepta & Rema,Jae5,45,2
48,Koleyewon,Naira Marley,46,2
49,matriculation,PlaTBoss,0,1
50,hustler's tale,PlaTBoss,0,1
