Position,song,artist,album
1,Somebody (feat. Phyno),Olamide,UY Scuti
2,Rise of the Underdogs 2 (feat. Tomi Thomas),Show Dem Camp,Clone Wars Vol. 5 - The Algorhythm
3,Omo X 100 (feat. Olamide),Reminisce,Omo X 100 (feat. Olamide) - Single
4,Survive (feat. Olamide),Jaido P,Shopla - EP
5,Loyal,Acebergtm,Far from Home - EP
6,Feeling,"LADIPOE, Buju",Feeling - Single
7,Makola Dreams (feat. M.anifest),Omar Sterling,Same Earth Different Worlds
8,Decisions (feat. Sean Lifer),Jay Bahd,RETURN OF OKOMFO ANOKYE
9,"Akata Gang Gang (feat. O\'Kenneth, Pappy Kojo, Skyface SDW, Kawabanga & Jay Bahd)",Reggie,2 TIMES A GUY
10,Missing You,Dead Peepol,Missing You - Single
11,Bigger Picture,Thutmose,Bigger Picture - Single
12,Euphoria,PsychoYP,Euphoria - Single
13,"Dkm (Ma Pa Mi) [feat. PsychoYP, Eeskay & Magna.]",Loti,"Dkm (Ma Pa Mi) [feat. PsychoYP, Eeskay & Magna.] - Single"
14,Korope,"Lil Kesh, Naira Marley",Korope - Single
15,50 Miss Calls (Drill Mix),"Tony Ross, JoeBoy, Layzee Ellai",50 Miss Calls (Drill Mix) - Single
16,Yaya Tour\xc3\xa9,Yung Mavu,Heathens / Yaya Tour\xc3\xa9 - Single
17,One Time (feat. Lioness),Willy Monfret,One Time (feat. Lioness) - Single
18,I Want (feat. Mutoriah),Chris Kaiga,I Want (feat. Mutoriah) - Single
19,Ye X 4,"Blxckie, Nasty C",B4now
20,Makaveli,Kida Kudz,TOP MEMBA
21,Best I Ever Had,Nasty C,Best I Ever Had - Single
22,Heartbreaker (feat. Nasty C),Blaqbonez,Sex Over Love
23,Jailer (feat. Jaywillz),Olamide,UY Scuti
24,Stay With Me,Layzee Ella,When The Lights Go Off - EP
25,Gidi Flex,KingJayy,Gidi Flex - Single
26,Eyes off Me,Stella Mwangi,Eyes off Me - Single
27,Coachella,"Sarkodie, Kwesi Arthur",Coachella - Single
28,"Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O\'Kenneth)",Jay Bahd,"Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O\'Kenneth) - Single"
29,Ama,Medikal,Ama - Single
30,Married to the Game,TenTik,Married to the Game - Single
31,First Sermon,Black Sherif,First Sermon - Single
32,Network,Twist,Network - Single
33,Sika (feat. Sarkodie & Kweku Flick) [Remix],Sista Afia,Sika (Remix) [feat. Sarkodie & Kweku Flick] - Single
34,NDOVU NI KUU (feat. KHALIGRAPH JONES & BOUTROSS MUNENE),arcane krispah,NDOVU NI KUU (feat. KHALIGRAPH JONES & BOUTROSS MUNENE) - Single
35,History,"Cheque, Fireboy DML",History - Single
36,RBG,Elzo Jamdong,RBG - Single
37,Nikwa Ni Shoke,Khaligraph Jones,Nikwa Ni Shoke - Single
38,eKAPA,"Mark Akol, Sipho the Gift",eKAPA - Single
39,Skrrr! (feat. Zilla Oaks),SLIMN Major,Synergy
40,Rock,Olamide,UY Scuti
41,Breathe (feat. Chike),A-Q,Golden
42,In the Night (feat. Zap),Mazi Codex,In the Night (feat. Zap) - Single
43,Safara,Papeush the Ghost,Safara - Single
44,Bruxos,Pongo,Bruxos - Single
45,LovLov,Fik Fameica,LovLov - Single
46,Ere Beketemaw,Lij Michael,Atgebam Alugn
47,Mask Off (feat. KobbyRockz),Jay Erl,Mask Off (feat. KobbyRockz) - Single
48,"This One Loud Oh! (feat. Dremo, The Flowolf & Ike Exclusive)",AO - MACHINE,"This One Loud Oh! (feat. Ike Exclusive, The Flowolf & Dremo) - Single"
49,Dawn,Kay-T,Dawn - Single
50,"On Fire (feat. 4eb, Aye Jones & Kenny wilde)",urbanroll,"On Fire (feat. 4eb, Aye Jones & Kenny wilde) - Single"
51,Mr Talk and Do (feat. Odumodublvck & XL SPIFF),Reeplay,Mr Talk and Do (feat. Odumodublvck & XL SPIFF) - Single
52,Understanding Love (Extended),"DarkoVibes, Runtown",Understanding Love (Extended) - Single
53,Nomakanjani,Costa Titch,Nomakanjani - Single
54,Big Toy,"Jojo Sk, Elias Tag\'em",HOLISTIQUE LOVER
55,Deep In Da Streets,TNT Kenya,Deep In Da Streets - Single
56,Corns (Freestyle),"BURUKLYN BOYZ, AJAY",Corns (Freestyle) - Single
57,Winning (feat. VIC MENSA),Kwesi Arthur,Winning (feat. VIC MENSA) - Single
58,Long Way,Emtee,LOGAN
59,Feelin U (feat. Mi Casa & Blxckie),Gigi Lamayne,Mermaids and Stuff
60,Who Be This Guy (feat. Falz & M.I Abaga),Kheengz,Who Be This Guy (feat. Falz & M.I Abaga) - Single
61,Yarn Dust,Delis,Yarn Dust - Single
62,Heavy On the Game,Hugo P,Resurrection
63,Fresh (feat. Samba Peuzzi),Iss 814,Fresh - Single
64,All My Life (feat. Oxlade),M.I Abaga,All My Life (feat. Oxlade) - Single
65,Magun 2.0 (feat. TROD & Kabex),OG Hyper,Magun 2.0 (feat. TROD & Kabex) - Single
66,Mehia Sika (feat. Dead Peepol),ZACK GH,Mehia Sika (feat. Dead Peepol) - Single
67,Batman Remix (feat. Miles Caliph),Tobii WTW,Batman Remix (feat. Miles Caliph) - Single
68,"Ka$h App (feat. Denz\'l, Kiienka, Begho & Bolaryn)",Beezyx,"Ka$h App (feat. Denz\'l, Kiienka, Begho & Bolaryn) - Single"
69,Hut,Blxckie,B4now
70,Amadlozi,Mondo Dusk,Amadlozi - Single
71,The Warm Up,Bolu,The Warm Up - Single
72,Sahwira,Holy Ten,Risky Life
73,I Be Your Mate (feat. Magnito),L Easy,The Maturation
74,Bible N Rifle,Biy Martins,Bible N Rifle - Single
75,What You Telling Me,Zilla Oaks,No Zzzz 2
