rank,song,artist,Previous week,weeks on chart
1,Omo X 100 ft. Olamide,Reminisce,5,2
2,Rise Of The Underdogs 2 ft. Tomi Thomas,Show Dem Camp,1,3
3,Breathe (feat. Chike),A-Q,8,3
4,Jack,Nasty C,32,3
5,Coachella (feat. Kwesi Arthur),"Sarkodie, Kwesi Arthur",6,2
6,Early Momo (feat. Good Girl La),Vector,9,3
7,Heartbreaker (feat. Nasty C),Blaqbonez,2,3
8,Who Be This Guy (feat. FALZ & M.I ABAGA),Kheengz,3,3
9,Euphoria,PsychoYP,4,3
10,Check Yourself,Kaptain,21,3
11,All My Life (feat. Oxlade),M.I Abaga,22,3
12,Crown Of Clay (feat. Pheelz),Vector,12,3
13,Rappers (feat. Dremo),Dreylo feat. Dremo,19,3
14,KOLO (feat. Oxlade),Ice Prince,13,3
15,No Fear (feat. Moliy),M.anifest,10,3
16,My Crew (feat. Lil5ive),Kiiwii,0,1
17,Sore (Remix),"Yaw Tog, Stormzy & Kwesi Arthur",11,3
18,"Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O\'Kenneth)",Jay Bahd,14,3
19,First Sermon,Black Sherif,15,2
20,"Kubo (feat. Bassie, Focalistic & K.O.)","Kwesta featuring K.O, Focalistic and Bassie",18,3
21,Mehia Sika (feat. Dead Peepol),ZACK GH,16,2
22,Winning (Official Music Video) (feat. VIC MENSA),Kwesi Arthur,17,2
23,Feel,Mrolaide ,0,1
24,Dimension ft. Skepta & Rema,Jae5,0,1
25,Koleyewon,Naira Marley,0,1
26,Many Nites,Erigga,0,1
27,Dick Appointment,Erigga,0,1
28,Wahala Dey,Erigga,0,1
29,LV N ATTN feat. Wizkid ft. Sarz & Wizkid,Lojay,0,1
30,Late At Night,Roddy Ricch,0,1
31,For the Money ft. Peruzzi,Phyno,0,1
32,Ego ft. Jeriq,Dremo,0,1
33,I No Wear Pant,Erigga,0,1
34,Voice of the Heroes ft. Lil Durk,LiL Baby,0,1
35,The End,Erigga,0,1
36,East To West ft. Jeriq,Dremo,0,1
37,Dior,Pop Smoke,0,1
38,Stay High,Juice WRLD,0,1
39,Dont Die Alive,Erigga,0,1
40,Mood Swings ft. Lil Tjay,Pop Smoke,0,1
41,LET IT GO ft. Justin Bieber & 21 Savage,DJ Khaled,0,1
42,Problem,Kaptain,0,1
43,Having Our Way ft. Drake,Migos,0,1
44,Rich Off Pain ft. Lil Durk & Rod Wave,LiL Baby,0,1
45,Wishing Well,Juice WRLD,0,1
46,Ball If I Want To,DaBaby,0,1
47,With My Hands,"Sinach, Micah Stampley",0,1
48,RAPSTAR,POLO G,0,1
49,Secure The Bag ft. Jeriq,Dremo,0,1
50,Ndenzel' Uncedo Hymn 377 - Live,Joyous Celebration,0,1
