rank,song,artist,Previous week,weeks on chart
1,Soundgasm,Rema,1,2
2,Real,Tim Lyre,5,2
3,PEAKING,Tay Iwar,2,2
4,Table for Two,Bella Alubo,4,2
5,Confident   ,Savage and  Buju,6,2
6,SPUNK,WurlD,0,1
7,FANCY   ,Niinety9,7,2
8,Pray,Victony,24,2
9,Rise Of The Underdogs 2 (feat. Tomi Thomas) ,Show Dem Camp,10,2
10,Cocaine   ,Dai Verse,8,2
11,Right Back (feat. Buju) ,Skaa and  Buju,17,2
12,Gone Girl,Obongjayar and  Sarz,0,1
13,Peace   ,Mannywellz and  Tems,0,1
14,Company,Twiss Tosin & Zen Univrse,9,2
15,MKD   ,Skillz 8Figure,0,1
16,Bling (feat. Amaarae & Buju),Blaqbonez,13,2
17,Euphoria,Hoodini,21,2
18,All Mine Remix (feat. Buju) ,Kinsolo,0,1
19,Ball Till We Fall (feat. Bella Shmurda) ,Kida Kudz,20,2
20,Guala,Teezee,27,2
21,Fallin' Hard,The.wav,0,1
22,Early Momo,Vector,14,2
23,Dark Twisted Fantasy,T'neeya,3,2
24,Times Two (X2) (feat. Buju) ,WANI,15,2
25,Caribbeana,Wondamagik and  Ogranya,12,2
26,LUV HRTS,Zamir featuring Odunsi (The Engine),11,2
27,Harmonies,Wavy The Creator,0,1
28,Money & Laughter,BOJ,26,2
29,Sweatshirt   ,April Maey,18,2
30,three5zero,DETO BLACK,0,1
31,Fever,Yung D3mz,19,2
32,Lagos Bad Girls,Bils,22,2
33,Amnesia,Zamir,0,1
34,Brag,DETO BLACK,29,2
35,Sacrifices (feat. Tim Lyre),DAP The Contract,28,2
36,Smile For You (feat. Oxlade) ,Mizzle featuring Oxlade,31,2
37,Pull Up   ,Gabzy,32,2
38,Let U Down (feat. CIll) ,Sigag Lauren,33,2
39,Beautifully   ,Fave,34,2
40,How Dare You   ,Joda Kgosi,35,2
41,GAMBLE   ,Kholi,36,2
42,Pay Me,Oxlade and  Troniq Music,0,1
43,Peru,Fireboy DML,0,1
44,Essence (feat. Tems) ,Wizkid,38,2
45,Cakes (feat. PatricKxxLee & KashCPT) ,Straffitti featuring PatricKxxLee and KashCPT,40,2
46,Wreckless Tactics   ,TRiPPY TRiPPY,42,2
47,Gbese,Ogranya and  Show Dem Camp,0,1
48,Paradise   ,4Runna,44,2
49,Understand,Omah Lay,41,2
50,I Miss You   ,Joda Kgosi,45,2
