rank,song,artist,Previous week,weeks on chart
1,Soundgasm,Rema,1,3
2,Real,Tim Lyre,2,3
3,PEAKING,Tay Iwar,3,3
4,Table for Two,Bella Alubo,4,3
5,Confident   ,Savage and  Buju,5,3
6,Cocaine   ,Dai Verse,10,2
7,Pray,Victony,8,3
8,FANCY   ,Niinety9,7,3
9,SPUNK,WurlD,6,3
10,Rise Of The Underdogs 2 (feat. Tomi Thomas) ,Show Dem Camp,9,3
11,Right Back (feat. Buju) ,Skaa and  Buju,11,3
12,Amnesia,Zamir,33,2
13,Harmonies,Wavy The Creator,27,2
14,Peace   ,Mannywellz and  Tems,13,3
15,Company,Twiss Tosin & Zen Univrse,14,2
16,Bling (feat. Amaarae & Buju),Blaqbonez,16,3
17,MKD   ,Skillz 8Figure,15,3
18,Gone Girl,Obongjayar and  Sarz,12,2
19,Ball Till We Fall (feat. Bella Shmurda) ,Kida Kudz,19,3
20,All Mine Remix (feat. Buju) ,Kinsolo,18,3
21,Guala,Teezee,20,2
22,Money & Laughter,BOJ,28,3
23,Euphoria,Hoodini,17,3
24,Times Two (X2) (feat. Buju) ,WANI,24,3
25,Dark Twisted Fantasy,T'neeya,23,3
26,Caribbeana,Wondamagik and  Ogranya,25,3
27,Tonight,Ginius,0,1
28,Fever,Yung D3mz,31,3
29,Lagos Bad Girls,Bils,32,3
30,Fallin' Hard,The.wav,21,2
31,three5zero,DETO BLACK,30,3
32,Brag,DETO BLACK,34,3
33,Smile For You (feat. Oxlade) ,Mizzle featuring Oxlade,36,2
34,Pull Up   ,Gabzy,37,3
35,Let U Down (feat. CIll) ,Sigag Lauren,38,3
36,Beautifully   ,Fave,39,3
37,How Dare You   ,Joda Kgosi,40,3
38,GAMBLE   ,Kholi,41,3
39,Pay Me,Troniq Music and  Oxlade,42,3
40,Understand,Omah Lay,49,3
41,LUV HRTS,Zamir featuring Odunsi (The Engine),26,3
42,Essence (feat. Tems) ,Wizkid,44,2
43,Cakes (feat. PatricKxxLee & KashCPT) ,Straffitti featuring PatricKxxLee and KashCPT,45,2
44,Peru,Fireboy DML,43,3
45,Wreckless Tactics   ,TRiPPY TRiPPY,46,3
46,Paradise   ,4Runna,48,3
47,Pretend (feat. Tay Iwar),Zamir,0,1
48,I Miss You   ,Joda Kgosi,50,3
49,Frenemies (feat. Oxlade),Rexxie,0,1
50,Mood (feat. Buju),Wizkid,0,1
