rank,song,artist,apple,boom,youtube,RT
1,Soundgasm,Rema,36,2,31,23.0
2,Real,Tim Lyre,44,91,2,45.666666666666664
3,PEAKING,Tay Iwar,82,5,62,49.666666666666664
4,Table for Two,Bella Alubo,78,89,73,80.0
5,Confident   ,Savage and  Buju,16,7,450,157.66666666666666
6,SPUNK,WurlD,6,510,1,172.33333333333334
7,FANCY   ,Niinety9,42,28,450,173.33333333333334
8,Pray,Victony,11,510,6,175.66666666666666
9,Rise Of The Underdogs 2 (feat. Tomi Thomas) ,Show Dem Camp,79,8,450,179.0
10,Cocaine   ,Dai Verse,41,47,450,179.33333333333334
11,Right Back (feat. Buju) ,Skaa and  Buju,37,56,450,181.0
12,Gone Girl,Obongjayar and  Sarz,38,510,3,183.66666666666666
13,Peace   ,Mannywellz and  Tems,4,97,450,183.66666666666666
14,Company,Twiss Tosin & Zen Univrse,500,11,42,184.33333333333334
15,MKD   ,Skillz 8Figure,13,95,450,186.0
16,Bling (feat. Amaarae & Buju),Blaqbonez,35,510,26,190.33333333333334
17,Euphoria,Hoodini,21,510,43,191.33333333333334
18,All Mine Remix (feat. Buju) ,Kinsolo,32,92,450,191.33333333333334
19,Ball Till We Fall (feat. Bella Shmurda) ,Kida Kudz,57,68,450,191.66666666666666
20,Guala,Teezee,500,55,28,194.33333333333334
21,Fallin' Hard,The.wav,29,510,49,196.0
22,Early Momo,Vector,67,510,12,196.33333333333334
23,Dark Twisted Fantasy,T'neeya,500,18,75,197.66666666666666
24,Times Two (X2) (feat. Buju) ,WANI,59,90,450,199.66666666666666
25,Caribbeana,Wondamagik and  Ogranya,68,510,23,200.33333333333334
26,LUV HRTS,Zamir featuring Odunsi (The Engine),500,12,93,201.66666666666666
27,Harmonies,Wavy The Creator,1,510,100,203.66666666666666
28,Money & Laughter,BOJ,17,510,85,204.0
29,Sweatshirt   ,April Maey,77,87,450,204.66666666666666
30,three5zero,DETO BLACK,500,94,27,207.0
31,Fever,Yung D3mz,66,510,47,207.66666666666666
32,Lagos Bad Girls,Bils,500,75,53,209.33333333333334
33,Amnesia,Zamir,14,510,105,209.66666666666666
34,Brag,DETO BLACK,500,88,74,220.66666666666666
35,Sacrifices (feat. Tim Lyre),DAP The Contract,80,510,87,225.66666666666666
36,Smile For You (feat. Oxlade) ,Mizzle featuring Oxlade,500,1,450,317.0
37,Pull Up   ,Gabzy,500,3,450,317.6666666666667
38,Let U Down (feat. CIll) ,Sigag Lauren,500,4,450,318.0
39,Beautifully   ,Fave,500,6,450,318.6666666666667
40,How Dare You   ,Joda Kgosi,500,9,450,319.6666666666667
41,GAMBLE   ,Kholi,500,10,450,320.0
42,Pay Me,Oxlade and  Troniq Music,2,510,450,320.6666666666667
43,Peru,Fireboy DML,3,510,450,321.0
44,Essence (feat. Tems) ,Wizkid,500,13,450,321.0
45,Cakes (feat. PatricKxxLee & KashCPT) ,Straffitti featuring PatricKxxLee and KashCPT,500,14,450,321.3333333333333
46,Wreckless Tactics   ,TRiPPY TRiPPY,500,15,450,321.6666666666667
47,Gbese,Ogranya and  Show Dem Camp,5,510,450,321.6666666666667
