rank,song,artist,Previous week,weeks on chart
1,Soundgasm,Rema,1,4
2,PEAKING,Tay Iwar,3,4
3,Real,Tim Lyre,2,4
4,Table for Two,Bella Alubo,4,4
5,Confident   ,Savage and  Buju,5,4
6,Cocaine   ,Dai Verse,6,3
7,Pray,Victony,7,4
8,Harmonies,Wavy The Creator,13,4
9,FANCY   ,Niinety9,8,4
10,SPUNK,WurlD,9,4
11,Free Mind,Tems,0,1
12,Rise Of The Underdogs 2 (feat. Tomi Thomas) ,Show Dem Camp,10,3
13,Right Back (feat. Buju) ,Skaa and  Buju,11,3
14,MKD   ,Skillz 8Figure,17,4
15,Amnesia,Zamir,12,3
16,Company,Twiss Tosin & Zen Univrse,15,4
17,Gone Girl,Obongjayar and  Sarz,18,4
18,All Mine Remix (feat. Buju) ,Kinsolo,20,3
19,Peace   ,Mannywellz and  Tems,14,4
20,Money Medicine   ,Laime,0,1
21,Euphoria,Hoodini,23,3
22,Fever,Yung D3mz,28,4
23,Guala,Teezee,21,4
24,Dark Twisted Fantasy,T'neeya,25,4
25,Times Two (X2) (feat. Buju) ,WANI,24,4
26,Tonight,Ginius,27,4
27,Caribbeana,Wondamagik and  Ogranya,26,2
28,Money & Laughter,BOJ,22,4
29,Fallin' Hard,The.wav,30,4
30,Lagos Bad Girls,Bils,29,3
31,Brag,DETO BLACK,32,4
32,Bling (feat. Amaarae & Buju),Blaqbonez,16,4
33,Smile For You (feat. Oxlade) ,Mizzle featuring Oxlade,33,3
34,Pull Up   ,Gabzy,34,4
35,Let U Down (feat. CIll) ,Sigag Lauren,35,4
36,Beautifully   ,Fave,36,4
37,How Dare You   ,Joda Kgosi,37,4
38,GAMBLE   ,Kholi,38,4
39,LUV HRTS,Zamir featuring Odunsi (The Engine),41,4
40,Satisfy My Soul,Ria Sean,0,1
41,Cakes (feat. PatricKxxLee & KashCPT) ,Straffitti featuring PatricKxxLee and KashCPT,43,4
42,Pay Me,Troniq Music and  Oxlade,39,3
43,Wreckless Tactics   ,TRiPPY TRiPPY,45,3
44,Peru,Fireboy DML,44,4
45,Understand,Omah Lay,40,4
46,Paradise   ,4Runna,46,4
47,I Miss You   ,Joda Kgosi,48,2
48,Outside,Buju,0,1
49,Where (Has the Time Gone)   ,Bey T,0,1
50,Showtime (feat. Azanti),Zarion Uti,0,1
