rank,song,artist,apple,boom,youtube,RT
1,Soundgasm,Rema,43,2,38,27.666666666666668
2,Real,Tim Lyre,50,91,15,52.0
3,PEAKING,Tay Iwar,83,5,69,52.333333333333336
4,Table for Two,Bella Alubo,79,89,82,83.33333333333333
5,Confident   ,Savage and  Buju,23,7,450,160.0
6,Cocaine   ,Dai Verse,9,47,450,168.66666666666666
7,Pray,Victony,4,510,5,173.0
8,FANCY   ,Niinety9,48,28,450,175.33333333333334
9,SPUNK,WurlD,15,510,12,179.0
10,Rise Of The Underdogs 2 (feat. Tomi Thomas) ,Show Dem Camp,81,8,450,179.66666666666666
11,Right Back (feat. Buju) ,Skaa and  Buju,44,56,450,183.33333333333334
12,Amnesia,Zamir,22,510,21,184.33333333333334
13,Harmonies,Wavy The Creator,3,510,41,184.66666666666666
14,Peace   ,Mannywellz and  Tems,11,97,450,186.0
15,Company,Twiss Tosin & Zen Univrse,500,11,49,186.66666666666666
16,Bling (feat. Amaarae & Buju),Blaqbonez,42,510,10,187.33333333333334
17,MKD   ,Skillz 8Figure,20,95,450,188.33333333333334
18,Gone Girl,Obongjayar and  Sarz,45,510,11,188.66666666666666
19,Ball Till We Fall (feat. Bella Shmurda) ,Kida Kudz,60,68,450,192.66666666666666
20,All Mine Remix (feat. Buju) ,Kinsolo,40,92,450,194.0
21,Guala,Teezee,500,55,31,195.33333333333334
22,Money & Laughter,BOJ,24,510,57,197.0
23,Euphoria,Hoodini,32,510,50,197.33333333333334
24,Times Two (X2) (feat. Buju) ,WANI,63,90,450,201.0
25,Dark Twisted Fantasy,T'neeya,500,18,85,201.0
26,Caribbeana,Wondamagik and  Ogranya,74,510,28,204.0
27,Tonight,Ginius,10,510,92,204.0
28,Fever,Yung D3mz,73,510,46,209.66666666666666
29,Lagos Bad Girls,Bils,500,75,61,212.0
30,Fallin' Hard,The.wav,80,510,55,215.0
31,three5zero,DETO BLACK,500,94,71,221.66666666666666
32,Brag,DETO BLACK,500,88,83,223.66666666666666
