rank,song,artist,apple,boom,youtube,RT
1,Soundgasm,Rema,61,2,70,44.333333333333336
2,PEAKING,Tay Iwar,80,5,80,55.0
3,Table for Two,Bella Alubo,83,88,29,66.66666666666667
4,Real,Tim Lyre,68,90,43,67.0
5,Confident   ,Savage and  Buju,39,7,450,165.33333333333334
6,Cocaine   ,Dai Verse,26,46,450,174.0
7,Free Mind,Tems,13,510,1,174.66666666666666
8,Rise Of The Underdogs 2 (feat. Tomi Thomas) ,Show Dem Camp,84,8,450,180.66666666666666
9,FANCY   ,Niinety9,66,27,450,181.0
10,Pray,Victony,23,510,11,181.33333333333334
11,Peace   ,Mannywellz and  Tems,7,96,450,184.33333333333334
12,Harmonies,Wavy The Creator,20,510,26,185.33333333333334
13,Walahi (feat. Tidé),Faym Official,9,510,42,187.0
14,Right Back (feat. Buju) ,Skaa and  Buju,62,55,450,189.0
15,Money & Laughter,BOJ,40,510,23,191.0
16,MKD   ,Skillz 8Figure,36,94,450,193.33333333333334
17,Euphoria,Hoodini,48,510,22,193.33333333333334
18,SPUNK,WurlD,31,510,40,193.66666666666666
19,All Mine Remix (feat. Buju) ,Kinsolo,58,91,450,199.66666666666666
20,Dark Twisted Fantasy,T'neeya,500,17,84,200.33333333333334
21,Money Medicine   ,Laime,56,97,450,201.0
22,Gone Girl,Obongjayar and  Sarz,63,510,34,202.33333333333334
23,Brag,DETO BLACK,500,87,20,202.33333333333334
24,Company,Twiss Tosin & Zen Univrse,500,11,98,203.0
25,Crazy Tings,Tems,1,510,101,204.0
26,Guala,Teezee,500,54,62,205.33333333333334
27,Fever,Yung D3mz,81,510,36,209.0
28,Amnesia,Zamir,38,510,85,211.0
29,Tonight,Ginius,27,510,96,211.0
30,Lagos Bad Girls,Bils,500,74,73,215.66666666666666
31,Bling (feat. Amaarae & Buju),Blaqbonez,60,510,91,220.33333333333334
32,Smile For You (feat. Oxlade) ,Mizzle featuring Oxlade,500,1,450,317.0
33,Pull Up   ,Gabzy,500,3,450,317.6666666666667
34,Let U Down (feat. CIll) ,Sigag Lauren,500,4,450,318.0
35,Beautifully   ,Fave,500,6,450,318.6666666666667
36,How Dare You   ,Joda Kgosi,500,9,450,319.6666666666667
37,GAMBLE   ,Kholi,500,10,450,320.0
38,LUV HRTS (feat. Odunsi (The Engine)) ,Zamir featuring Odunsi (The Engine),500,12,450,320.6666666666667
39,Kini Issue,Niinety9,2,510,450,320.6666666666667
40,Cakes (feat. PatricKxxLee & KashCPT) ,Straffitti featuring PatricKxxLee and KashCPT,500,13,450,321.0
41,Satisfy My Soul,Ria Sean,3,510,450,321.0
42,Peru,Fireboy DML,4,510,450,321.3333333333333
43,Wreckless Tactics   ,TRiPPY TRiPPY,500,14,450,321.3333333333333
44,Paradise   ,4Runna,500,15,450,321.6666666666667
45,Ojuju,Troniq Music and  Oxlade,5,510,450,321.6666666666667
46,I Miss You   ,Joda Kgosi,500,16,450,322.0
47,Show My Side (feat. Amaarae),CKay,6,510,450,322.0
48,Checkmate,Elhi,8,510,450,322.6666666666667
49,Where (Has the Time Gone)   ,Bey T,500,18,450,322.6666666666667
50,Permission   ,Damosh,500,19,450,323.0
51,Wildfire (feat. Emk the Genie),LSMK,10,510,450,323.3333333333333
52,Damages   ,Tems,500,20,450,323.3333333333333
53,Hot Star   ,Chrystel,500,21,450,323.6666666666667
54,Risk It,Bouff,11,510,450,323.6666666666667
55,Dubai   ,Skaa,500,22,450,324.0
56,Ginger,Le Ru,12,510,450,324.0
57,Non Stop   ,Jody,500,23,450,324.3333333333333
58,Mood (feat. Buju),Wizkid,14,510,450,324.6666666666667
59,Tired   ,Shirazee,500,24,450,324.6666666666667
60,Pay Me,Troniq Music and  Oxlade,15,510,450,325.0
61,Queen Bee   ,Black Lavender,500,25,450,325.0
62,The Way We Grow (feat. Ria Sean),DITEH,16,510,450,325.3333333333333
63,Don't Fold (feat. BRYAN THE MENSAH) ,Delis,500,26,450,325.3333333333333
64,Denouement (feat. Eisenach),Lil Seyi,17,510,450,325.6666666666667
65,BBC   ,Blaqbonez,500,28,450,326.0
66,Understand,Omah Lay,18,510,450,326.0
67,Outside,Buju,19,510,450,326.3333333333333
68,Focused   ,PsychoYP & Azanti,500,29,450,326.3333333333333
69,EVERYWHERE (feat. Buju) ,Straffitti featuring Buju,500,30,450,326.6666666666667
70,Showtime (feat. Azanti),Zarion Uti,21,510,450,327.0
71,Over You (feat. Odunsi & Santi) ,Joey B,500,31,450,327.0
72,LOML (feat. Olamide),Cheque,22,510,450,327.3333333333333
73,Bomo   ,Adey,500,32,450,327.3333333333333
74,Trouble (feat. Tems) ,DRB LasGidi,500,33,450,327.6666666666667
75,All My Ladies   ,WANI,500,34,450,328.0
76,Pretend (feat. Tay Iwar),Zamir,24,510,450,328.0
77,What I Wanna,Chop Daily and  Tony Jaiye,25,510,450,328.3333333333333
78,SAUS (See As U Set)   ,Chillz x TMXO,500,35,450,328.3333333333333
79,Lenu (Remix)   ,Buju & Burna Boy,500,36,450,328.6666666666667
80,DUPĖ   ,Azekel,500,37,450,329.0
81,Space   ,Whoisakin,500,38,450,329.3333333333333
82,Go Outside (feat. Mr Eazi) ,Nonso Amadi,500,39,450,329.6666666666667
83,Testimony,Buju,30,510,450,330.0
84,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay) ",DJ Tunez,500,40,450,330.0
85,Catch A Vibe   ,Karun and MOMBRU,500,41,450,330.3333333333333
86,Sweet As Temptation,Ogranya,32,510,450,330.6666666666667
87,Celebration   ,Joeboy,500,43,450,331.0
88,Sinner,Adekunle Gold and  Lucky Daye,33,510,450,331.0
89,W I L D,Lady Donli,34,510,450,331.3333333333333
90,Godly   ,Omah Lay,500,44,450,331.3333333333333
91,Girlfriend (feat. Naya Akanji) ,SirBastien,500,45,450,331.6666666666667
92,Julie Juicy,FOURYY,35,510,450,331.6666666666667
93,Offend Me (feat. Blaqbonez),Bella Alubo,37,510,450,332.3333333333333
94,Diamonds (feat. Mulla Stackz) ,Rebecca Winter,500,47,450,332.3333333333333
95,"Santa Flow (feat. L.K, Tena Tenpo, Cubix & Miju) ","Chop Life Crew featuring L.K, Tena Tenpo, Cubix and Miju",500,48,450,332.6666666666667
96,Man Of My Word   ,Noir,500,49,450,333.0
