rank,song,artist,apple,boom,youtube,RT
1,Soundgasm,Rema,40,2,48,30.0
2,PEAKING,Tay Iwar,45,5,40,30.0
3,Dark Twisted Fantasy,T'neeya,74,18,63,51.666666666666664
4,Table for Two,Bella Alubo,43,89,59,63.666666666666664
5,Real,Tim Lyre,12,91,99,67.33333333333333
6,Confident   ,Savage and  Buju,6,7,450,154.33333333333334
7,FANCY   ,Uche Malik,16,28,450,164.66666666666666
8,Cocaine   ,Dai Verse,19,47,450,172.0
9,Company,Twiss Tosin & Zen Univrse,500,11,17,176.0
10,Rise Of The Underdogs 2 (feat. Tomi Thomas) ,Show Dem Camp,79,8,450,179.0
11,LUV HRTS,Zamir featuring Odunsi (The Engine),500,12,30,180.66666666666666
12,Caribbeana,Wondamagik and  Ogranya,29,510,7,182.0
13,Bling (feat. Amaarae & Buju),Blaqbonez,17,510,23,183.33333333333334
14,Early Momo,Vector,27,510,19,185.33333333333334
15,Times Two (X2) (feat. Buju) ,WANI,20,90,450,186.66666666666666
16,Searching,Lady Donli,41,510,13,188.0
17,Right Back (feat. Buju) ,Skaa and  Buju,71,56,450,192.33333333333334
18,Sweatshirt   ,April Maey,42,87,450,193.0
19,Fever,Yung D3mz,64,510,20,198.0
20,Ball Till We Fall (feat. Bella Shmurda) ,Kida Kudz,80,68,450,199.33333333333334
21,Euphoria,Hoodini,37,510,55,200.66666666666666
22,Lagos Bad Girls,Bils,500,75,27,200.66666666666666
23,POPSHIT (feat. Somadina),SGaWD,55,510,45,203.33333333333334
24,Pray,Victony,1,510,102,204.33333333333334
25,cold,"Zubi,  anatu and  Gabriel",48,510,62,206.66666666666666
26,Money & Laughter,BOJ,28,510,85,207.66666666666666
27,Guala,Teezee,500,55,79,211.33333333333334
28,Sacrifices (feat. Tim Lyre),DAP The Contract,44,510,86,213.33333333333334
29,Brag,DETO BLACK,500,88,61,216.33333333333334
30,TDK (feat. SirBastien),DAP The Contract,82,510,80,224.0
31,Smile For You (feat. Oxlade) ,Mizzle featuring Oxlade,500,1,450,317.0
32,Pull Up   ,Gabzy,500,3,450,317.6666666666667
