rank,song,artist,apple,youtube,RT
1,Naira Marley,Zinoleesky,2,4,4.0
2,KPK (Ko Por Ke) (Official Music Video),Rexxie,7,2,8.0
3,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,8,3,9.5
4,Coming,"Naira Marley, Busiswa",17,5,19.5
5,Rush,"Dangbana Republik, Bella Shmurda",10,22,21.0
6,Koleyewon,Naira Marley,18,12,24.0
7,Cho Cho (feat. Davido & Mayorkun),Zlatan,13,29,27.5
8,World,"Dangbana Republik, Bella Shmurda",32,19,41.5
9,Available (feat. Mohbad),C Blvck,21,44,43.0
10,Mandeman (Remix) (feat. Davido),Small Doctor,41,14,48.0
11,Cash App,"Bella Shmurda, Zlatan, Lincoln",45,8,49.0
12,Prayer,Lexzydreamz,44,46,67.0
13,"What Type Of Dance (feat. Naira Marley, Zlatan & Mayorkun)",DJ Kaywise,58,25,70.5
14,If No Be You (feat. Mayorkun),Jamopyper,52,39,71.5
15,Party Next Door,"Dangbana Republik, Bella Shmurda",1,200,101.0
16,Abeykehh (feat. Diamond Platnumz & Flavour),Masterkraft,3,200,103.0
17,Korope,"Lil Kesh, Naira Marley",4,200,104.0
18,Mofoti 2.0 (feat. Naira Marley & Sarkodie),Rexxie,5,200,105.0
19,Yaba Buluku (feat. Preck & Nelson Tivane) [Remix],"DJ Tarico, Burna Boy",6,200,106.0
20,Problem (feat. Idowest),Stackz,9,200,109.0
21,Jafafa,"Chinko Ekun, MohBad",11,200,111.0
22,Troway (feat. Zlatan),Whalez,12,200,112.0
23,Gbowo,Nikita,14,200,114.0
24,Tekiller,CDQ,15,200,115.0
25,About Money,SunkkeySnoop,16,200,116.0
26,Normal (feat. Nigga Tee),Hypeman Dewale Mr Pablo,19,200,119.0
27,High Way,"DJ Kaywise, Phyno",20,200,120.0
28,Egbon,"Masterkraft, Phyno",22,200,122.0
29,Mr Money,Asake,23,200,123.0
30,Focus Vibe,Slimcase,24,200,124.0
31,Asampepe,"Wale Turner, Idowest",25,200,125.0
32,Meji,"DwillsHarmony, Viktor Snipes, Chinko Ekun",26,200,126.0
33,Squander (feat. Niniola & Sayfar) [Remix],"Falz, Kamo Mphela, Mpura",27,200,127.0
34,Aye Dun Gan,Oyibo Rebel,28,200,128.0
35,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky,29,200,129.0
36,Sugar Daddy,"DJ Enimoney, Olamide",30,200,130.0
37,"Lagos Anthem Remix (feat. Oberz, Frescool, Oladips, Kabex & TROD)",Zlatan,31,200,131.0
38,Baba Fela Remix (feat. Zlatan & Laycon),Mr. Real,33,200,133.0
39,Hallelujah,"Oladips, Zlatan",35,200,135.0
40,Kabaa (feat. Mayorkun),Idowest,36,200,136.0
41,Barawo (feat. Davido) [Remix],Ajebo Hustlers,37,200,137.0
42,Tesina Pot,"Jaido P, Olamide",38,200,138.0
43,Wagwan,Laycon,39,200,139.0
44,Lagbaja,Sona,40,200,140.0
45,Dey Here,BoyMX,42,200,142.0
46,Shamaya (feat. Patoranking),Idowest,43,200,143.0
47,Aunty Fisayo,QD,46,200,146.0
48,Another Banger,Realonyechi,47,200,147.0
49,Doing Well Remix (feat. Skales),Ryme,48,200,148.0
50,Formula 1,Damibliz,49,200,149.0
51,Certainly (feat. Wale Turner & Jaido P),BODE BLAQ,50,200,150.0
52,Kokanmi,Qdot,51,200,151.0
53,Pump Your Parry (Remix) [feat. Naira Marley & C Blvck],Abramsoul,53,200,153.0
54,Mofo,Fikky,54,200,154.0
55,E Choke,Bils,55,200,155.0
56,Kafaya (feat. Bella Shmurda),Daniel Brown,56,200,156.0
57,My Life,"Dj Manuel, Zlatan",57,200,157.0
58,Moyan,CDQ,59,200,159.0
59,Oge (feat. Bad Boy Timz),Anonymous Music,60,200,160.0
60,Want (feat. DanDizzy),Rage,61,200,161.0
61,Billing Npayan,Obaflow,62,200,162.0
62,Bad Boy,"Dj Fizzy, Baddy Osha, Slimcase, CDQ",63,200,163.0
63,NGNP (No Girlfriend No Problem) [feat. Zlatan],Idowest,64,200,164.0
64,Dedede,"Boyodre, Dayo Chino",65,200,165.0
65,Hustle (feat. Zlatan),Reklyn,66,200,166.0
66,The Matter (feat. Papisnoop),Zlatan,67,200,167.0
67,Isolova,Peruzzi,68,200,168.0
68,Olopa (feat. Zlatan),Qdot,69,200,169.0
69,One Leg Up (feat. Tekno),Blaq Jerzee,70,200,170.0
70,Lil Kesh x Naira Marley - Korope (Audio slide),Lil Kesh,250,1,250.5
71,Omo X 100 (feat. Olamide),Reminisce,250,6,253.0
72,Zinoleesky - Kilofeshe (Official Video),MarlianMusic HQ,250,7,253.5
73,Chi Chi,Naira Marley,250,9,254.5
74,Sheydi Balabala (Refix),Dj Baddo,250,10,255.0
75,KAMBA,Terry Apala,250,11,255.5
76,Omo Ologo (Official Video),LilFroshVEVO,250,13,256.5
77,Bella Shmurda - Vision2020 [Official Video] ft. Olamide,Bella Shmurda,250,15,257.5
78,Gratitude (feat. Barry Jhay),Superwozzy,250,16,258.0
79,"Are You Sure (feat. Naira Marley, Zinoleesky & EMO Grae)",LYTA,250,17,258.5
80,Lagos Anthem,Zlatan,250,18,259.0
81,Ayewada,Barry Jhay,250,20,260.0
82,Happiness,Davolee,250,21,260.5
83,"Mr Real - Baba Fela Remix (Official Video) ft. Zlatan, Laycon",Mr Real,250,23,261.5
84,90’S,Seyi Vibez,250,24,262.0
85,Better Better,Jamopyper,250,26,263.0
86,Zinoleesky Ft Naira Marley - Caro (Official video),Naira Marley,250,27,263.5
87,Your Body,Mayorkun,250,28,264.0
88,Lyta - Hold Me Down (Official Video),Naira Marley,250,30,265.0
89,Zinoleesky - MaPariwo (OFFICIAL VIDEO),Naira Marley,250,31,265.5
90,As E Dey Go,Naira Marley,250,32,266.0
91,See Finish (feat. Mayorkun),Dapo Tuburna,250,33,266.5
92,Baba Nla (feat. Teni),Candy Bleakz,250,34,267.0
93,Triumphant (feat. Bella Shmurda),Olamide,250,35,267.5
94,Lesse passe,Bella Shmurda,250,36,268.0
95,Opor (Remix),Rexxie,250,37,268.5
96,All The Way,Lil Kesh,250,38,269.0
97,Lowo Lowo (Remix) (feat. Davido),May D,250,40,270.0
98,Caro,Idowest Ft Davido,250,41,270.5
99,Money,Bella Shmurda,250,42,271.0
100,Love (Official Video),Davolee,250,43,271.5
101,Lil Kesh & Naira Marley - O Por (Official Audio),Lil Kesh,250,45,272.5
102,Ori,Barry Jhay,250,47,273.5
103,Epo,Davido,250,48,274.0
104,Mad O,Dj Yk Beats,250,49,274.5
105,God Sent,Seyi Vibez,250,50,275.0
