rank,song,artist,apple,youtube,RT
1,Professor Peller (feat. Zlatan),Seyi Vibez,1,9,5.5
2,Naira Marley,Zinoleesky,4,4,6.0
3,Korope,Lil Kesh and  Naira Marley,7,12,13.0
4,Party Next Door,Dangbana Republik and  Bella Shmurda,16,3,17.5
5,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,15,8,19.0
6,Kpk (Remix) [feat. Sho Madjozi & MohBad],Rexxie,14,13,20.5
7,Coming,Naira Marley and  Busiswa,27,5,29.5
8,Koleyewon,Naira Marley,28,20,38.0
9,Available (feat. MohBad),C Blvck,31,37,49.5
10,"Lagos Anthem Remix (feat. Oberz, Frescool, Oladips, Kabex & TROD)",Zlatan,41,27,54.5
11,Baba Fela Remix (feat. Zlatan & Laycon),Mr. Real,43,33,59.5
12,Mandeman (feat. Davido) [Remix],Small Doctor,52,22,63.0
13,Cash App,"Bella Shmurda,  Zlatan and  Lincoln",57,21,67.5
14,Prayer (feat. Drekiss),Lexzydreamz,55,46,78.0
15,"What Type of Dance (feat. Mayorkun, Naira Marley & Zlatan)",DJ Kaywise,70,28,84.0
16,"Number One (feat. DJ Tarico, Preck & Nelson Tivane)",Dj Consequence,2,200,102.0
17,OMOKOMO,Baddy Oosha,3,200,103.0
18,Champion,Dangbana Republik and  Bella Shmurda,5,200,105.0
19,"We Meuve (feat. TheOnlyRLS, MR OULALA & Shady Humble)",Dj Paak,6,200,106.0
20,Energy,SunkkeySnoop,8,200,108.0
21,Mofoti 2.0 (feat. Naira Marley & Sarkodie),Rexxie,9,200,109.0
22,Hello xe1xbaxb8,Reminisce and  WestSyde,10,200,110.0
23,Abeykehh (feat. Diamond Platnumz & Flavour),Masterkraft,11,200,111.0
24,Focus,Rudeboy,12,200,112.0
25,TEMPLE (Remix) [feat. Bella Shmurda & Wande Coal],Aloma,13,200,113.0
26,Problem (feat. Idowest),Stackz,17,200,117.0
27,Cut Soap,DJ Xclusive and  Rulerboy,18,200,118.0
28,Rush,Dangbana Republik and  Bella Shmurda,19,200,119.0
29,Jafafa,Chinko Ekun and  MohBad,20,200,120.0
30,No Retire,Jaivah,21,200,121.0
31,Troway (feat. Zlatan),Whalez,22,200,122.0
32,Cho Cho (feat. Davido & Mayorkun),Zlatan,23,200,123.0
33,Gbowo,Nikita,24,200,124.0
34,Tekiller,CDQ,25,200,125.0
35,About Money,SunkkeySnoop,26,200,126.0
36,Normal (feat. Nigga Tee),Hypeman Dewale Mr Pablo,29,200,129.0
37,High Way,DJ Kaywise and  Phyno,30,200,130.0
38,Egbon,Masterkraft and  Phyno,32,200,132.0
39,Mr Money,Asake,33,200,133.0
40,Focus Vibe,Slimcase,34,200,134.0
41,Asampepe,Wale Turner and  Idowest,35,200,135.0
42,Meji,"DwillsHarmony,  Viktor Snipes and  Chinko Ekun",36,200,136.0
43,Squander (feat. Niniola & Sayfar) [Remix],"Falz,  Kamo Mphela and  Mpura",37,200,137.0
44,Aye Dun Gan,Oyibo Rebel,38,200,138.0
45,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky,39,200,139.0
46,Sugar Daddy,DJ Enimoney and  Olamide,40,200,140.0
47,World,Dangbana Republik and  Bella Shmurda,42,200,142.0
48,Hallelujah,Oladips and  Zlatan,45,200,145.0
49,Kabaa (feat. Mayorkun),Idowest,46,200,146.0
50,Barawo (feat. Davido) [Remix],Ajebo Hustlers,47,200,147.0
51,Tesina Pot,Jaido P and  Olamide,48,200,148.0
52,Wagwan,Laycon,49,200,149.0
53,Sapa (feat. Idowest),Bravo AZ,50,200,150.0
54,Lagbaja,Sona,51,200,151.0
55,Dey Here,BoyMX,53,200,153.0
56,Shamaya (feat. Patoranking),Idowest,54,200,154.0
57,Check Am,Chief Obi,56,200,156.0
58,Aunty Fisayo,QD,58,200,158.0
59,Another Banger,Realonyechi,59,200,159.0
60,Doing Well Remix (feat. Skales),Ryme,60,200,160.0
61,Formula 1,Damibliz,61,200,161.0
62,Certainly (feat. Wale Turner & Jaido P),BODE BLAQ,62,200,162.0
63,Kokanmi,Qdot,63,200,163.0
64,If No Be You (feat. Mayorkun),Jamopyper,64,200,164.0
65,Pump Your Parry (Remix) [feat. Naira Marley & C Blvck],Abramsoul,65,200,165.0
66,Mofo,Fikky,66,200,166.0
67,E Choke,Bils,67,200,167.0
68,Kafaya (feat. Bella Shmurda),Daniel Brown,68,200,168.0
69,My Life,Dj Manuel and  Zlatan,69,200,169.0
70,Moyan,CDQ,71,200,171.0
71,Oge (feat. Bad Boy Timz),Anonymous Music,72,200,172.0
72,Want (feat. DanDizzy),Rage,73,200,173.0
73,Billing Npayan,Obaflow,74,200,174.0
74,Bad Boy,"Dj Fizzy,  Baddy Osha,  Slimcase and  CDQ",75,200,175.0
75,NGNP (No Girlfriend No Problem) [feat. Zlatan],Idowest,76,200,176.0
76,Dedede,Boyodre and  Dayo Chino,77,200,177.0
77,Hustle (feat. Zlatan),Reklyn,78,200,178.0
78,The Matter (feat. Papisnoop),Zlatan,79,200,179.0
79,Isolova,Peruzzi,80,200,180.0
80,Olopa (feat. Zlatan),Qdot,81,200,181.0
81,Feel Good - Mohbad,Mohbad,250,1,250.5
82,Drug Test - Naira Marley,Naira Marley,250,2,251.0
83,FOCUS DANCE BEAT (feat. Hagman & Abati) - AJIMOVOIX DRUMS,AJIMOVOIX DRUMS,250,6,253.0
84,Denge Pose (feat. MohBad) - Lil Frosh,Lil Frosh,250,7,253.5
85,Sheydi Balabala (Refix) - Dj Baddo,Dj Baddo,250,10,255.0
86,Far Away - Bella Shmurda,Bella Shmurda,250,11,255.5
87,Hello Ẹ - Reminisce,Reminisce,250,14,257.0
88,Kilofeshe - Zinoleesky,Zinoleesky,250,15,257.5
89,Rihanna - The Kazez,The Kazez,250,16,258.0
90,God Sent - Seyi Vibez,Seyi Vibez,250,17,258.5
