rank,song,artist,Previous week,weeks on chart
1,Professor Peller (feat. Zlatan),Seyi Vibez,5,2
2,Party Next Door,Dangbana Republik and  Bella Shmurda,3,9
3,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,4,11
4,Korope,Lil Kesh and  Naira Marley,2,3
5,Paper,C Blvck and  Peruzzi,1,11
6,Coming,Naira Marley and  Busiswa,6,11
7,Koleyewon,Naira Marley,7,11
8,KPK (Ko Por Ke) (Official Music Video),Rexxie,8,8
9,Available (feat. Mohbad),C Blvck,9,7
10,Mandeman (Remix) (feat. Davido),Small Doctor,10,11
11,Baba Fela (feat. Laycon & Zlatan) [Remix],Mr Real,-,1
12,Cash App,"Bella Shmurda,  Zlatan and  Lincoln",11,11
13,Prayer,Lexzydreamz,12,6
14,"What Type Of Dance (feat. Naira Marley, Zlatan & Mayorkun)",DJ Kaywise,13,2
15,Rain,BIGBEN,14,9
16,Kogbede (feat. Wande Coal),CDQ,15,3
17,"Number One (feat. DJ Tarico, Preck & Nelson Tivane)",Dj Consequence and  DJ Tarico,16,3
18,Jazz Up,"Dj Java,  Remy Baggins and  PsychoYP",-,1
19,OMOKOMO,Baddy Oosha,17,7
20,Champion,Dangbana Republik and  Bella Shmurda,18,6
21,"We Meuve (feat. TheOnlyRLS, MR OULALA & Shady Humble)",Dj Paak,19,6
22,Energy,SunkkeySnoop,20,2
23,Mofoti 2.0 (feat. Naira Marley & Sarkodie),Rexxie,21,11
24,Hello xe1xbaxb8,Reminisce and  WestSyde,22,5
25,Abeykehh (feat. Diamond Platnumz & Flavour),Masterkraft,23,11
26,Focus,Rudeboy,24,7
27,TEMPLE (Remix) [feat. Bella Shmurda & Wande Coal],Aloma,25,8
28,Problem (feat. Idowest),Stackz,26,11
29,Cut Soap,DJ Xclusive and  Rulerboy,27,11
30,Rush,Dangbana Republik and  Bella Shmurda,28,11
31,Jafafa,Chinko Ekun and  MohBad,29,11
32,No Retire,Jaivah,30,11
33,Troway (feat. Zlatan),Whalez,31,11
34,Cho Cho (feat. Davido & Mayorkun),Zlatan,32,11
35,Gbowo,Nikita,33,11
36,Tekiller,CDQ,34,11
37,About Money,SunkkeySnoop,35,11
38,Normal (feat. Nigga Tee),Hypeman Dewale Mr Pablo,36,11
39,High Way,DJ Kaywise and  Phyno,37,11
40,Egbon,Masterkraft and  Phyno,38,11
41,Mr Money,Asake,39,11
42,Focus Vibe,Slimcase,40,11
43,Asampepe,Wale Turner and  Idowest,41,11
44,Meji,"DwillsHarmony,  Viktor Snipes and  Chinko Ekun",42,11
45,Squander (feat. Niniola & Sayfar) [Remix],"Falz,  Kamo Mphela and  Mpura",43,11
46,Aye Dun Gan,Oyibo Rebel,44,11
47,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky,45,11
48,Sugar Daddy,DJ Enimoney and  Olamide,46,11
49,Lagos Anthem Remix,Zlatan,-,1
50,World,Dangbana Republik and  Bella Shmurda,47,2
