rank,song,artist,Previous week,weeks on chart
1,Professor Peller (feat. Zlatan),Seyi Vibez,2,6
2,Naira Marley,Zinoleesky,1,6
3,Korope,Lil Kesh and  Naira Marley,3,8
4,Party Next Door,Dangbana Republik and  Bella Shmurda,5,2
5,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,6,8
6,KPK (Ko Por Ke) (Official Music Video),Rexxie,7,8
7,Coming,Naira Marley and  Busiswa,8,8
8,Koleyewon,Naira Marley,9,5
9,Available (feat. Mohbad),C Blvck,10,4
10,"Lagos Anthem Remix (feat. Oberz, Frescool, Oladips, Kabex & TROD)",Zlatan,11,8
11,"Baba Fela Remix (Official Video) ft. Zlatan, Laycon - Mr Real",Mr. Real,12,8
12,Mandeman (Remix) (feat. Davido),Small Doctor,13,8
13,Cash App,"Bella Shmurda,  Zlatan and  Lincoln",14,3
14,Prayer,Lexzydreamz,15,4
15,"What Type Of Dance (feat. Naira Marley, Zlatan & Mayorkun)",DJ Kaywise,16,6
16,"Number One (feat. DJ Tarico, Preck & Nelson Tivane)",Dj Consequence,-,1
17,OMOKOMO,Baddy Oosha,-,1
18,Champion,Dangbana Republik and  Bella Shmurda,19,6
19,"We Meuve (feat. TheOnlyRLS, MR OULALA & Shady Humble)",Dj Paak,20,4
20,Energy,SunkkeySnoop,21,3
21,Mofoti 2.0 (feat. Naira Marley & Sarkodie),Rexxie,22,3
22,Hello xe1xbaxb8,Reminisce and  WestSyde,-,1
23,Abeykehh (feat. Diamond Platnumz & Flavour),Masterkraft,23,8
24,Focus,Rudeboy,24,2
25,TEMPLE (Remix) [feat. Bella Shmurda & Wande Coal],Aloma,25,8
26,Problem (feat. Idowest),Stackz,26,4
27,Cut Soap,DJ Xclusive and  Rulerboy,17,5
28,Rush,Dangbana Republik and  Bella Shmurda,27,8
29,Jafafa,Chinko Ekun and  MohBad,18,8
30,No Retire,Jaivah,28,8
31,Troway (feat. Zlatan),Whalez,29,8
32,Cho Cho (feat. Davido & Mayorkun),Zlatan,30,8
33,Gbowo,Nikita,31,8
34,Tekiller,CDQ,32,8
35,About Money,SunkkeySnoop,33,8
36,Normal (feat. Nigga Tee),Hypeman Dewale Mr Pablo,34,8
37,High Way,DJ Kaywise and  Phyno,35,8
38,Egbon,Masterkraft and  Phyno,36,8
39,Mr Money,Asake,37,8
40,Focus Vibe,Slimcase,38,8
41,Asampepe,Wale Turner and  Idowest,39,8
42,Meji,"DwillsHarmony,  Viktor Snipes and  Chinko Ekun",40,8
43,Squander (feat. Niniola & Sayfar) [Remix],"Falz,  Kamo Mphela and  Mpura",41,8
44,Aye Dun Gan,Oyibo Rebel,42,8
45,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky,43,8
46,Sugar Daddy,DJ Enimoney and  Olamide,44,8
47,World,Dangbana Republik and  Bella Shmurda,45,8
48,Hallelujah,Oladips and  Zlatan,46,8
49,Kabaa (feat. Mayorkun),Idowest,47,8
50,Barawo (feat. Davido) [Remix],Ajebo Hustlers,48,8
