rank,song,artist,Previous week,weeks on chart
1,Naira Marley,Zinoleesky,-,1
2,KPK (Ko Por Ke) (Official Music Video),Rexxie,-,1
3,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,1,3
4,Coming,"Naira Marley, Busiswa",5,3
5,Rush,"Dangbana Republik, Bella Shmurda",4,3
6,Koleyewon,Naira Marley,3,3
7,Cho Cho (feat. Davido & Mayorkun),Zlatan,2,3
8,World,"Dangbana Republik, Bella Shmurda",9,3
9,Available (feat. Mohbad),C Blvck,7,3
10,Mandeman (Remix) (feat. Davido),Small Doctor,10,3
11,Cash App,"Bella Shmurda, Zlatan, Lincoln",11,3
12,Prayer,Lexzydreamz,12,3
13,"What Type Of Dance (feat. Naira Marley, Zlatan & Mayorkun)",DJ Kaywise,14,3
14,If No Be You (feat. Mayorkun),Jamopyper,15,3
15,Party Next Door,"Dangbana Republik, Bella Shmurda",-,1
16,Abeykehh (feat. Diamond Platnumz & Flavour),Masterkraft,-,1
17,Korope,"Lil Kesh, Naira Marley",16,3
18,Mofoti 2.0 (feat. Naira Marley & Sarkodie),Rexxie,-,1
19,Yaba Buluku (feat. Preck & Nelson Tivane) [Remix],"DJ Tarico, Burna Boy",-,1
20,Problem (feat. Idowest),Stackz,17,3
21,Jafafa,"Chinko Ekun, MohBad",8,3
22,Troway (feat. Zlatan),Whalez,19,3
23,Gbowo,Nikita,20,3
24,Tekiller,CDQ,-,1
25,About Money,SunkkeySnoop,21,3
26,Normal (feat. Nigga Tee),Hypeman Dewale Mr Pablo,24,3
27,High Way,"DJ Kaywise, Phyno",25,3
28,Egbon,"Masterkraft, Phyno",26,3
29,Mr Money,Asake,27,3
30,Focus Vibe,Slimcase,28,3
31,Asampepe,"Wale Turner, Idowest",29,3
32,Meji,"DwillsHarmony, Viktor Snipes, Chinko Ekun",30,3
33,Squander (feat. Niniola & Sayfar) [Remix],"Falz, Kamo Mphela, Mpura",31,3
34,Aye Dun Gan,Oyibo Rebel,32,3
35,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky,33,3
36,Sugar Daddy,"DJ Enimoney, Olamide",34,3
37,"Lagos Anthem Remix (feat. Oberz, Frescool, Oladips, Kabex & TROD)",Zlatan,35,3
38,Baba Fela Remix (feat. Zlatan & Laycon),Mr. Real,36,3
39,Hallelujah,"Oladips, Zlatan",37,3
40,Kabaa (feat. Mayorkun),Idowest,38,3
41,Barawo (feat. Davido) [Remix],Ajebo Hustlers,39,3
42,Tesina Pot,"Jaido P, Olamide",13,3
43,Wagwan,Laycon,40,3
44,Lagbaja,Sona,41,3
45,Dey Here,BoyMX,18,3
46,Shamaya (feat. Patoranking),Idowest,42,3
47,Aunty Fisayo,QD,43,3
48,Another Banger,Realonyechi,44,3
49,Doing Well Remix (feat. Skales),Ryme,45,3
50,Formula 1,Damibliz,23,3
