rank,song,artist,apple,youtube,RT
1,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,3,1,3.5
2,Cho Cho (feat. Davido & Mayorkun),Zlatan,9,17,17.5
3,Koleyewon,Naira Marley,15,7,18.5
4,Rush,"Dangbana Republik, Bella Shmurda",5,32,21.0
5,Coming,"Naira Marley, Busiswa",14,22,25.0
6,KPK (Remix) (feat. Mohbad & Sho Madjozi),Rexxie,2,47,25.5
7,Available (feat. Mohbad),C Blvck,18,26,31.0
8,Jafafa,"Chinko Ekun, MohBad",7,49,31.5
9,World,"Dangbana Republik, Bella Shmurda",29,9,33.5
10,Mandeman (Remix) (feat. Davido),Small Doctor,38,12,44.0
11,Cash App,"Bella Shmurda, Zlatan, Lincoln",41,25,53.5
12,Prayer,Lexzydreamz,40,35,57.5
13,Tesina Pot,"Jaido P, Olamide",35,50,60.0
14,"What Type Of Dance (feat. Naira Marley, Zlatan & Mayorkun)",DJ Kaywise,53,16,61.0
15,If No Be You (feat. Mayorkun),Jamopyper,47,34,64.0
16,Korope,"Lil Kesh, Naira Marley",1,200,101.0
17,Problem (feat. Idowest),Stackz,4,200,104.0
18,Dey Here,BoyMX,6,200,106.0
19,Troway (feat. Zlatan),Whalez,8,200,108.0
20,Gbowo,Nikita,10,200,110.0
21,About Money,SunkkeySnoop,11,200,111.0
22,Dedede,"Boyodre, Dayo Chino",12,200,112.0
23,Formula 1,Damibliz,13,200,113.0
24,Normal (feat. Nigga Tee),Hypeman Dewale Mr Pablo,16,200,116.0
25,High Way,"DJ Kaywise, Phyno",17,200,117.0
26,Egbon,"Masterkraft, Phyno",19,200,119.0
27,Mr Money,Asake,20,200,120.0
28,Focus Vibe,Slimcase,21,200,121.0
29,Asampepe,"Wale Turner, Idowest",22,200,122.0
30,Meji,"DwillsHarmony, Viktor Snipes, Chinko Ekun",23,200,123.0
31,Squander (feat. Niniola & Sayfar) [Remix],"Falz, Kamo Mphela, Mpura",24,200,124.0
32,Aye Dun Gan,Oyibo Rebel,25,200,125.0
33,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky,26,200,126.0
34,Sugar Daddy,"DJ Enimoney, Olamide",27,200,127.0
35,"Lagos Anthem Remix (feat. Oberz, Frescool, Oladips, Kabex & TROD)",Zlatan,28,200,128.0
36,Baba Fela Remix (feat. Zlatan & Laycon),Mr. Real,30,200,130.0
37,Hallelujah,"Oladips, Zlatan",32,200,132.0
38,Kabaa (feat. Mayorkun),Idowest,33,200,133.0
39,Barawo (feat. Davido) [Remix],Ajebo Hustlers,34,200,134.0
40,Wagwan,Laycon,36,200,136.0
41,Lagbaja,Sona,37,200,137.0
42,Shamaya (feat. Patoranking),Idowest,39,200,139.0
43,Aunty Fisayo,QD,42,200,142.0
44,Another Banger,Realonyechi,43,200,143.0
45,Doing Well Remix (feat. Skales),Ryme,44,200,144.0
46,Certainly (feat. Wale Turner & Jaido P),BODE BLAQ,45,200,145.0
47,Kokanmi,Qdot,46,200,146.0
48,Pump Your Parry (Remix) [feat. Naira Marley & C Blvck],Abramsoul,48,200,148.0
49,Mofo,Fikky,49,200,149.0
50,E Choke,Bils,50,200,150.0
51,Kafaya (feat. Bella Shmurda),Daniel Brown,51,200,151.0
52,My Life,"Dj Manuel, Zlatan",52,200,152.0
53,Moyan,CDQ,54,200,154.0
54,Oge (feat. Bad Boy Timz),Anonymous Music,55,200,155.0
55,Want (feat. DanDizzy),Rage,56,200,156.0
56,Billing Npayan,Obaflow,57,200,157.0
57,Bad Boy,"Dj Fizzy, Baddy Osha, Slimcase, CDQ",58,200,158.0
58,NGNP (No Girlfriend No Problem) [feat. Zlatan],Idowest,59,200,159.0
59,Hustle (feat. Zlatan),Reklyn,60,200,160.0
60,The Matter (feat. Papisnoop),Zlatan,61,200,161.0
61,Isolova,Peruzzi,62,200,162.0
62,Olopa (feat. Zlatan),Qdot,63,200,163.0
63,One Leg Up (feat. Tekno),Blaq Jerzee,64,200,164.0
64,Mafo,"Naira Marley, Young Jonn",65,200,165.0
65,Whine That Ting,"Nappy, Bella Shmurda",66,200,166.0
66,"Idi Oremi (Opotoyi, Pt. 2)",Naira Marley,67,200,167.0
67,Why Ton Frown (feat. Zlatan) [Remix],SunkkeySnoop,68,200,168.0
68,Abule,Patoranking,69,200,169.0
69,Opor Remix,"Rexxie, Zlatan, LADIPOE",70,200,170.0
70,Kilofeshe,Zinoleesky,250,2,251.0
71,Chi Chi,Naira Marley,250,3,251.5
72,Sheydi Balabala (Refix),Dj Baddo,250,4,252.0
73,Ayewada,Barry Jhay,250,5,252.5
74,Lagos Anthem,Zlatan,250,6,253.0
75,Happiness,Davolee,250,8,254.0
76,Omo Ologo (Official Video),LilFroshVEVO,250,10,255.0
77,Mr Real,Mr Real,250,11,255.5
78,Bella Shmurda,Bella Shmurda,250,13,256.5
79,Better Better,Jamopyper,250,14,257.0
80,"Are You Sure (feat. Naira Marley, Zinoleesky & EMO Grae)",LYTA,250,15,257.5
81,Zinoleesky Ft Naira Marley,Naira Marley,250,18,259.0
82,Your Body,Mayorkun,250,19,259.5
83,Baba Nla (feat. Teni),Candy Bleakz,250,20,260.0
84,Triumphant (feat. Bella Shmurda),Olamide,250,21,260.5
85,Zinoleesky,Naira Marley,250,23,261.5
86,Love (Official Video),Davolee,250,24,262.0
87,Lil Kesh & Naira Marley,Lil Kesh,250,27,263.5
88,Opor (Remix),Rexxie,250,28,264.0
89,All The Way,Lil Kesh,250,29,264.5
90,Mad O,Dj Yk Beats,250,30,265.0
91,As E Dey Go,Naira Marley,250,31,265.5
92,God Sent,Seyi Vibez,250,33,266.5
93,Lowo Lowo (Remix) (feat. Davido),May D,250,36,268.0
94,See Finish (feat. Mayorkun),Dapo Tuburna,250,37,268.5
95,Lyta,Naira Marley,250,38,269.0
96,Ori,Barry Jhay,250,39,269.5
97,90’S,Seyi Vibez,250,40,270.0
98,Caro,Idowest Ft Davido,250,41,270.5
99,Gratitude (feat. Barry Jhay),Superwozzy,250,42,271.0
100,Money,Terri,250,43,271.5
101,Lesse passe,Bella Shmurda,250,44,272.0
102,Epo,Davido,250,45,272.5
103,Morire (feat. Bad Boy Timz & Jamopyper),Papisnoop,250,46,273.0
104,Eru,Olamide,250,48,274.0
105,Lil Kesh x Naira Marley,Lil Kesh,250,52,276.0
106,Naira Marley,Zinoleesky,250,53,276.5
107,Reminisce,Reminisce,250,54,277.0
108,KAMBA,Terry Apala,250,55,277.5
109,90'S,Seyi Vibez,250,59,279.5
