rank,song,artist,apple,youtube,RT
1,Naira Marley ,Zinoleesky,1,2,2.0
2,Korope (Audio slide) - Lil Kesh,Lil Kesh and  Naira Marley,7,7,10.5
3,Party Next Door ,Dangbana Republik and  Bella Shmurda,15,1,15.5
4,Hallelu (feat. Bella Shmurda & Zlatan) ,Masterkraft,14,6,17.0
5,KPK (Ko Por Ke) (Official Music Video) (feat. Mohbad & Sho Madjozi),Rexxie,13,9,17.5
6,Coming,Naira Marley and  Busiswa,24,4,26.0
7,Koleyewon,Naira Marley,25,18,34.0
8,Cho Cho (feat. Davido & Mayorkun),Zlatan,20,50,45.0
9,Available (feat. Mohbad),C Blvck,28,39,47.5
10,"Baba Fela Remix (Official Video) ft. Zlatan, Laycon",Mr. Real,40,26,53.0
11,Mandeman (Remix) (feat. Davido),Small Doctor,49,19,58.5
12,Cash App,"Bella Shmurda,  Zlatan and  Lincoln",54,17,62.5
13,Prayer,Lexzydreamz,52,46,75.0
14,"What Type Of Dance (feat. Naira Marley, Zlatan & Mayorkun) ",DJ Kaywise,67,27,80.5
15,If No Be You (feat. Mayorkun),Jamopyper,61,48,85.0
16,Professor Peller (feat. Zlatan),Seyi Vibez,2,200,102.0
17,Cut Soap,DJ Xclusive and  Rulerboy,3,200,103.0
18,Jafafa,Chinko Ekun and  MohBad,4,200,104.0
19,Champion,Dangbana Republik and  Bella Shmurda,5,200,105.0
20,"We Meuve (feat. TheOnlyRLS, MR OULALA & Shady Humble)",Dj Paak,6,200,106.0
21,Energy,SunkkeySnoop,8,200,108.0
22,Mofoti 2.0 (feat. Naira Marley & Sarkodie),Rexxie,9,200,109.0
23,Hello xe1xbaxb8,Reminisce and  WestSyde,10,200,110.0
24,Abeykehh (feat. Diamond Platnumz & Flavour),Masterkraft,11,200,111.0
25,TEMPLE (Remix) [feat. Bella Shmurda & Wande Coal],Aloma,12,200,112.0
26,Problem (feat. Idowest),Stackz,16,200,116.0
27,Rush,Dangbana Republik and  Bella Shmurda,17,200,117.0
28,No Retire,Jaivah,18,200,118.0
29,Troway (feat. Zlatan),Whalez,19,200,119.0
30,Gbowo,Nikita,21,200,121.0
31,Tekiller,CDQ,22,200,122.0
32,About Money,SunkkeySnoop,23,200,123.0
33,Normal (feat. Nigga Tee),Hypeman Dewale Mr Pablo,26,200,126.0
34,High Way,DJ Kaywise and  Phyno,27,200,127.0
35,Egbon,Masterkraft and  Phyno,29,200,129.0
36,Mr Money,Asake,30,200,130.0
37,Focus Vibe,Slimcase,31,200,131.0
38,Asampepe,Wale Turner and  Idowest,32,200,132.0
39,Meji,"DwillsHarmony,  Viktor Snipes and  Chinko Ekun",33,200,133.0
40,Squander (feat. Niniola & Sayfar) [Remix],"Falz,  Kamo Mphela and  Mpura",34,200,134.0
41,Aye Dun Gan,Oyibo Rebel,35,200,135.0
42,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky,36,200,136.0
43,Sugar Daddy,DJ Enimoney and  Olamide,37,200,137.0
44,"Lagos Anthem Remix (feat. Oberz, Frescool, Oladips, Kabex & TROD)",Zlatan,38,200,138.0
45,World,Dangbana Republik and  Bella Shmurda,39,200,139.0
46,Hallelujah,Oladips and  Zlatan,42,200,142.0
47,Kabaa (feat. Mayorkun),Idowest,43,200,143.0
48,Barawo (feat. Davido) [Remix],Ajebo Hustlers,44,200,144.0
49,Tesina Pot,Jaido P and  Olamide,45,200,145.0
50,Wagwan,Laycon,46,200,146.0
51,Sapa (feat. Idowest),Bravo AZ,47,200,147.0
52,Lagbaja,Sona,48,200,148.0
53,Dey Here,BoyMX,50,200,150.0
54,Shamaya (feat. Patoranking),Idowest,51,200,151.0
55,Check Am,Chief Obi,53,200,153.0
56,Aunty Fisayo,QD,55,200,155.0
57,Another Banger,Realonyechi,56,200,156.0
58,Doing Well Remix (feat. Skales),Ryme,57,200,157.0
59,Formula 1,Damibliz,58,200,158.0
60,Certainly (feat. Wale Turner & Jaido P),BODE BLAQ,59,200,159.0
61,Kokanmi,Qdot,60,200,160.0
62,Pump Your Parry (Remix) [feat. Naira Marley & C Blvck],Abramsoul,62,200,162.0
63,Mofo,Fikky,63,200,163.0
64,E Choke,Bils,64,200,164.0
65,Kafaya (feat. Bella Shmurda),Daniel Brown,65,200,165.0
66,My Life,Dj Manuel and  Zlatan,66,200,166.0
67,Moyan,CDQ,68,200,168.0
68,Oge (feat. Bad Boy Timz),Anonymous Music,69,200,169.0
69,Want (feat. DanDizzy),Rage,70,200,170.0
70,Billing Npayan,Obaflow,71,200,171.0
71,Bad Boy,"Dj Fizzy,  Baddy Osha,  Slimcase and  CDQ",72,200,172.0
72,NGNP (No Girlfriend No Problem) [feat. Zlatan],Idowest,73,200,173.0
73,Dedede,Boyodre and  Dayo Chino,74,200,174.0
74,Hustle (feat. Zlatan),Reklyn,75,200,175.0
75,The Matter (feat. Papisnoop),Zlatan,76,200,176.0
76,Isolova,Peruzzi,77,200,177.0
77,Olopa (feat. Zlatan),Qdot,78,200,178.0
78,One Leg Up (feat. Tekno),Blaq Jerzee,79,200,179.0
79,Feel Good ,Mohbad,250,3,251.5
80,FOCUS DANCE BEAT (feat. Hagman & Abati),AJIMOVOIX DRUMS,250,5,252.5
81,Far Away,Bella Shmurda,250,8,254.0
82,Hello,Reminisce,250,10,255.0
83,Kilofeshe (Official Video) ,MarlianMusic HQ,250,11,255.5
84,Sheydi Balabala (Refix),Dj Baddo,250,12,256.0
85,Chi Chi ,Naira Marley,250,13,256.5
86,God Sent,Seyi Vibez,250,14,257.0
87,KAMBA,Terry Apala,250,15,257.5
88,Happiness,Davolee,250,16,258.0
89,Omo Ologo (Official Video),LilFroshVEVO,250,20,260.0
90,Vision2020 ([Official Video] ft. Olamide - Bella Shmurda),Bella Shmurda,250,21,260.5
91,Gratitude (feat. Barry Jhay),Superwozzy,250,22,261.0
92,"Are You Sure (feat. Naira Marley, Zinoleesky & EMO Grae)",LYTA,250,23,261.5
93,Lagos Anthem,Zlatan,250,24,262.0
94,Ayewada,Barry Jhay,250,25,262.5
95,Your Body,Mayorkun,250,28,264.0
96,MaPariwo (OFFICIAL VIDEO),Naira Marley,250,29,264.5
97,90'S,Seyi Vibez,250,30,265.0
98,As E Dey Go,Naira Marley,250,31,265.5
99,See Finish (feat. Mayorkun),Dapo Tuburna,250,32,266.0
100,Triumphant (feat. Bella Shmurda),Olamide,250,33,266.5
101,Better Better,Jamopyper,250,34,267.0
102,All The Way,Lil Kesh,250,35,267.5
103,Opor (Remix),Rexxie,250,36,268.0
104,Lowo Lowo (Remix) (feat. Davido),May D,250,37,268.5
105,Money,Bella Shmurda,250,38,269.0
106,Baba Nla (feat. Teni),Candy Bleakz,250,40,270.0
107,Love (Official Video),Davolee,250,41,270.5
108,Caro,Idowest Ft Davido,250,42,271.0
109,O Por (Official Audio),Lil Kesh,250,43,271.5
110,Hold Me Down (Official Video),Naira Marley,250,44,272.0
111,Ori,Barry Jhay,250,45,272.5
112,Epo,Davido,250,47,273.5
113,Lesse passe,Bella Shmurda,250,49,274.5
114,Rihanna - The Kazez,The Kazez,250,51,275.5
115,Kilamiti,Fabian Blu,250,52,276.0
