rank,song,artist,Previous week,weeks on chart
1,Paper,C Blvck and  Peruzzi,-,1
2,Korope,Lil Kesh and  Naira Marley,2,8
3,Party Next Door,Dangbana Republik and  Bella Shmurda,3,10
4,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,5,2
5,Professor Peller (feat. Zlatan),Seyi Vibez,1,10
6,Coming,Naira Marley and  Busiswa,6,10
7,Koleyewon,Naira Marley,7,10
8,KPK (Ko Por Ke) (Official Music Video),Rexxie,8,7
9,Available (feat. Mohbad),C Blvck,9,6
10,Mandeman (Remix) (feat. Davido),Small Doctor,11,10
11,Cash App,"Bella Shmurda,  Zlatan and  Lincoln",13,10
12,Prayer,Lexzydreamz,14,10
13,"What Type Of Dance (feat. Naira Marley, Zlatan & Mayorkun)",DJ Kaywise,15,5
14,Rain,BIGBEN,-,1
15,Kogbede (feat. Wande Coal),CDQ,17,8
16,"Number One (feat. DJ Tarico, Preck & Nelson Tivane)",Dj Consequence and  DJ Tarico,18,2
17,OMOKOMO,Baddy Oosha,19,2
18,Champion,Dangbana Republik and  Bella Shmurda,20,8
19,"We Meuve (feat. TheOnlyRLS, MR OULALA & Shady Humble)",Dj Paak,21,6
20,Energy,SunkkeySnoop,22,5
21,Mofoti 2.0 (feat. Naira Marley & Sarkodie),Rexxie,23,5
22,Hello xe1xbaxb8,Reminisce and  WestSyde,-,1
23,Abeykehh (feat. Diamond Platnumz & Flavour),Masterkraft,24,10
24,Focus,Rudeboy,25,4
25,TEMPLE (Remix) [feat. Bella Shmurda & Wande Coal],Aloma,26,10
26,Problem (feat. Idowest),Stackz,27,6
27,Cut Soap,DJ Xclusive and  Rulerboy,28,7
28,Rush,Dangbana Republik and  Bella Shmurda,29,10
29,Jafafa,Chinko Ekun and  MohBad,30,10
30,No Retire,Jaivah,31,10
31,Troway (feat. Zlatan),Whalez,32,10
32,Cho Cho (feat. Davido & Mayorkun),Zlatan,33,10
33,Gbowo,Nikita,34,10
34,Tekiller,CDQ,35,10
35,About Money,SunkkeySnoop,36,10
36,Normal (feat. Nigga Tee),Hypeman Dewale Mr Pablo,37,10
37,High Way,DJ Kaywise and  Phyno,38,10
38,Egbon,Masterkraft and  Phyno,39,10
39,Mr Money,Asake,40,10
40,Focus Vibe,Slimcase,41,10
41,Asampepe,Wale Turner and  Idowest,42,10
42,Meji,"DwillsHarmony,  Viktor Snipes and  Chinko Ekun",43,10
43,Squander (feat. Niniola & Sayfar) [Remix],"Falz,  Kamo Mphela and  Mpura",44,10
44,Aye Dun Gan,Oyibo Rebel,45,10
45,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky,46,10
46,Sugar Daddy,DJ Enimoney and  Olamide,47,10
47,World,Dangbana Republik and  Bella Shmurda,48,10
48,Kabaa (feat. Mayorkun),Idowest,50,10
49,Barawo (feat. Davido) [Remix],Ajebo Hustlers,-,1
50,Tesina Pot,Jaido P and  Olamide,-,1
