rank,song,artist,apple,youtube,RT
1,Naira Marley,Zinoleesky,1,2,2.0
2,Professor Peller (feat. Zlatan),Seyi Vibez,2,8,6.0
3,Korope,Lil Kesh and  Naira Marley,7,10,12.0
4,Hello Ẹ,Reminisce and  WestSyde,10,13,16.5
5,Party Next Door,Dangbana Republik and  Bella Shmurda,16,3,17.5
6,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,15,7,18.5
7,Kpk (Remix) [feat. Sho Madjozi & MohBad],Rexxie,14,12,20.0
8,Coming,Naira Marley and  Busiswa,25,4,27.0
9,Koleyewon,Naira Marley,26,16,34.0
10,Available (feat. MohBad),C Blvck,29,39,48.5
11,"Lagos Anthem Remix (feat. Oberz, Frescool, Oladips, Kabex & TROD)",Zlatan,39,27,52.5
12,Baba Fela Remix (feat. Zlatan & Laycon),Mr. Real,41,29,55.5
13,Mandeman (feat. Davido) [Remix],Small Doctor,50,21,60.5
14,Cash App,"Bella Shmurda,  Zlatan and  Lincoln",55,20,65.0
15,Prayer (feat. Drekiss),Lexzydreamz,53,48,77.0
16,"What Type of Dance (feat. Mayorkun, Naira Marley & Zlatan)",DJ Kaywise,68,30,83.0
17,Cut Soap,DJ Xclusive and  Rulerboy,3,200,103.0
18,Jafafa,Chinko Ekun and  MohBad,4,200,104.0
19,Champion,Dangbana Republik and  Bella Shmurda,5,200,105.0
20,"We Meuve (feat. TheOnlyRLS, MR OULALA & Shady Humble)",Dj Paak,6,200,106.0
21,Energy,SunkkeySnoop,8,200,108.0
22,Mofoti 2.0 (feat. Naira Marley & Sarkodie),Rexxie,9,200,109.0
23,Abeykehh (feat. Diamond Platnumz & Flavour),Masterkraft,11,200,111.0
24,Focus,Rudeboy,12,200,112.0
25,TEMPLE (Remix) [feat. Bella Shmurda & Wande Coal],Aloma,13,200,113.0
26,Problem (feat. Idowest),Stackz,17,200,117.0
27,Rush,Dangbana Republik and  Bella Shmurda,18,200,118.0
28,No Retire,Jaivah,19,200,119.0
29,Troway (feat. Zlatan),Whalez,20,200,120.0
30,Cho Cho (feat. Davido & Mayorkun),Zlatan,21,200,121.0
31,Gbowo,Nikita,22,200,122.0
32,Tekiller,CDQ,23,200,123.0
33,About Money,SunkkeySnoop,24,200,124.0
34,Normal (feat. Nigga Tee),Hypeman Dewale Mr Pablo,27,200,127.0
35,High Way,DJ Kaywise and  Phyno,28,200,128.0
36,Egbon,Masterkraft and  Phyno,30,200,130.0
37,Mr Money,Asake,31,200,131.0
38,Focus Vibe,Slimcase,32,200,132.0
39,Asampepe,Wale Turner and  Idowest,33,200,133.0
40,Meji,"DwillsHarmony,  Viktor Snipes and  Chinko Ekun",34,200,134.0
41,Squander (feat. Niniola & Sayfar) [Remix],"Falz,  Kamo Mphela and  Mpura",35,200,135.0
42,Aye Dun Gan,Oyibo Rebel,36,200,136.0
43,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky,37,200,137.0
44,Sugar Daddy,DJ Enimoney and  Olamide,38,200,138.0
45,World,Dangbana Republik and  Bella Shmurda,40,200,140.0
46,Hallelujah,Oladips and  Zlatan,43,200,143.0
47,Kabaa (feat. Mayorkun),Idowest,44,200,144.0
48,Barawo (feat. Davido) [Remix],Ajebo Hustlers,45,200,145.0
49,Tesina Pot,Jaido P and  Olamide,46,200,146.0
50,Wagwan,Laycon,47,200,147.0
51,Sapa (feat. Idowest),Bravo AZ,48,200,148.0
52,Lagbaja,Sona,49,200,149.0
53,Dey Here,BoyMX,51,200,151.0
54,Shamaya (feat. Patoranking),Idowest,52,200,152.0
55,Check Am,Chief Obi,54,200,154.0
56,Aunty Fisayo,QD,56,200,156.0
57,Another Banger,Realonyechi,57,200,157.0
58,Doing Well Remix (feat. Skales),Ryme,58,200,158.0
59,Formula 1,Damibliz,59,200,159.0
60,Certainly (feat. Wale Turner & Jaido P),BODE BLAQ,60,200,160.0
61,Kokanmi,Qdot,61,200,161.0
62,If No Be You (feat. Mayorkun),Jamopyper,62,200,162.0
63,Pump Your Parry (Remix) [feat. Naira Marley & C Blvck],Abramsoul,63,200,163.0
64,Mofo,Fikky,64,200,164.0
65,E Choke,Bils,65,200,165.0
66,Kafaya (feat. Bella Shmurda),Daniel Brown,66,200,166.0
67,My Life,Dj Manuel and  Zlatan,67,200,167.0
68,Moyan,CDQ,69,200,169.0
69,Oge (feat. Bad Boy Timz),Anonymous Music,70,200,170.0
70,Want (feat. DanDizzy),Rage,71,200,171.0
71,Billing Npayan,Obaflow,72,200,172.0
72,Bad Boy,"Dj Fizzy,  Baddy Osha,  Slimcase and  CDQ",73,200,173.0
73,NGNP (No Girlfriend No Problem) [feat. Zlatan],Idowest,74,200,174.0
74,Dedede,Boyodre and  Dayo Chino,75,200,175.0
75,Hustle (feat. Zlatan),Reklyn,76,200,176.0
76,The Matter (feat. Papisnoop),Zlatan,77,200,177.0
77,Isolova,Peruzzi,78,200,178.0
78,Olopa (feat. Zlatan),Qdot,79,200,179.0
79,One Leg Up (feat. Tekno),Blaq Jerzee,80,200,180.0
80,Feel Good - Mohbad,Mohbad,250,1,250.5
81,FOCUS DANCE BEAT (feat. Hagman & Abati) - AJIMOVOIX DRUMS,AJIMOVOIX DRUMS,250,5,252.5
82,Rihanna - The Kazez,The Kazez,250,6,253.0
83,Far Away - Bella Shmurda,Bella Shmurda,250,9,254.5
84,Sheydi Balabala (Refix) - Dj Baddo,Dj Baddo,250,11,255.5
85,Kilamiti - Fabian Blu,Fabian Blu,250,14,257.0
86,Zinoleesky - Kilofeshe (Official Video) - MarlianMusic HQ,MarlianMusic HQ,250,15,257.5
87,God Sent - Seyi Vibez,Seyi Vibez,250,17,258.5
88,KAMBA - Terry Apala,Terry Apala,250,18,259.0
89,Happiness - Davolee,Davolee,250,19,259.5
90,Chi Chi - Naira Marley,Naira Marley,250,22,261.0
91,Omo Ologo (Official Video) - LilFroshVEVO,LilFroshVEVO,250,23,261.5
92,Bella Shmurda - Vision2020 [Official Video] ft. Olamide - Bella Shmurda,Bella Shmurda,250,24,262.0
93,Gratitude (feat. Barry Jhay) - Superwozzy,Superwozzy,250,25,262.5
94,"Are You Sure (feat. Naira Marley, Zinoleesky & EMO Grae) - LYTA",LYTA,250,26,263.0
95,Ayewada - Barry Jhay,Barry Jhay,250,28,264.0
96,Your Body - Mayorkun,Mayorkun,250,31,265.5
97,Zinoleesky - MaPariwo (OFFICIAL VIDEO) - Naira Marley,Naira Marley,250,32,266.0
98,As E Dey Go - Naira Marley,Naira Marley,250,33,266.5
99,See Finish (feat. Mayorkun) - Dapo Tuburna,Dapo Tuburna,250,34,267.0
100,Triumphant (feat. Bella Shmurda) - Olamide,Olamide,250,35,267.5
101,All The Way - Lil Kesh,Lil Kesh,250,36,268.0
102,Lowo Lowo (Remix) (feat. Davido) - May D,May D,250,37,268.5
103,Money - Bella Shmurda,Bella Shmurda,250,38,269.0
