rank,song,artist,apple,youtube,RT
1,Korope (Audio slide) - Lil Kesh,"Lil Kesh, Naira Marley",2,1,2.5
2,Naira Marley,Zinoleesky,6,4,8.0
3,KPK (Ko Por Ke) (Official Music Video) (feat. Sho Madjozi & Mohbad) - Rexxie,Rexxie,10,2,11.0
4,Hallelu (feat. Bella Shmurda & Zlatan) - Masterkraft,Masterkraft,11,3,12.5
5,Coming,"Naira Marley, Busiswa",22,5,24.5
6,Rush,"Dangbana Republik, Bella Shmurda",14,22,25.0
7,Koleyewon,Naira Marley,23,12,29.0
8,Hello,"Reminisce, WestSyde",5,51,30.5
9,Cho Cho (feat. Davido & Mayorkun) ,Zlatan,18,29,32.5
10,Kilofese (Official Video) - MarlianMusic HQ,Zinoleesky,34,7,37.5
11,World,"Dangbana Republik, Bella Shmurda",37,19,46.5
12,Available (feat. Mohbad) - C Blvck,C Blvck,26,44,48.0
13,"Baba Fela (Remix) (Official Video) ft. Zlatan, Laycon - Mr Real",Mr. Real,38,23,49.5
14,Mandeman (Remix) (feat. Davido) - Small Doctor,Small Doctor,46,14,53.0
15,Cash App,"Bella Shmurda, Zlatan, Lincoln",50,8,54.0
16,Prayer,Lexzydreamz,49,46,72.0
17,"What Type Of Dance (feat. Naira Marley, Zlatan & Mayorkun) - Dj Kaywise",DJ Kaywise,63,25,75.5
18,If No Be You (feat. Mayorkun),Jamopyper,57,39,76.5
19,Champion,"Dangbana Republik, Bella Shmurda",1,200,101.0
20,Mofoti 2.0 (feat. Naira Marley & Sarkodie),Rexxie,3,200,103.0
21,Check Am,Chief Obi,4,200,104.0
22,Sapa (feat. Idowest),Bravo AZ,7,200,107.0
23,Abeykehh (feat. Diamond Platnumz & Flavour),Masterkraft,8,200,108.0
24,TEMPLE (Remix) [feat. Bella Shmurda & Wande Coal],Aloma,9,200,109.0
25,Party Next Door,"Dangbana Republik, Bella Shmurda",12,200,112.0
26,Problem (feat. Idowest),Stackz,13,200,113.0
27,Shigege,"DJames, Komo",15,200,115.0
28,Jafafa,"Chinko Ekun, MohBad",16,200,116.0
29,Troway (feat. Zlatan),Whalez,17,200,117.0
30,Gbowo,Nikita,19,200,119.0
31,Tekiller,CDQ,20,200,120.0
32,About Money,SunkkeySnoop,21,200,121.0
33,Normal (feat. Nigga Tee),Hypeman Dewale Mr Pablo,24,200,124.0
34,High Way,"DJ Kaywise, Phyno",25,200,125.0
35,Egbon,"Masterkraft, Phyno",27,200,127.0
36,Mr Money,Asake,28,200,128.0
37,Focus Vibe,Slimcase,29,200,129.0
38,Asampepe,"Wale Turner, Idowest",30,200,130.0
39,Meji,"DwillsHarmony, Viktor Snipes, Chinko Ekun",31,200,131.0
40,Squander (feat. Niniola & Sayfar) [Remix],"Falz, Kamo Mphela, Mpura",32,200,132.0
41,Aye Dun Gan,Oyibo Rebel,33,200,133.0
42,Sugar Daddy,"DJ Enimoney, Olamide",35,200,135.0
43,"Lagos Anthem Remix (feat. Oberz, Frescool, Oladips, Kabex & TROD)",Zlatan,36,200,136.0
44,Hallelujah,"Oladips, Zlatan",40,200,140.0
45,Kabaa (feat. Mayorkun),Idowest,41,200,141.0
46,Barawo (feat. Davido) [Remix],Ajebo Hustlers,42,200,142.0
47,Tesina Pot,"Jaido P, Olamide",43,200,143.0
48,Wagwan,Laycon,44,200,144.0
49,Lagbaja,Sona,45,200,145.0
50,Dey Here,BoyMX,47,200,147.0
51,Shamaya (feat. Patoranking),Idowest,48,200,148.0
52,Aunty Fisayo,QD,51,200,151.0
53,Another Banger,Realonyechi,52,200,152.0
54,Doing Well Remix (feat. Skales),Ryme,53,200,153.0
55,Formula 1,Damibliz,54,200,154.0
56,Certainly (feat. Wale Turner & Jaido P),BODE BLAQ,55,200,155.0
57,Kokanmi,Qdot,56,200,156.0
58,Pump Your Parry (Remix) [feat. Naira Marley & C Blvck],Abramsoul,58,200,158.0
59,Mofo,Fikky,59,200,159.0
60,E Choke,Bils,60,200,160.0
61,Kafaya (feat. Bella Shmurda),Daniel Brown,61,200,161.0
62,My Life,"Dj Manuel, Zlatan",62,200,162.0
63,Moyan,CDQ,64,200,164.0
64,Oge (feat. Bad Boy Timz),Anonymous Music,65,200,165.0
65,Want (feat. DanDizzy),Rage,66,200,166.0
66,Billing Npayan,Obaflow,67,200,167.0
67,Bad Boy,"Dj Fizzy, Baddy Osha, Slimcase, CDQ",68,200,168.0
68,NGNP (No Girlfriend No Problem) [feat. Zlatan],Idowest,69,200,169.0
69,Dedede,"Boyodre, Dayo Chino",70,200,170.0
70,Hustle (feat. Zlatan),Reklyn,71,200,171.0
71,The Matter (feat. Papisnoop),Zlatan,72,200,172.0
72,Isolova,Peruzzi,73,200,173.0
73,Olopa (feat. Zlatan),Qdot,74,200,174.0
74,One Leg Up (feat. Tekno),Blaq Jerzee,75,200,175.0
75,FOCUS DANCE BEAT (feat. Hagman & Abati) - AJIMOVOIX DRUMS,AJIMOVOIX DRUMS,250,6,253.0
76,Chi Chi,Naira Marley,250,9,254.5
77,Sheydi Balabala (Refix),Dj Baddo,250,10,255.0
78,KAMBA,Terry Apala,250,11,255.5
79,Omo Ologo (Official Video) - LilFroshVEVO,LilFroshVEVO,250,13,256.5
80,Vision2020 [Official Video] ft. Olamide - Bella Shmurda,Bella Shmurda,250,15,257.5
81,Gratitude (feat. Barry Jhay) - Superwozzy,Superwozzy,250,16,258.0
82,"Are You Sure (feat. Naira Marley, Zinoleesky & EMO Grae) - LYTA",LYTA,250,17,258.5
83,Lagos Anthem,Zlatan,250,18,259.0
84,Ayewada,Barry Jhay,250,20,260.0
85,Happiness,Davolee,250,21,260.5
86,90'S ,Seyi Vibez,250,24,262.0
87,Better Better,Jamopyper,250,26,263.0
88,Caro (Official video) - Naira Marley,Naira Marley,250,27,263.5
89,Your Body,Mayorkun,250,28,264.0
90,Lyta - Hold Me Down (Official Video) - Naira Marley,Naira Marley,250,30,265.0
91,MaPariwo (OFFICIAL VIDEO) - Naira Marley,Naira Marley,250,31,265.5
92,As E Dey Go,Naira Marley,250,32,266.0
93,See Finish (feat. Mayorkun),Dapo Tuburna,250,33,266.5
94,Baba Nla (feat. Teni) - Candy Bleakz,Candy Bleakz,250,34,267.0
95,Triumphant (feat. Bella Shmurda) - Olamide,Olamide,250,35,267.5
96,Lesse passe,Bella Shmurda,250,36,268.0
97,Opor (Remix),Zlatan,250,37,268.5
98,All The Way,Lil Kesh,250,38,269.0
99,Lowo Lowo (Remix) (feat. Davido),May D,250,40,270.0
100,Caro - Idowest Ft Davido,Idowest Ft Davido,250,41,270.5
101,Money,Terri,250,42,271.0
102,Love (Official Video) - Davolee,Davolee,250,43,271.5
103,O Por (Official Audio) - Lil Kesh,Lil Kesh,250,45,272.5
104,Ori,Barry Jhay,250,47,273.5
105,Epo,Davido,250,48,274.0
106,God Sent ,Seyi Vibez,250,49,274.5
107,Omo X 100 (feat. Olamide) - Reminisce,Reminisce,250,50,275.0
