rank,song,artist,apple,youtube,RT
1,Naira Marley,Zinoleesky,1,1,1.5
2,Korope,"Lil Kesh, Naira Marley",5,4,7.0
3,Hallelu (feat. Bella Shmurda & Zlatan) - Masterkraft,Masterkraft,13,3,14.5
4,Coming,"Naira Marley, Busiswa",23,2,24.0
5,KPK (Ko Por Ke) (Official Music Video) (feat. Sho Madjozi & Mohbad) - Rexxie,Rexxie,12,29,26.5
6,Koleyewon (- Naira Marley),Naira Marley,24,12,30.0
7,Cho Cho (feat. Davido & Mayorkun) - Zlatan,Zlatan,19,30,34.0
8,Available (feat. Mohbad) - C Blvck,C Blvck,27,42,48.0
9,"Baba Fela Remix (Official Video) ft. Zlatan, Laycon - Mr Real",Mr. Real,39,21,49.5
10,Mandeman (Remix) (feat. Davido) - Small Doctor,Small Doctor,47,14,54.0
11,Cash App ,"Bella Shmurda, Zlatan, Lincoln",51,9,55.5
12,"What Type Of Dance (feat. Naira Marley, Zlatan & Mayorkun) - Dj Kaywise",DJ Kaywise,64,23,75.5
13,If No Be You (feat. Mayorkun) - Jamopyper,Jamopyper,58,40,78.0
14,Cut Soap,"DJ Xclusive, Rulerboy",2,200,102.0
15,Jafafa,"Chinko Ekun, MohBad",3,200,103.0
16,Champion,"Dangbana Republik, Bella Shmurda",4,200,104.0
17,Mofoti 2.0 (feat. Naira Marley & Sarkodie),Rexxie,6,200,106.0
18,Check Am,Chief Obi,7,200,107.0
19,Hello xe1xbaxb8,"Reminisce, WestSyde",8,200,108.0
20,Sapa (feat. Idowest),Bravo AZ,9,200,109.0
21,Abeykehh (feat. Diamond Platnumz & Flavour),Masterkraft,10,200,110.0
22,TEMPLE (Remix) [feat. Bella Shmurda & Wande Coal],Aloma,11,200,111.0
23,Party Next Door,"Dangbana Republik, Bella Shmurda",14,200,114.0
24,Problem (feat. Idowest),Stackz,15,200,115.0
25,Rush,"Dangbana Republik, Bella Shmurda",16,200,116.0
26,No Retire,Jaivah,17,200,117.0
27,Troway (feat. Zlatan),Whalez,18,200,118.0
28,Gbowo,Nikita,20,200,120.0
29,Tekiller,CDQ,21,200,121.0
30,About Money,SunkkeySnoop,22,200,122.0
31,Normal (feat. Nigga Tee),Hypeman Dewale Mr Pablo,25,200,125.0
32,High Way,"DJ Kaywise, Phyno",26,200,126.0
33,Egbon,"Masterkraft, Phyno",28,200,128.0
34,Mr Money,Asake,29,200,129.0
35,Focus Vibe,Slimcase,30,200,130.0
36,Asampepe,"Wale Turner, Idowest",31,200,131.0
37,Meji,"DwillsHarmony, Viktor Snipes, Chinko Ekun",32,200,132.0
38,Squander (feat. Niniola & Sayfar) [Remix],"Falz, Kamo Mphela, Mpura",33,200,133.0
39,Aye Dun Gan,Oyibo Rebel,34,200,134.0
40,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky,35,200,135.0
41,Sugar Daddy,"DJ Enimoney, Olamide",36,200,136.0
42,"Lagos Anthem Remix (feat. Oberz, Frescool, Oladips, Kabex & TROD)",Zlatan,37,200,137.0
43,World,"Dangbana Republik, Bella Shmurda",38,200,138.0
44,Hallelujah,"Oladips, Zlatan",41,200,141.0
