rank,song,artist,Previous week,weeks on chart
1,Naira Marley,Zinoleesky,2,3
2,Korope,"Lil Kesh, Naira Marley",1,3
3,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,4,5
4,Coming,"Naira Marley, Busiswa",5,5
5,KPK (Ko Por Ke) (Official Music Video),Rexxie,3,5
6,Koleyewon,Naira Marley,7,5
7,Cho Cho (feat. Davido & Mayorkun),Zlatan,9,5
8,Available (feat. Mohbad),C Blvck,12,2
9,"Baba Fela Remix (Official Video) ft. Zlatan, Laycon - Mr Real",Mr. Real,-,1
10,Mandeman (Remix) (feat. Davido),Small Doctor,14,5
11,Cash App,"Bella Shmurda, Zlatan, Lincoln",15,5
12,"What Type Of Dance (feat. Naira Marley, Zlatan & Mayorkun)",DJ Kaywise,17,5
13,If No Be You (feat. Mayorkun),Jamopyper,18,2
14,Cut Soap,"DJ Xclusive, Rulerboy",-,1
15,Jafafa,"Chinko Ekun, MohBad",28,3
16,Champion,"Dangbana Republik, Bella Shmurda",19,3
17,Mofoti 2.0 (feat. Naira Marley & Sarkodie),Rexxie,20,5
18,Check Am,Chief Obi,21,3
19,Hello xe1xbaxb8,"Reminisce, WestSyde",-,1
20,Sapa (feat. Idowest),Bravo AZ,22,5
21,Abeykehh (feat. Diamond Platnumz & Flavour),Masterkraft,23,2
22,TEMPLE (Remix) [feat. Bella Shmurda & Wande Coal],Aloma,24,2
23,Party Next Door,"Dangbana Republik, Bella Shmurda",25,5
24,Problem (feat. Idowest),Stackz,26,2
25,Rush,"Dangbana Republik, Bella Shmurda",6,5
26,No Retire,Jaivah,-,1
27,Troway (feat. Zlatan),Whalez,29,2
28,Gbowo,Nikita,30,5
29,Tekiller,CDQ,31,5
30,About Money,SunkkeySnoop,32,5
31,Normal (feat. Nigga Tee),Hypeman Dewale Mr Pablo,33,5
32,High Way,"DJ Kaywise, Phyno",34,5
33,Egbon,"Masterkraft, Phyno",35,5
34,Mr Money,Asake,36,5
35,Focus Vibe,Slimcase,37,5
36,Asampepe,"Wale Turner, Idowest",38,5
37,Meji,"DwillsHarmony, Viktor Snipes, Chinko Ekun",39,5
38,Squander (feat. Niniola & Sayfar) [Remix],"Falz, Kamo Mphela, Mpura",40,5
39,Aye Dun Gan,Oyibo Rebel,41,5
40,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky,10,5
41,Sugar Daddy,"DJ Enimoney, Olamide",42,5
42,"Lagos Anthem Remix (feat. Oberz, Frescool, Oladips, Kabex & TROD)",Zlatan,43,5
43,World,"Dangbana Republik, Bella Shmurda",11,5
44,Hallelujah,"Oladips, Zlatan",44,5
45,Kabaa (feat. Mayorkun),Idowest,45,5
46,Barawo (feat. Davido) [Remix],Ajebo Hustlers,46,5
47,Tesina Pot,"Jaido P, Olamide",47,5
48,Wagwan,Laycon,48,5
49,Lagbaja,Sona,49,5
50,Dey Here,BoyMX,50,5
