rank,song,artist,Previous week,weeks on chart
1,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,3,2
2,Cho Cho (feat. Davido & Mayorkun),Zlatan,5,2
3,Koleyewon,Naira Marley,7,2
4,Rush,"Dangbana Republik, Bella Shmurda",2,2
5,Coming,"Naira Marley, Busiswa",4,2
6,KPK (Remix) (feat. Mohbad & Sho Madjozi),Rexxie,1,2
7,Available (feat. Mohbad),C Blvck,8,2
8,Jafafa,"Chinko Ekun, MohBad",6,2
9,World,"Dangbana Republik, Bella Shmurda",9,2
10,Mandeman (Remix) (feat. Davido),Small Doctor,11,2
11,Cash App,"Bella Shmurda, Zlatan, Lincoln",10,2
12,Prayer,Lexzydreamz,13,2
13,Tesina Pot,"Jaido P, Olamide",12,2
14,"What Type Of Dance (feat. Naira Marley, Zlatan & Mayorkun)",DJ Kaywise,14,2
15,If No Be You (feat. Mayorkun),Jamopyper,15,2
16,Korope,"Lil Kesh, Naira Marley",-,1
17,Problem (feat. Idowest),Stackz,16,2
18,Dey Here,BoyMX,17,2
19,Troway (feat. Zlatan),Whalez,19,2
20,Gbowo,Nikita,20,2
21,About Money,SunkkeySnoop,21,2
22,Dedede,"Boyodre, Dayo Chino",22,2
23,Formula 1,Damibliz,23,2
24,Normal (feat. Nigga Tee),Hypeman Dewale Mr Pablo,24,2
25,High Way,"DJ Kaywise, Phyno",25,2
26,Egbon,"Masterkraft, Phyno",26,2
27,Mr Money,Asake,27,2
28,Focus Vibe,Slimcase,28,2
29,Asampepe,"Wale Turner, Idowest",29,2
30,Meji,"DwillsHarmony, Viktor Snipes, Chinko Ekun",30,2
31,Squander (feat. Niniola & Sayfar) [Remix],"Falz, Kamo Mphela, Mpura",31,2
32,Aye Dun Gan,Oyibo Rebel,32,2
33,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky,33,2
34,Sugar Daddy,"DJ Enimoney, Olamide",34,2
35,"Lagos Anthem Remix (feat. Oberz, Frescool, Oladips, Kabex & TROD)",Zlatan,35,2
36,Baba Fela Remix (feat. Zlatan & Laycon),Mr. Real,36,2
37,Hallelujah,"Oladips, Zlatan",37,2
38,Kabaa (feat. Mayorkun),Idowest,38,2
39,Barawo (feat. Davido) [Remix],Ajebo Hustlers,39,2
40,Wagwan,Laycon,40,2
41,Lagbaja,Sona,41,2
42,Shamaya (feat. Patoranking),Idowest,42,2
43,Aunty Fisayo,QD,43,2
44,Another Banger,Realonyechi,44,2
45,Doing Well Remix (feat. Skales),Ryme,45,2
46,Certainly (feat. Wale Turner & Jaido P),BODE BLAQ,46,2
47,Kokanmi,Qdot,47,2
48,Pump Your Parry (Remix) [feat. Naira Marley & C Blvck],Abramsoul,48,2
49,Mofo,Fikky,49,2
50,E Choke,Bils,50,2
