rank,song,artist,apple,youtube,RT
1,Professor Peller (feat. Zlatan),Seyi Vibez,4,12,10.0
2,Party Next Door,Dangbana Republik and  Bella Shmurda,19,4,21.0
3,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,18,7,21.5
4,Korope,Lil Kesh and  Naira Marley,1,46,24.0
5,Paper,C Blvck and  Peruzzi,11,43,32.5
6,Coming,Naira Marley and  Busiswa,30,8,34.0
7,Koleyewon,Naira Marley,31,16,39.0
8,Kpk (Remix) [feat. Sho Madjozi & MohBad],Rexxie,17,49,41.5
9,Available (feat. MohBad),C Blvck,34,28,48.0
10,Mandeman (feat. Davido) [Remix],Small Doctor,55,17,63.5
11,Baba Fela (feat. Laycon & Zlatan) [Remix],Mr Real,46,40,66.0
12,Cash App,"Bella Shmurda,  Zlatan and  Lincoln",60,32,76.0
13,Prayer (feat. Drekiss),Lexzydreamz,58,38,77.0
14,"What Type of Dance (feat. Mayorkun, Naira Marley & Zlatan)",DJ Kaywise,73,23,84.5
15,Rain,BIGBEN,2,200,102.0
16,Kogbede (feat. Wande Coal),CDQ,3,200,103.0
17,Number One (feat. Preck & Nelson Tivane),Dj Consequence and  DJ Tarico,5,200,105.0
18,Jazz Up,"Dj Java,  Remy Baggins and  PsychoYP",6,200,106.0
19,OMOKOMO,Baddy Oosha,7,200,107.0
20,Champion,Dangbana Republik and  Bella Shmurda,8,200,108.0
21,"We Meuve (feat. TheOnlyRLS, MR OULALA & Shady Humble)",Dj Paak,9,200,109.0
22,Energy,SunkkeySnoop,10,200,110.0
23,Mofoti 2.0 (feat. Naira Marley & Sarkodie),Rexxie,12,200,112.0
24,Hello xe1xbaxb8,Reminisce and  WestSyde,13,200,113.0
25,Abeykehh (feat. Diamond Platnumz & Flavour),Masterkraft,14,200,114.0
26,Focus,Rudeboy,15,200,115.0
27,TEMPLE (Remix) [feat. Bella Shmurda & Wande Coal],Aloma,16,200,116.0
28,Problem (feat. Idowest),Stackz,20,200,120.0
29,Cut Soap,DJ Xclusive and  Rulerboy,21,200,121.0
30,Rush,Dangbana Republik and  Bella Shmurda,22,200,122.0
31,Jafafa,Chinko Ekun and  MohBad,23,200,123.0
32,No Retire,Jaivah,24,200,124.0
33,Troway (feat. Zlatan),Whalez,25,200,125.0
34,Cho Cho (feat. Davido & Mayorkun),Zlatan,26,200,126.0
35,Gbowo,Nikita,27,200,127.0
36,Tekiller,CDQ,28,200,128.0
37,About Money,SunkkeySnoop,29,200,129.0
38,Normal (feat. Nigga Tee),Hypeman Dewale Mr Pablo,32,200,132.0
39,High Way,DJ Kaywise and  Phyno,33,200,133.0
40,Egbon,Masterkraft and  Phyno,35,200,135.0
41,Mr Money,Asake,36,200,136.0
42,Focus Vibe,Slimcase,37,200,137.0
43,Asampepe,Wale Turner and  Idowest,38,200,138.0
44,Meji,"DwillsHarmony,  Viktor Snipes and  Chinko Ekun",39,200,139.0
45,Squander (feat. Niniola & Sayfar) [Remix],"Falz,  Kamo Mphela and  Mpura",40,200,140.0
46,Aye Dun Gan,Oyibo Rebel,41,200,141.0
47,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky,42,200,142.0
48,Sugar Daddy,DJ Enimoney and  Olamide,43,200,143.0
49,Lagos Anthem Remix,Zlatan,44,200,144.0
50,World,Dangbana Republik and  Bella Shmurda,45,200,145.0
51,Hallelujah,Oladips and  Zlatan,48,200,148.0
52,Kabaa (feat. Mayorkun),Idowest,49,200,149.0
53,Barawo (feat. Davido) [Remix],Ajebo Hustlers,50,200,150.0
54,Tesina Pot,Jaido P and  Olamide,51,200,151.0
55,Wagwan,Laycon,52,200,152.0
56,Sapa (feat. Idowest),Bravo AZ,53,200,153.0
57,Lagbaja,Sona,54,200,154.0
58,Dey Here,BoyMX,56,200,156.0
59,Shamaya (feat. Patoranking),Idowest,57,200,157.0
60,Check Am,Chief Obi,59,200,159.0
61,Aunty Fisayo,QD,61,200,161.0
62,Another Banger,Realonyechi,62,200,162.0
63,Doing Well Remix (feat. Skales),Ryme,63,200,163.0
64,Formula 1,Damibliz,64,200,164.0
65,Certainly (feat. Wale Turner & Jaido P),BODE BLAQ,65,200,165.0
66,Kokanmi,Qdot,66,200,166.0
67,If No Be You (feat. Mayorkun),Jamopyper,67,200,167.0
68,Pump Your Parry (Remix) [feat. Naira Marley & C Blvck],Abramsoul,68,200,168.0
69,Mofo,Fikky,69,200,169.0
70,E Choke,Bils,70,200,170.0
71,Kafaya (feat. Bella Shmurda),Daniel Brown,71,200,171.0
72,My Life (feat. Zlatan),Dj Manuel,72,200,172.0
73,Moyan,CDQ,74,200,174.0
74,Oge (feat. Bad Boy Timz),Anonymous Music,75,200,175.0
75,Want (feat. DanDizzy),Rage,76,200,176.0
76,Billing Npayan,Obaflow,77,200,177.0
77,Bad Boy,"Dj Fizzy,  Baddy Osha,  Slimcase and  CDQ",78,200,178.0
78,Ngnp (No Girlfriend No Problem) [feat. Zlatan],Idowest,79,200,179.0
79,Dedede,Boyodre and  Dayo Chino,80,200,180.0
80,Hustle (feat. Zlatan),Reklyn,81,200,181.0
81,The Matter (feat. Papisnoop),Zlatan,82,200,182.0
82,Isolova,Peruzzi,83,200,183.0
83,Olopa (feat. Zlatan),Qdot,84,200,184.0
84,Shako - Barry Jhay,Barry Jhay,250,1,250.5
85,Feel Good - Mohbad,Mohbad,250,2,251.0
86,Zinoleesky - Naira Marley (Official Video) - Naira Marley,Naira Marley,250,3,251.5
87,CDQ - Kogbede ft Wande Coal (Official Video) (feat. CDQ) - Sossick,Sossick,250,5,252.5
88,Drug Test - Naira Marley,Naira Marley,250,6,253.0
89,Sheydi Balabala (Refix) - Dj Baddo,Dj Baddo,250,9,254.5
90,FOCUS DANCE BEAT (feat. Hagman & Abati) - AJIMOVOIX DRUMS,AJIMOVOIX DRUMS,250,10,255.0
91,Far Away - Bella Shmurda,Bella Shmurda,250,11,255.5
92,Kilofeshe - Zinoleesky,Zinoleesky,250,13,256.5
93,Denge Pose (feat. MohBad) - Lil Frosh,Lil Frosh,250,14,257.0
94,MAKAVELI (Official Audio) - T-Classic,T-Classic,250,15,257.5
95,Bella Shmurda - Vision2020 [Official Video] ft. Olamide - Bella Shmurda,Bella Shmurda,250,18,259.0
96,Omo Ologo (Official Video) - LilFroshVEVO,LilFroshVEVO,250,19,259.5
97,God sent - Seyi Vibez,Seyi Vibez,250,20,260.0
98,Happiness - Davolee,Davolee,250,21,260.5
99,Gratitude (feat. Barry Jhay) - Superwozzy,Superwozzy,250,22,261.0
100,KAMBA - Terry Apala,Terry Apala,250,24,262.0
101,Better Better - Jamopyper,Jamopyper,250,25,262.5
102,All The Way - Lil Kesh,Lil Kesh,250,26,263.0
103,"Are You Sure (feat. Emo Grae, Naira Marley & Zinoleesky) - Lyta",Lyta,250,27,263.5
104,Epo - Davido,Davido,250,29,264.5
105,Zinoleesky - MaPariwo (OFFICIAL VIDEO) - Naira Marley,Naira Marley,250,30,265.0
106,Ori - Barry Jhay,Barry Jhay,250,31,265.5
107,Ayewada - Barry Jhay,Barry Jhay,250,33,266.5
108,Lil Kesh & Naira Marley - O Por (Official Audio) - Lil Kesh,Lil Kesh,250,34,267.0
109,Your Body - Mayorkun,Mayorkun,250,35,267.5
110,Hello Ẹ - Reminisce,Reminisce,250,36,268.0
111,See Finish (feat. Mayorkun) - Dapo Tuburna,Dapo Tuburna,250,37,268.5
112,Babylon - Picazo,Picazo,250,39,269.5
113,Lyta - Hold Me Down (Official Video) - Naira Marley,Naira Marley,250,41,270.5
114,Chi Chi - Naira Marley,Naira Marley,250,42,271.0
115,Triumphant (feat. Bella Shmurda) - Olamide,Olamide,250,44,272.0
116,90’S - Seyi Vibez,Seyi Vibez,250,45,272.5
117,Lagos Anthem - Zlatan,Zlatan,250,47,273.5
118,Money - Bella Shmurda,Bella Shmurda,250,48,274.0
119,Last Last (Lyric Video) - Jaywon,Jaywon,250,51,275.5
120,Las Last (feat. seyi vibez) - jaywon,jaywon,250,52,276.0
