rank,song,artist,apple,youtube,RT
97,Zinoleesky - MaPariwo (OFFICIAL VIDEO) - Naira Marley,Naira Marley,250,26,263.0
98,KAMBA - Terry Apala,Terry Apala,250,28,264.0
99,Your Body - Mayorkun,Mayorkun,250,29,264.5
100,Better Better - Jamopyper,Jamopyper,250,30,265.0
101,All The Way - Lil Kesh,Lil Kesh,250,31,265.5
102,Chi Chi - Naira Marley,Naira Marley,250,32,266.0
103,Triumphant (feat. Bella Shmurda) - Olamide,Olamide,250,34,267.0
104,Kilamiti - Fabian Blu,Fabian Blu,250,35,267.5
105,Ori - Barry Jhay,Barry Jhay,250,36,268.0
106,See Finish (feat. Mayorkun) - Dapo Tuburna,Dapo Tuburna,250,37,268.5
107,Rihanna - The Kazez,The Kazez,250,38,269.0
108,90’S - Seyi Vibez,Seyi Vibez,250,39,269.5
109,Lil Kesh & Naira Marley - O Por (Official Audio) - Lil Kesh,Lil Kesh,250,40,270.0
110,Lyta - Hold Me Down (Official Video) - Naira Marley,Naira Marley,250,42,271.0
111,Ayewada - Barry Jhay,Barry Jhay,250,43,271.5
112,Money - Bella Shmurda,Bella Shmurda,250,44,272.0
113,Epo - Davido,Davido,250,46,273.0
114,Love (Official Video) - Davolee,Davolee,250,47,273.5
115,"Are You Sure (feat. Emo Grae, Naira Marley & Zinoleesky) - Lyta",Lyta,250,49,274.5
116,Lowo Lowo (Remix) (feat. Davido) - May D,May D,250,51,275.5
117,CDQ - Kogbede ft. Wande Coal (Official Audio) - CDQ,CDQ,250,53,276.5
118,CDQ - Kogbede ft Wande Coal (Official Video) (feat. CDQ) - Sossick,Sossick,250,54,277.0
