,artist,song
0,Mrolaide ,Feel
1,Reminisce,Omo X 100 ft. Olamide
2,Kaptain,Check Yourself
3,Jae5,Dimension ft. Skepta & Rema
4,Naira Marley,Koleyewon
5,Erigga,Many Nites
6,Sarkodie,Coachella ft. Kwesi Arthur
7,Erigga,Dick Appointment
8,Lojay,LV N ATTN feat. Wizkid ft. Sarz & Wizkid
9,Erigga,Wahala Dey
10,2jaja,Fans
11,Vector,Early Momo ft. Good Girl LA
12,Phyno,For the Money ft. Peruzzi
13,Roddy Ricch,Late At Night
14,M.I Abaga,All My Life (feat. Oxlade)
15,Dremo,Ego ft. Jeriq
16,Erigga,I No Wear Pant
17,Migos,Having Our Way ft. Drake
18,Nasty C,Jack
19,Erigga,The End
20,Megan Thee Stallion,Thot Shit
21,LiL Baby,Voice of the Heroes ft. Lil Durk
22,Lojay,Tonongo ft. Sarz
23,Pop Smoke,Dior
24,Dremo,East To West ft. Jeriq
25,DaBaby,Ball If I Want To
26,Juice WRLD,Stay High
27,Pop Smoke,Mood Swings ft. Lil Tjay
28,Erigga,Dont Die Alive
29,Show Dem Camp,Rise Of The Underdogs 2 ft. Tomi Thomas
30,POLO G,RAPSTAR
31,DJ Khaled,LET IT GO ft. Justin Bieber & 21 Savage
32,LiL Baby,Rich Off Pain ft. Lil Durk & Rod Wave
33,Juice WRLD,Wishing Well
34,Kaptain,Problem
35,Cardi B,Up
36,Dremo,Secure The Bag ft. Jeriq
37,POLO G,Fame & Riches ft. Roddy Ricch
38,Pop Smoke,The Woo ft. 50 Cent & Roddy Ricch
39,LiL Baby,Hats Off ft. Lil Durk & Travis Scott
40,Dremo,Imakwa ft. Jeriq
41,Tion Wayne,"Body (Remix) ft. Russ Millions, ArrDee, E1 (3x3), ZT (3x3) & Bugzy Malone"
42,Erigga,Jollof Rice ft. Duncan Mighty
43,Pop Smoke,For The Night ft. Lil Baby & DaBaby
44,A-Q,Breathe ft. Chike
45,Don Toliver,Drugs N Hella Melodies (feat. Kali Uchis)
46,J. Cole,p r i d e . i s . t h e . d e v i l ft. Lil Baby
47,Juice WRLD,Robbery
48,Kaptain,In Love ft. Satyango
49,Drake,Laugh Now Cry Later ft. Lil Durk
