,artist,song
0,Drake,Fountains ft. Tems
1,Drake,Girls Want Girls ft. Lil Baby
2,Lojay,Monalisa ft. Sarz
3,Dremo,Wonder ft. Patoranking
4,Drake,TSU
5,Kanye West,Off The Grid
6,Kanye West,Praise God
7,Kaptain,Check Yourself
8,Drake,Fair Trade ft. Travis Scott
9,Mrolaide ,Ride
10,Ruger,Bounce (UK Remix) ft. Midas The Jagaban
11,Vector,Early Momo ft. Good Girl LA
12,Drake,Way 2 Sexy ft. Future & Young Thug
13,Naira Marley,Koleyewon
14,Drake,Love All ft. JAY-Z
15,Drake,Champagne Poetry
16,Phyno,For the Money ft. Peruzzi
17,Sarkodie,Non Living Thing feat. Oxlade
18,Roddy Ricch,Late At Night
19,Drake,In The Bible ft. Lil Durk & Giveon
20,Jae5,Dimension ft. Skepta & Rema
21,Erigga,Many Nites
22,Kanye West,Jail
23,Dave,System ft. WizKid
24,Drake,No Friends In The Industry
25,Juice WRLD,Stay High
26,Nasty C,Jack
27,M.I Abaga,All My Life (feat. Oxlade)
28,Drake,Papixe2x80x99s Home
29,Pop Smoke,Dior
30,Roddy Ricch,The Box
31,Erigga,Dick Appointment
32,Juice WRLD,Robbery
33,Kanye West,Hurricane
34,Roddy Ricch,Die Young
35,Pop Smoke,Mood Swings ft. Lil Tjay
36,Drake,N 2 Deep ft. Future
37,Juice WRLD,Wishing Well
38,Meek Mill,Sharing Locations (feat. Lil Baby & Lil Durk)
39,Lojay,Tonongo ft. Sarz
40,Cardi B,Up
41,Illbliss,"Port Harcourt ft. Illgod, Dr Barz, Timi Kei & Spaceman"
42,Drake,Pipe Down
43,Drake,7am On Bridle Path
44,Roddy Ricch,Down Below
45,Balloranking,Sorry ft. Mohbad
46,Drake,Knife Talk ft. 21 Savage & Project Pat
47,Black Sherif,Second Sermon
48,Drake,You Only Live Twice ft. Lil Wayne & Rick Ross
49,Young Thug,Tick Tock
