,artist,song
0,Lojay,Monalisa ft. Sarz
1,PlaTBoss,Matriculation (Intro)
2,PlaTBoss,Hustler's Tale
3,PlaTBoss,Politics and Lies
4,PlaTBoss,Trust Issues
5,PlaTBoss,Tomorrow Never Comes
6,PlaTBoss,Balling
7,PlaTBoss,Living It Up
8,PlaTBoss,Indifferent
9,PlaTBoss,Graduation
10,Kaptain,Check Yourself
11,Naira Marley,Koleyewon
12,Vector,Early Momo ft. Good Girl LA
13,Jae5,Dimension ft. Skepta & Rema
14,Erigga,Many Nites
15,Sarkodie,Non Living Thing feat. Oxlade
16,Dave,System ft. WizKid
17,Black Sherif,Second Sermon
18,Phyno,For the Money ft. Peruzzi
19,M.I Abaga,All My Life (feat. Oxlade)
20,Nasty C,Jack
21,Roddy Ricch,Late At Night
22,Erigga,Dick Appointment
23,Juice WRLD,Stay High
24,Show Dem Camp,Align ft. LadiPoe
25,Lojay,Tonongo ft. Sarz
26,Dave,Lazarus ft. Boj
27,Pop Smoke,Dior
28,Erigga,Wahala Dey
29,Roddy Ricch,The Box
30,Pop Smoke,Mood Swings ft. Lil Tjay
31,Roddy Ricch,Die Young
32,Balloranking,Sorry ft. Mohbad
33,Juice WRLD,Wishing Well
34,Pop Smoke,Bout A Million ft. 21 Savage & 42 Dugg
35,Erigga,I No Wear Pant
36,LiL Baby,Voice of the Heroes ft. Lil Durk
37,Dremo,East To West ft. Jeriq
38,Roddy Ricch,Down Below
39,Cardi B,Up
40,Dave,Clash ft. Stormzy
41,Pop Smoke,Tell The Vision ft. Kanye West & Pusha T
42,Dremo,Ego ft. Jeriq
43,Roddy Ricch,High Fashion (feat. Mustard)
44,Sarkodie,Coachella feat. Kwesi Arthur
45,Erigga,Jollof Rice ft. Duncan Mighty
46,Roddy Ricch,God's Eyes
47,Juice WRLD,Robbery
48,Show Dem Camp,Tycoon ft. Reminisce & Mojo
49,Erigga,Area To The World ft. Victor AD
