position,album
1,Uy Scuti
2,Somewhere Between Beauty & Magic
3,Carpe Diem
4,PANDEMIC
5,Twice As Tall
6,What Have We Done
7,APOLLO
8,Boo of the Booless
9,Made In Lagos
10,WONDALAND
11,A Better Time
12,Twelve A.M
13,Man Of Galilee
14,Before the Chaos EP
15,Alagbe
16,Too Faithful
17,Get Layd
18,SATISFIED
19,"Laughter, Tears & Goosebumps"
20,Hallelujah Again (Revelation 19:3)
21,A True Champion
22,Three
23,The Gospel of the Kingdom
24,Yes And Amen
25,Man Of Galilee (Live)
26,African Giant
27,Justice
28,King Of Love
29,Ecstasy
30,The King Is Coming
31,KAIROS
32,Love or the Word (EP)
33,The Voice of the Heroes
34,Born Of God
35,Ea$t N We$t
36,High Tension
37,Superstar
38,Simisola
39,The Prodigal
40,LV N ATTN
41,Fuji The Sound
42,Sex Over Love
43,Love & Light EP
44,Flavour of Africa
45,Omo Charlie Champagne Vol. I
46,Mafia Culture (Vol. 2.0)
47,LOL (Lord Of Lamba) EP
48,The Erigma II
49,Barry Back The EP
50,You Have Done Me Well
51,Legends Never Die
52,Hall of Fame
53,Next Level
54,Ayo (Joy)
55,The Life And Times Of 50th Birthday Edition
56,A Good Time
57,Kingdom Now
58,...Shall We Begin...
59,The Cross: My Gaze
60,Culture III
61,Cultural Praise
62,TOO LATE TOO LIT (EP)
63,Something Else EP
64,Deal With It
65,Shoot For The Stars Aim For The Moon
66,Please Excuse Me for Being Antisocial
67,The Golden Boy
68,You Are Great
69,Gratitude
70,\xc3\x8cR\xc3\x8c (The Album Live) (Live)
71,Outside
72,No Bad Songz
73,Rum & Boogie
74,Grass 2 Grace
75,This God Is Too Good
76,Kapacity
77,\xc3\x8cm\xc3\xba\xe1\xb9\xa3\xe1\xba\xb9!
78,Boyfriend
79,Hymnal (Volume 1)
80,KHALED KHALED
81,The Spirit Of Light
82,The Playmaker
83,Chiomalized
84,Country Moods
85,The Off-Season
86,Warriors
87,Death Race For Love
88,Once in a Lifetime (Live)
89,Meet The Woo
90,Coast To Coast (Expanded Edition)
91,Faith Is Rising
92,Mother Nature
93,Hakuna Matata
94,Meet The Woo 2 (Deluxe)
95,Colours And Sounds
96,Street OT
97,About 30
98,By Special Request Vol. 2
99,Gongo Aso
100,AWOL
