,artist,song
0,Black Sherif,Second Sermon
1,Nandy,Nimekuzoea
2,Otile Brown,Such Kinda Love ft. Jovial
3,Omah Lay,Understand
4,GUCHI,Jennifer (Remix) ft. Rayvanny
5,Mbosso,Baikoko ft. Diamond Platnumz
6,Zuchu,Nyumba Ndogo
7,Diamond Platnumz,Kamata
8,LADIPOE,Feeling ft. Buju
9,Alikiba,Salute (feat. Rudeboy)
10,Omah Lay,Godly
11,KiDi,Touch It
12,AV,Big Thug Boys
13,Sarkodie,Coachella ft. Kwesi Arthur
14,Olamide,Infinity ft. Omah Lay
15,Zuchu,Sukari
16,Alikiba,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour)"
17,Diamond Platnumz,"IYO (feat. Focalistic, Mapara A Jazz, & Ntosh Gazi)"
18,Chike,Running (To You) ft. Simi
19,Joeboy,Show Me
20,Otile Brown,Jeraha ft. Jovial
21,Burna Boy,Kilometre
22,Rayvanny,Number One ft. Zuchu
23,Joeboy,Door ft. Kwesi Arthur
24,Sefa,E Choke ft. Mr Drew
25,Cheque,History ft. Fireboy DML
26,JAY BAHD,"Y3 Y3 DOM ft. Skyface SDW, Reggie, Kwaku DMC, City Boy & Kawabanga"
27,Joeboy,Focus
28,Harmonize,Sandakalawe
29,Mbosso,Yalaah
30,Diana Hamilton,Adom Grace
31,Mejja,Tabia Za Wakenya (Kanairo)
32,Ruger,Bounce
33,Patoranking,Abule
34,Mbosso,Mtaalam
35,Ks bloom,Enfant de Dieu ( L\xe2\x80\x99hymne national)
36,Marioo (TZ),For You
37,Jaywillz,Medicine
38,Gyakie,Forever (Remix) ft. Omah Lay
39,Killy (TZ),Mwisho
40,Kwame Yogot,Biibi Besi ft. Kuami Eugene
41,Olamide,Rock
42,Anjella,Nobody
43,Sarkodie,Vibration ft. Vic Mensa
44,Mr Drew,Mood
45,Mr Drew,Pains
46,Dadju,Mon soleil ft. Anitta
47,Zuchu,Cheche ft. Diamond Platnumz
48,KS Bloom,La Mour
49,Naira Marley,Coming ft. Busiswa
50,Otile Brown,Regina ft. Jux
51,Otile Brown,Dusuma ft. Meddy
52,Rayvanny,Lala ft. Jux
53,Steve Crown,You Are Yahweh
54,Ada Ehi,"Congratulations ft, Buchi"
55,Jeeba,Guuy
56,Olamide,Need For Speed
57,Otile Brown,In Love ft. AliKiba
58,Omah Lay,Bad Influence 
59,Sarkodie,Happy Day ft. Kuami Eugene
60,Zuchu, Litawachoma ft. Diamond Platnumz
61,Judikay,Omemma ((Live))
62,King Promise,Slow Down
63,DJ Neptune,Nobody ft. Joeboy & Mr Eazi
64,Mr Eazi,Rotate (Freestyle)
65,Black Sherif,Destiny
66,Kuami Eugene,Dollar On You
67,Omah Lay,Bad Influence
68,Killy (TZ),Roho
69,Mbosso,Fall
70,Adekunle Gold,Sinner ft. Lucky Daye
71,Judikay,Capable God
72,O\'Kenneth,AGYEIWAA ft. Reggie & City Boy
73,Mbosso,Kiss Me
74,Maroon 5,Beautiful Mistakes ft. Megan Thee Stallion
75,Nikita Kering\',Ex
76,DJ Tarico,"Yaba Buluku (Remix) (Remix) ft. Burna Boy, Preck & Nelson Tivane"
77,Justin Bieber,Peaches (Masterkraft Remix) ft. Alpha P & Omah Lay
78,KiDi,Golden Boy
79,Buju,Outside
80,Harmonize,Vibaya
81,Fireboy DML,Like I Do
82,Yaw Tog,Sore (Remix) (Remix) ft. Stormzy & Kwesi Arthur
83,Patoranking,Celebrate Me
84,Jay Melody,Najieka
85,Nandy,New Couple
86,Yaw Tog,Fake Ex
87,Joeboy,Call
88,Lava Lava,Nikomeshe
89,Justin Bieber,Peaches ft. Daniel Caesar & Giveon
90,Diamond Platnumz,Waah! ft. Koffi Olomide
91,Omah Lay,You
92,Mejja,Siskii (Kamote)
93,Dieyla Gueye,M\'a Ngui Baxx
94,Teni,HUSTLE
95,Omah Lay,Lo Lo
96,Olamide,Somebody ft. Phyno
97,Liam Voice,Omwoyo
98,Omah Lay,Damn
99,Barnaba Classic  (TZ),Cheketua 
