,artist,song
0,Mrolaide ,Feel
1,Naira Marley,Koleyewon
2,Jae5,Dimension ft. Skepta & Rema
3,Kaptain,Check Yourself
4,Erigga,Many Nites
5,Roddy Ricch,Late At Night
6,Sarkodie,Coachella ft. Kwesi Arthur
7,M.I Abaga,All My Life (feat. Oxlade)
8,Lojay,LV N ATTN feat. Wizkid ft. Sarz & Wizkid
9,Erigga,Dick Appointment
10,Vector,Early Momo ft. Good Girl LA
11,Migos,Having Our Way ft. Drake
12,PsychoYP,Euphoria
13,LiL Baby,Voice of the Heroes ft. Lil Durk
14,DaBaby,Ball If I Want To
15,Erigga,Wahala Dey
16,Erigga,Dont Die Alive
17,Dremo,Ego ft. Jeriq
18,Erigga,I No Wear Pant
19,Lojay,Tonongo ft. Sarz
20,LiL Baby,Hats Off ft. Lil Durk & Travis Scott
21,Pop Smoke,Dior
22,Erigga,The End
23,Dremo,East To West ft. Jeriq
24,DJ Khaled,LET IT GO ft. Justin Bieber & 21 Savage
25,A-Q,Breathe ft. Chike
26,Phyno,For the Money ft. Peruzzi
27,ArrDee,Oliver Twist
28,Pop Smoke,Mood Swings ft. Lil Tjay
29,Tion Wayne,"Body (Remix) ft. Russ Millions, ArrDee, E1 (3x3), ZT (3x3) & Bugzy Malone"
30,Juice WRLD,Stay High
31,Migos,Avalanche
32,Kaptain,Problem
33,Dremo,Secure The Bag ft. Jeriq
34,Juice WRLD,Wishing Well
35,POLO G,RAPSTAR
36,LiL Baby,Medical ft. Lil Durk
37,Cardi B,Up
38,POLO G,Fame & Riches ft. Roddy Ricch
39,LiL Baby,Rich Off Pain ft. Lil Durk & Rod Wave
40,POLO G,Clueless ft. Pop Smoke & Fivio Foreign
41,Erigga,Jollof Rice ft. Duncan Mighty
42,Pop Smoke,The Woo ft. 50 Cent & Roddy Ricch
43,Juice WRLD,734
44,Migos,Straightenin
45,Juice WRLD,All Girls Are The Same
46,Drake,Toosie Slide
47,POLO G,Painting Pictures
48,POLO G,For the Love of New York ft. Nicki Minaj
49,Pop Smoke,For The Night ft. Lil Baby & DaBaby
