,artist,song
0,Dave,System ft. WizKid
1,Kaptain,Check Yourself
2,Mrolaide ,Feel
3,Nasty C,Jack
4,Jae5,Dimension ft. Skepta & Rema
5,Naira Marley,Koleyewon
6,Pop Smoke,Tell The Vision ft. Kanye West & Pusha T
7,Dave,Clash ft. Stormzy
8,Erigga,Many Nites
9,Dave,Lazarus ft. Boj
10,Phyno,For the Money ft. Peruzzi
11,Vector,Early Momo ft. Good Girl LA
12,Pop Smoke,Bout A Million ft. 21 Savage & 42 Dugg
13,Lojay,Monalisa ft. Sarz
14,Roddy Ricch,Late At Night
15,Sarkodie,Coachella ft. Kwesi Arthur
16,Vector,"Crown Of Clay (Remix) ft. Dip Doundou Guiss, Khaligraph Jones & Ashs The Best"
17,Erigga,Dick Appointment
18,M.I Abaga,All My Life (feat. Oxlade)
19,Show Dem Camp,Tycoon ft. Reminisce & Mojo
20,Dave,We\'re All Alone
21,Pop Smoke,Good News
22,PlaTBoss,Matriculation (Intro)
23,Post Malone,Motley Crew
24,Show Dem Camp,Align ft. LadiPoe
25,Show Dem Camp,Vipers ft. Jesse Jagz & Tomi Thomas
26,PlaTBoss,Hustler\'s Tale
27,Dave,Law Of Attraction ft. Snoh Aalegra
28,PlaTBoss,Politics and Lies
29,Pop Smoke,Dior
30,Lojay,LV N ATTN feat. Wizkid ft. Sarz & Wizkid
31,Lojay,Tonongo ft. Sarz
32,Erigga,Wahala Dey
33,Dave,Verdansk
34,Pop Smoke,More Time
35,LiL Baby,Voice of the Heroes ft. Lil Durk
36,Dave,In The Fire
37,Black Sherif,Second Sermon
38,PlaTBoss,Trust Issues
39,Sarkodie,Vibration ft. Vic Mensa
40,Kaptain,Problem
41,Dremo,Ego ft. Jeriq
42,PlaTBoss,Tomorrow Never Comes
43,Pop Smoke,Manslaughter ft. Rick Ross & The-Dream
44,Pop Smoke,Woo Baby ft. Chris Brown
45,Juice WRLD,Stay High
46,Erigga,I No Wear Pant
47,Dave,Both Sides Of A Smile ft. James Blake
48,Dave,Three Rivers
49,Dremo,East To West ft. Jeriq
