,artist,song
0,Omah Lay,Understand
1,LADIPOE,Feeling ft. Buju
2,Fireboy DML,Peru
3,Olamide,Rock
4,Ruger,Bounce
5,AV,Big Thug Boys
6,Joeboy,Show Me
7,Cheque,History ft. Fireboy DML
8,Buju,Outside
9,Jaywillz,Medicine
10,Joeboy,Focus
11,Mohbad,Feel Good
12,2Baba,Rise Up ft. Falz
13,Adekunle Gold,Sinner ft. Lucky Daye
14,Olamide,Infinity ft. Omah Lay
15,Naira Marley,Coming ft. Busiswa
16,DJ Tarico,"Yaba Buluku (Remix) (Remix) ft. Burna Boy, Preck & Nelson Tivane"
17,Victor AD,Any More ft. Phyno
18,Zinoleesky,Naira Marley
19,Teni,HUSTLE
20,Victor AD,Black ft. Mr Eazi
21,Patoranking,Celebrate Me
22,Olamide,Triumphant ft. Bella Shmurda
23,Burna Boy,Kilometre
24,Omah Lay,Godly
25,Victor AD,OLOFOFO
26,Chike,Running (To You) ft. Simi
27,Buju,Testimony
28,Phyno,Bia
29,Cheque,Call Me Baby
30,Olamide,Need For Speed
31,Dave,System ft. WizKid
32,GUCHI,Jennifer (Remix) ft. Rayvanny
33,Wizkid,Essence ft. Tems
34,Olamide,Julie
35,Crayon,Too Correct ft. Rema
36,Kolaboy,Omalicha ft. Ejyk Nwamba
37,Joeboy,Door ft. Kwesi Arthur
38,Mrolaide ,Feel
39,Lil Kesh,Korope ft. Naira Marley
40,Fireboy DML,Champion ft. D Smoke
41,L.A.X,PEPE ft. Davido
42,Judikay,Omemma ((Live))
43,Omah Lay,Can't Relate
44,Judikay,Capable God
45,Seyi Vibez,Professor Peller ft. Zlatan
46,Dj Xclusive,Ameno (Dorime)
47,Teni,INJURE ME
48,Kaptain,Check Yourself
49,Olamide,Somebody ft. Phyno
50,Burna Boy,Way Too Big
51,Teni,FOR YOU ft. Davido
52,Victor AD,One Kiss
53,Olamide,Jailer ft. Jaywillz
54,Chike,Roju
55,Moses Bliss,Too Faithful
56,Patoranking,Abule
57,DJ Tunez,"PAMI ft. Wizkid, Adekunle Gold & Omah Lay"
58,Ruger,Abu Dhabi
59,Olamide,Loading ft. BadboyTimz
60,Lil Kesh,Love Like This ft. Fireboy DML
61,Jaido P,Survive ft. Olamide
62,Olamide,PonPon ft. Fave
63,Omah Lay,My Bebe
64,Mr Real,Baba Fela (Remix) ft. Laycon & Zlatan
65,Joeboy,Lonely
66,Burna Boy,23
67,Victor AD,Bless Boys
68,RudeBoy,Focus
69,Chike,If You No Love
70,Nathaniel Bassey,Hallelujah Challenge Praise Medley
71,Bella Shmurda,Adura ft. Mohbad
72,Omah Lay,Bad Influence 
73,Skales,This Your Body ft. Davido
74,Justin Bieber,Peaches (Masterkraft Remix) ft. Alpha P & Omah Lay
75,Bella Shmurda,Cash App ft. Zlatan & Lincoln
76,Mr Eazi,Rotate (Freestyle)
77,Omah Lay,Confession
78,Gyakie,Forever (Remix) ft. Omah Lay
79,Naira Marley,Aye
80,Ajebo Hustlers,Pronto ft. Omah Lay
81,CKay,Felony
82,Joeboy,Door
83,Runtown,If E Happen For Lagos
84,Omah Lay,You
85,Omah Lay,Lo Lo
86,Zlatan,Lagos Anthem
87,Omah Lay,Bad Influence
88,Lil Nas X,INDUSTRY BABY ft. Jack Harlow
89,DJ Neptune,Music Messiah ft. Wande Coal
90,PlaTBoss,Matriculation (Intro)
91,Victor AD,Olofofo
92,Olamide,Green Light
93,Burna Boy,Bank On It
94,Ajebutter22,Unconditionally ft. Oxlade
95,Jae5,Dimension ft. Skepta & Rema
96,Nasty C,Jack
97,Fireboy DML,Airplane Mode
98,Davido,The Best ft. Mayorkun
99,Mercy Chinwo,Obinasom
