position,album
1,Uy Scuti
2,Somewhere Between Beauty & Magic
3,Magna Cum Laude
4,Carpe Diem
5,Twice As Tall
6,PANDEMIC
7,Water & Garri
8,What Have We Done
9,APOLLO
10,WONDALAND
11,Made In Lagos
12,Love or the Word (EP)
13,Boo of the Booless
14,19 & Dangerous
15,Hallelujah Again (Revelation 19:3)
16,A Better Time
17,Nothing To Prove
18,Man Of Galilee
19,SATISFIED
20,Alagbe
21,"Laughter, Tears & Goosebumps"
22,The Gospel of the Kingdom
23,Get Layd
24,LV N ATTN
25,Eclipse
26,Too Faithful
27,King Of Love
28,African Giant
29,High Tension 2.0
30,Alari
31,Yes And Amen
32,The King Is Coming
33,Three
34,Twelve A.M
35,Ecstasy
36,KAIROS
37,Born Of God
38,Please Excuse Me for Being Antisocial
39,New Season
40,Before the Chaos EP
41,Justice
42,Vibrator
43,Man Of Galilee (Live)
44,Superstar
45,No Pressure
46,Sex Over Love
47,We\'re All Alone In This Together
48,Fuji The Sound
49,The Life And Times Of 50th Birthday Edition
50,Queendoncom
51,Simisola
52,You Have Done Me Well
53,Legends Never Die
54,Rudykillus
55,Flavour of Africa
56,Boyfriend
57,The Erigma II
58,Ayo (Joy)
59,No Bad Songz
60,Zero Panic
61,High Tension
62,Omo Charlie Champagne Vol. I
63,Faith
64,Barry Back The EP
65,Love & Light EP
66,The Voice of the Heroes
67,Kingdom Now
68,A Good Time
69,LOL (Lord Of Lamba) EP
70,11 Eleven
71,\xc3\x8cR\xc3\x8c (The Album Live) (Live)
72,You Are Great
73,Outside
74,Clone Wars Vol. 5 - The Algorhythm
75,Ea$t N We$t
76,Country Moods
77,Deal With It
78,This God Is Too Good
79,Shoot For The Stars Aim For The Moon
80,Death Race For Love
81,Gratitude
82,Oil + Water
83,Hall of Fame
84,\xc3\x8cm\xc3\xba\xe1\xb9\xa3\xe1\xba\xb9!
85,Feed Tha Streets II
86,The Cross: My Gaze
87,The Playmaker
88,The Harvest
89,The Spirit Of Light
90,Hymnal (Volume 1)
91,SoulFly (Deluxe Version)
92,MWWU
93,By Special Request Vol. 2
94,"Kpos Lifestyle, Vol. 1"
95,Mafia Culture (Vol. 2.0)
96,New Era
97,Chiomalized
98,Cultural Praise
99,Grass 2 Grace
100,Coast To Coast (Expanded Edition)
