,artist,song
0,PlaTBoss,Matriculation (Intro)
1,PlaTBoss,Hustler's Tale
2,PlaTBoss,Politics and Lies
3,PlaTBoss,Trust Issues
4,Mrolaide ,Feel
5,PlaTBoss,Tomorrow Never Comes
6,Dave,System ft. WizKid
7,PlaTBoss,Balling
8,PlaTBoss,Living It Up
9,Kaptain,Check Yourself
10,PlaTBoss,Indifferent
11,PlaTBoss,Graduation
12,Lojay,Monalisa ft. Sarz
13,Sarkodie,Jaara feat. Medikal
14,Nasty C,Jack
15,Jae5,Dimension ft. Skepta & Rema
16,Naira Marley,Koleyewon
17,Erigga,Many Nites
18,Vector,Early Momo ft. Good Girl LA
19,M.I Abaga,All My Life (feat. Oxlade)
20,Phyno,For the Money ft. Peruzzi
21,Sarkodie,Non Living Thing feat. Oxlade
22,Dave,Clash ft. Stormzy
23,Roddy Ricch,Late At Night
24,Erigga,Dick Appointment
25,Black Sherif,Second Sermon
26,Show Dem Camp,Tycoon ft. Reminisce & Mojo
27,Lojay,Tonongo ft. Sarz
28,Sarkodie,Coachella feat. Kwesi Arthur
29,Dave,Lazarus ft. Boj
30,Erigga,Wahala Dey
31,Lojay,LV N ATTN feat. Wizkid ft. Sarz & Wizkid
32,Show Dem Camp,Align ft. LadiPoe
33,Juice WRLD,Stay High
34,Sarkodie,Intro
35,Pop Smoke,Dior
36,Sarkodie,Married To The Game feat. Cassper Nyovest
37,LiL Baby,Voice of the Heroes ft. Lil Durk
38,Erigga,I No Wear Pant
39,Juice WRLD,Wishing Well
40,Dremo,Ego ft. Jeriq
41,Vector,"Crown Of Clay (Remix) ft. Dip Doundou Guiss, Khaligraph Jones & Ashs The Best"
42,Pop Smoke,Mood Swings ft. Lil Tjay
43,Pop Smoke,Bout A Million ft. 21 Savage & 42 Dugg
44,Kaptain,Problem
45,Dremo,East To West ft. Jeriq
46,Pop Smoke,Tell The Vision ft. Kanye West & Pusha T
47,Tion Wayne,"Body (Remix) ft. Russ Millions, ArrDee, E1 (3x3), ZT (3x3) & Bugzy Malone"
48,Show Dem Camp,Vipers ft. Jesse Jagz & Tomi Thomas
49,Post Malone,Motley Crew
