,artist,song
0,PlaTBoss,Good Girls ft. Grafezzy
1,Kanye West,Off The Grid
2,Lojay,Monalisa ft. Sarz
3,Kanye West,Praise God
4,Dremo,Wonder ft. Patoranking
5,Kanye West,Jail
6,PlaTBoss,Matriculation (Intro)
7,PlaTBoss,Hustler's Tale
8,PlaTBoss,Politics and Lies
9,PlaTBoss,Trust Issues
10,PlaTBoss,Tomorrow Never Comes
11,PlaTBoss,Balling
12,PlaTBoss,Living It Up
13,Kaptain,Check Yourself
14,PlaTBoss,Indifferent
15,PlaTBoss,Graduation
16,Ruger,Bounce (UK Remix) ft. Midas The Jagaban
17,Naira Marley,Koleyewon
18,Kanye West,God Breathed
19,Vector,Early Momo ft. Good Girl LA
20,Jae5,Dimension ft. Skepta & Rema
21,Kanye West,Hurricane
22,Phyno,For the Money ft. Peruzzi
23,Roddy Ricch,Late At Night
24,Erigga,Many Nites
25,M.I Abaga,All My Life (feat. Oxlade)
26,Sarkodie,Non Living Thing feat. Oxlade
27,Sarkodie,Coachella feat. Kwesi Arthur
28,Nasty C,Jack
29,Dave,System ft. WizKid
30,Erigga,Dick Appointment
31,Black Sherif,Second Sermon
32,Kanye West,Donda Chant
33,Juice WRLD,Stay High
34,Kanye West,Donda
35,Kanye West,Jonah
36,Efe,Campaign ft. Ice Prince & BOJ
37,Kanye West,No Child Left Behind
38,Roddy Ricch,The Box
39,Mrolaide ,Ride
40,Roddy Ricch,Die Young
41,Juice WRLD,Robbery
42,Meek Mill,Sharing Locations (feat. Lil Baby & Lil Durk)
43,Juice WRLD,Wishing Well
44,Kanye West,Believe What I Say
45,Juice WRLD,Smile ft. The Weeknd
46,Pop Smoke,Dior
47,Kanye West,Moon
48,Kanye West,Jesus Lord
49,Pop Smoke,Mood Swings ft. Lil Tjay
