,artist,song
0,Ada Ehi,Everything
1,Ada Ehi,Never Go Down ft. Limoblaze
2,Ada Ehi,Congratulations ft. Buchi
3,Diana Hamilton,Adom Grace
4,Steve Crown,You Are Yahweh
5,Ada Ehi,"Congratulations ft, Buchi"
6,Moses Bliss,Too Faithful
7,Nathaniel Bassey,Hallelujah Challenge Praise Medley
8,Mercy Chinwo,Obinasom
9,Ada Ehi,More Than Enough
10,Steve Crown,You Are Great
11,Ada Ehi,Thank You For My Life
12,Ada Ehi,Fix My Eyes On You ft. Sinach
13,Ada Ehi,Now
14,Steve Crown,Hosanna
15,Moses Bliss,"Bigger Every Day ft. Festizie, Membrane, Uwa, Chris Heavens & Temple"
16,Dunsin Oyekan,Fragrance to Fire
17,Sinach,Way Maker
18,Chidinma,Jehovah Overdo
19,Samsong,Jesus ft. Mercy Chinwo
20,Sinach,Omemma
21,Nathaniel Bassey,Yeshua Hamashiach
22,Steve Crown,All The Glory
23,Moses Bliss,Taking Care
24,Onos,Faithful God (Live)
25,Nathaniel Bassey,Emmanuel
26,Joe Mettle,Ye Obua Mi (My Help)
27,Prospa Ochimana,Ekwueme ft. Osinachi Nwachukwu (ETTWP)
28,Steve Crown,Your Love ft. Tope Alabi
29,Frank Edwards,CHIOMA (AFRO VIBE)
30,Victoria Orenze,Spirit Chant
31,Nathaniel Bassey,Hallelujah Challenge Worship Medley
32,Frank Edwards,NO OTHER NAME
33,Nathaniel Bassey,"Olorun Agbaye - You Are Mighty ft. Chandler Moore, Oba"
34,Nathaniel Bassey,Yahweh Yahweh ft. Sinach
35,Tope Alabi,Yes And Amen
36,Moses Bliss,You I Live For
37,Nathaniel Bassey,Olorun Agbaye - You Are Mighty ft. Chandler Moore & Oba
38,Chris Shalom,My Beautifier
39,Diana Hamilton,Nyansabuakwa Nyame
40,JayMikee,Heaven
41,Ada Ehi,New Level
42,Dunsin Oyekan,Yah
43,Ada Ehi,Finally
44,Joe Praize,Unchangeable God
45,David G,Covenant Keeper
46,Dunsin Oyekan,At All Cost
47,Moses Bliss,You I Live For ft. Loveworld Indomitable Choir
48,Ada Ehi,iTestify
49,Steve Crown,Mighty God ft. Nathaniel Bassey
50,Moses Bliss,Bigger Everyday
51,Eben,Jesus Power
52,Joyce Blessing,Adam Nana
53,Ada Ehi,Settled
54,Indira,Je Laisse Tout A Dieu
55,Mercy Chinwo,Onememma ft. Chioma Jesus
56,Joe Mettle,Yesu Mo
57,Mercy Chinwo,Na You Dey Reign
58,Tope Alabi,Lae La O Ma Bo Oluwa
59,Tope Alabi,You Are Worthy
60,Celestine Donkor,Agbebolo ft. NHYIRABA GIDEON
61,Mercy Chinwo,Excess Love
62,Eben,The Harvest
63,Chioma Jesus,Bulldozer
64,Mercy Chinwo,Akamdinelu
65,Steve Crown,Imela
66,Chris Shalom,JESUS
67,Tim Godfrey,Nara
68,Victoria Orenze,Have Mercy (Live)
69,Sinach,All Things Are Ready
70,Dunsin Oyekan,Worship Your Maker
71,Mike Abdul,Baba Ese ft. Yoruba Mass Choir
72,Ada Ehi,I Overcame
73,Chioma Jesus,Okemmuo Ft. Mercy Chinwo
74,Moses Bliss,In Your Hands
75,Indira,Je Veux Te Louer
76,Dunsin Oyekan,You Remain the Same
77,Minister GUC,All That Matters
78,Steve Crown,What A Mighty God ft. Nathaniel Bassey
79,ROSNY KAYIBA,Nazo bondela yo (Je te prie)
80,Limoblaze,Grateful ft. Moses Bliss
81,Mercy Chinwo,Chinedum
82,Dunsin Oyekan,More Than a Song
83,Tope Alabi,Halleluyah
84,Ada Ehi,Cheta 
85,Solomon Lange,Mai Taimako Na (My Helper)
86,Frank Edwards,Under The Canopy
87,Yinka Ayefele,Ekundayo
88,Ada Ehi,Notice
89,Jimmy D Psalmist,Mighty Man of War
90,Tope Alabi,Jesu Ore Otito
91,Nandy,Wanibariki
92,Solomon Lange,I Will Praise You
93,Joe Mettle,My Everything
94,Chioma Jesus,Oka Ome
95,Steve Crown,Eze Nara Ekele
96,Minister GUC,God of Vengeance
97,Ada Ehi,Shine ft. Chize & Nosa
98,Sinach,Overflow
99,Tim Godfrey,Nara ft. Travis Greene
