,artist,song
0,Omah Lay,Understand
1,LADIPOE,Feeling ft. Buju
2,Olamide,Rock
3,Ruger,Bounce
4,AV,Big Thug Boys
5,Joeboy,Show Me
6,Cheque,History ft. Fireboy DML
7,Jaywillz,Medicine
8,2Baba,Rise Up ft. Falz
9,Victor AD,Any More ft. Phyno
10,Joeboy,Focus
11,Olamide,Infinity ft. Omah Lay
12,Victor AD,Black ft. Mr Eazi
13,Victor AD,OLOFOFO
14,Patoranking,Celebrate Me
15,Burna Boy,Kilometre
16,Olamide,Triumphant ft. Bella Shmurda
17,Omah Lay,Godly
18,Buju,Testimony
19,Chike,Running (To You) ft. Simi
20,Olamide,Need For Speed
21,Phyno,Bia
22,Olamide,Julie
23,Crayon,Too Correct ft. Rema
24,Joeboy,Door ft. Kwesi Arthur
25,Wizkid,Essence ft. Tems
26,Seyi Vibez,Professor Peller ft. Zlatan
27,Kendickson,Lole
28,L.A.X,PEPE ft. Davido
29,Fireboy DML,Champion ft. D Smoke
30,Omah Lay,Can't Relate
31,Victor AD,One Kiss
32,Olamide,Somebody ft. Phyno
33,Chike,Roju
34,Olamide,Jailer ft. Jaywillz
35,Burna Boy,Way Too Big
36,Teni,FOR YOU ft. Davido
37,Olamide,PonPon ft. Fave
38,DJ Tunez,"PAMI ft. Wizkid, Adekunle Gold & Omah Lay"
39,Mr Eazi,Rotate (Freestyle)
40,Victor AD,Bless Boys
41,Patoranking,Abule
42,Lil Kesh,Love Like This ft. Fireboy DML
43,Joeboy,Lonely
44,Olamide,Loading ft. BadboyTimz
45,Burna Boy,23
46,Omah Lay,My Bebe
47,Mr Real,Baba Fela (Remix) ft. Laycon & Zlatan
48,Ruger,Abu Dhabi
49,Chike,If You No Love
