,artist,song
0,Omah Lay,Understand
1,LADIPOE,Feeling ft. Buju
2,Ruger,Bounce
3,AV,Big Thug Boys
4,Cheque,History ft. Fireboy DML
5,Joeboy,Show Me
6,Olamide,Rock
7,Jaywillz,Medicine
8,Joeboy,Focus
9,Olamide,Infinity ft. Omah Lay
10,Olamide,Need For Speed
11,Burna Boy,Kilometre
12,Buju,Testimony
13,Victor AD,OLOFOFO
14,Olamide,Triumphant ft. Bella Shmurda
15,Omah Lay,Godly
16,Chike,Running (To You) ft. Simi
17,Phyno,Bia
18,Patoranking,Celebrate Me
19,Olamide,Julie
20,Wizkid,Essence ft. Tems
21,Joeboy,Door ft. Kwesi Arthur
22,Crayon,Too Correct ft. Rema
23,L.A.X,PEPE ft. Davido
24,Olamide,Somebody ft. Phyno
25,Omah Lay,Can\'t Relate
26,Olamide,Jailer ft. Jaywillz
27,Fireboy DML,Champion ft. D Smoke
28,Chike,Roju
29,Burna Boy,Way Too Big
30,Teni,FOR YOU ft. Davido
31,Olamide,PonPon ft. Fave
32,Yemi Alade,Enjoyment
33,DJ Tunez,"PAMI ft. Wizkid, Adekunle Gold & Omah Lay"
34,Olamide,Loading ft. BadboyTimz
35,Patoranking,Abule
36,Lil Kesh,Love Like This ft. Fireboy DML
37,Joeboy,Lonely
38,Omah Lay,My Bebe
39,Burna Boy,23
40,Bella Shmurda,Cash App ft. Zlatan & Lincoln
41,Mr Real,Baba Fela (Remix) ft. Laycon & Zlatan
42,Chike,If You No Love
43,Ruger,Abu Dhabi
44,Mr Eazi,Rotate (Freestyle)
45,Bella Shmurda,Adura ft. Mohbad
46,Kendickson,Lole
47,Gyakie,Forever (Remix) ft. Omah Lay
48,Omah Lay,Confession
49,Naira Marley,Aye
