,artist,song
0,Olamide,Rock
1,LADIPOE,Feeling ft. Buju
2,Cheque,History ft. Fireboy DML
3,Burna Boy,Kilometre
4,Victor AD,OLOFOFO
5,Joeboy,Focus
6,Naira Marley,Coming ft. Busiswa
7,Omah Lay,Godly
8,Buju,Outside
9,Joeboy,Show Me
10,Joeboy,Door ft. Kwesi Arthur
11,Chike,Running (To You) ft. Simi
12,Crayon,Too Correct ft. Rema
13,Olamide,Infinity ft. Omah Lay
14,Davido,La La ft. Ckay
15,Adekunle Gold,It Is What It Is
16,Teni,FOR YOU ft. Davido
17,Ruger,Bounce
18,Omah Lay,Can\'t Relate
19,Olamide,Triumphant ft. Bella Shmurda
20,Slimcase,Focus Vibe
21,DJ Spinall,Sere (Remix) ft. Fireboy DML & 6LACK
22,Gyakie,Forever
23,Blaqbonez,Bling ft. Amaarae & Buju
24,Burna Boy,Way Too Big
25,Teni,INJURE ME
26,Omah Lay,My Bebe
27,Timaya,Don Dada
28,DJ Tunez,"PAMI ft. Wizkid, Adekunle Gold & Omah Lay"
29,Tekno,Enjoy (Remix) ft. Mafikizolo
30,Omah Lay,You
31,Erigga,Dick Appointment
32,Peruzzi,Somebody Baby ft. Davido
33,Fireboy DML,Champion ft. D Smoke
34,Naira Marley,Koleyewon
35,Gyakie,Forever (Remix) ft. Omah Lay
36,Onos,Faithful God (Live)
37,Falz,"Squander (Remix) (Remix) ft. Kamo Mphela, Mpura, Niniola & Sayfar"
38,Burna Boy,23
39,Nathaniel Bassey,Hallelujah Challenge Praise Medley
40,KDDO,Loco ft. Mayorkun
41,Dangbana Republik,World ft. Bella Shmurda
42,Olamide,Loading ft. BadboyTimz
43,Luddy Dave,GAT ME SINGING
44,Patoranking,Abule
45,Chidinma,Jehovah Overdo
46,CKay,Felony
47,Erigga,Many Nites
48,Moses Bliss,You I Live For
49,Chike,If You No Love
50,Omah Lay,Bad Influence 
51,Dj Enimoney,Sugar Daddy ft. Olamide
52,Zlatan,Cho Cho ft. Davido & Mayorkun
53,Joeboy,Lonely
54,Mr Real,Baba Fela (Remix) ft. Laycon & Zlatan
55,WurlD,"Bossy Part II ft. Erica Banks, Kida Kudz, Cuppy & Amaarae"
56,Judikay,Capable God
57,Ajebo Hustlers,Pronto ft. Omah Lay
58,Davido,The Best ft. Mayorkun
59,Zlatan,Lagos Anthem
60,Naira Marley,Aye
61,Seyi Shay,Pempe ft. Yemi Alade
62,Omah Lay,Bad Influence
63,Dj Kaywise,High Way ft. Phyno
64,Wizkid,Essence ft. Tems
65,Lil Kesh,Love Like This ft. Fireboy DML
66,Omah Lay,Confession
67,Steve Crown,Your Love ft. Tope Alabi
68,Crayon,Jackpot ft. Bella Shumurda
69,Sean Tizzle,Know Person
70,Omah Lay,Damn ft. 6Lack
71,,Breathe ft. Chike
72,Steve Crown,What A Mighty God ft. Nathaniel Bassey
73,Justin Bieber,Loved By You ft. Burna Boy
74,Masterkraft,Hallelu ft. Bella Shmurda & Zlatan
75,Dangbana Republik,Rush
76,Omah Lay,Lo Lo
77,Bella Shmurda,Adura ft. Mohbad
78,Zlatan,"Lagos Anthem (Remix) ft. Oberz, Frescool, Oladips, Kabex & Trod"
79,Bella Shmurda,Cash App ft. Zlatan & Lincoln
80,Barry Jhay,Ori
81,Mr. P,"I Love You ft. Teni, Simi & Tamar Braxton"
82,Laycon,Verified ft. Mayorkun
83,Joeboy,Call
84,Burna Boy,Real Life ft. Stormzy
85,Omah Lay,Damn
86,Davido,Jowo
87,Burna Boy,Bank On It
88,Runtown,If E Happen For Lagos
89,Justin Bieber,Peaches ft. Daniel Caesar & Giveon
90,Focalistic,Ke Star (Remix) ft. Davido & Virgo Deep
91,Erigga,Wahala Dey
92,Chike,Roju
93,Jae5,Dimension ft. Skepta & Rema
94,Kendickson,Lole
95,Dremo,Ego ft. Jeriq
96,Joeboy,Door
97,Moses Bliss,Too Faithful
98,Mercy Chinwo,Onyedikagi ft. Glowrie
99,Kida Kudz,Ball Till We Fall ft. Bella Shmurda
