,artist,song
0,Black Sherif,Second Sermon
1,Nandy,Nimekuzoea
2,Otile Brown,Such Kinda Love ft. Jovial
3,Omah Lay,Understand
4,Fireboy DML,Peru
5,GUCHI,Jennifer (Remix) ft. Rayvanny
6,Zuchu,Nyumba Ndogo
7,KiDi,Touch It
8,Mbosso,Baikoko ft. Diamond Platnumz
9,LADIPOE,Feeling ft. Buju
10,Diamond Platnumz,Kamata
11,Omah Lay,Godly
12,AV,Big Thug Boys
13,Alikiba,Salute (feat. Rudeboy)
14,Sarkodie,Coachella ft. Kwesi Arthur
15,Olamide,Infinity ft. Omah Lay
16,Diamond Platnumz,"IYO (feat. Focalistic, Mapara A Jazz, & Ntosh Gazi)"
17,Zuchu,Sukari
18,Chike,Running (To You) ft. Simi
19,Alikiba,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour)"
20,Joeboy,Show Me
21,Victor AD,Black ft. Mr Eazi
22,Otile Brown,Jeraha ft. Jovial
23,Burna Boy,Kilometre
24,Joeboy,Door ft. Kwesi Arthur
25,Alikiba,Jealous (feat. Mayorkun) 
26,Rayvanny,Number One ft. Zuchu
27,Cheque,History ft. Fireboy DML
28,JAY BAHD,"Y3 Y3 DOM ft. Skyface SDW, Reggie, Kwaku DMC, City Boy & Kawabanga"
29,Sefa,E Choke ft. Mr Drew
30,Diana Hamilton,Adom Grace
31,Jaywillz,Medicine
32,Joeboy,Focus
33,Mbosso,Yalaah
34,Harmonize,Sandakalawe
35,Mbosso,Mtaalam
36,Olamide,Rock
37,Patoranking,Abule
38,Mejja,Tabia Za Wakenya (Kanairo)
39,Ruger,Bounce
40,Ks bloom,Enfant de Dieu ( Lxe2x80x99hymne national)
41,Marioo (TZ),For You
42,Lil Nas X,INDUSTRY BABY ft. Jack Harlow
43,Black Sherif,Destiny
44,Killy (TZ),Mwisho
45,Gyakie,Forever (Remix) ft. Omah Lay
46,Sarkodie,Vibration ft. Vic Mensa
47,Mr Drew,Mood
48,Naira Marley,Coming ft. Busiswa
49,KS Bloom,La Mour
50,Mr Drew,Pains
51,Anjella,Nobody
52,Ada Ehi,"Congratulations ft, Buchi"
53,Zuchu,Cheche ft. Diamond Platnumz
54,Steve Crown,You Are Yahweh
55,DJ Tarico,"Yaba Buluku (Remix) (Remix) ft. Burna Boy, Preck & Nelson Tivane"
56,Kwame Yogot,Biibi Besi ft. Kuami Eugene
57,Adekunle Gold,Sinner ft. Lucky Daye
58,Otile Brown,Regina ft. Jux
59,Jeeba,Guuy
60,Nadia Mukami,Roho Mbaya
61,Rayvanny,Lala ft. Jux
62,Otile Brown,Dusuma ft. Meddy
63,AYA NAKAMURA,Bobo
64,KiDi,Golden Boy
65,Kuami Eugene,Dollar On You
66,Otile Brown,In Love ft. AliKiba
67,Omah Lay,Bad Influence 
68,King Promise,Slow Down
69,DJ Neptune,Nobody ft. Joeboy & Mr Eazi
70,Judikay,Capable God
71,Harmonize,Vibaya
72,Malcolm Nuna,Money Man (Remix)
73,Maroon 5,Beautiful Mistakes ft. Megan Thee Stallion
74,Omah Lay,Bad Influence
75,Fireboy DML,Like I Do
76,Black Sherif,Ankonam
77,Dadju,Mon soleil ft. Anitta
78,Olamide,Need For Speed
79,Teni,HUSTLE
80,Zuchu, Litawachoma ft. Diamond Platnumz
81,Mbosso,Kiss Me
82,Dieyla Gueye,M'a Ngui Baxx
83,2Baba,Rise Up ft. Falz
84,Mbosso,Fall
85,Sarkodie,Happy Day ft. Kuami Eugene
86,Victor AD,Any More ft. Phyno
87,O\'Kenneth,AGYEIWAA ft. Reggie & City Boy
88,Yaw Tog,Sore (Remix) (Remix) ft. Stormzy & Kwesi Arthur
89,Yaw Tog,Fake Ex
90,Patoranking,Celebrate Me
91,Joeboy,Call
92,Omah Lay,Lo Lo
93,Judikay,Omemma ((Live))
94,Buju,Outside
95,Omah Lay,Damn
96,Moses Bliss,Too Faithful
97,Omah Lay,You
98,Fally Ipupa,Amore
99,Justin Bieber,Peaches ft. Daniel Caesar & Giveon
