,artist,song
0,Omah Lay,Understand
1,LADIPOE,Feeling ft. Buju
2,Olamide,Rock
3,Ruger,Bounce
4,Cheque,History ft. Fireboy DML
5,Joeboy,Show Me
6,Jaywillz,Medicine
7,AV,Big Thug Boys
8,Joeboy,Focus
9,Buju,Testimony
10,Burna Boy,Kilometre
11,Olamide,Infinity ft. Omah Lay
12,Omah Lay,Godly
13,Olamide,Triumphant ft. Bella Shmurda
14,Patoranking,Celebrate Me
15,Chike,Running (To You) ft. Simi
16,Fireboy DML,Champion ft. D Smoke
17,Crayon,Too Correct ft. Rema
18,2Baba,Rise Up ft. Falz
19,Omah Lay,Can't Relate
20,Burna Boy,Way Too Big
21,Joeboy,Door ft. Kwesi Arthur
22,Teni,Dorime 
23,DJ Tunez,"PAMI ft. Wizkid, Adekunle Gold & Omah Lay"
24,Patoranking,Abule
25,Seyi Vibez,Professor Peller ft. Zlatan
26,Olamide,Julie
27,Teni,FOR YOU ft. Davido
28,Joeboy,Lonely
29,Burna Boy,23
30,Lil Kesh,Love Like This ft. Fireboy DML
31,Omah Lay,My Bebe
32,CKay,Felony
33,Omah Lay,Bad Influence 
34,Olamide,Loading ft. BadboyTimz
35,Wizkid,Essence ft. Tems
36,Bella Shmurda,Adura ft. Mohbad
37,Olamide,Need For Speed
38,Phyno,Bia
39,Mr Real,Baba Fela (Remix) ft. Laycon & Zlatan
40,Chike,If You No Love
41,Omah Lay,Lo Lo
42,Gyakie,Forever (Remix) ft. Omah Lay
43,Wizkid,Ginger ft. Burna Boy
44,Joeboy,Door
45,Omah Lay,Confession
46,Naira Marley,Aye
47,Ajebo Hustlers,Pronto ft. Omah Lay
48,Olamide,Jailer ft. Jaywillz
49,Olamide,Green Light
