position,album
1,Somewhere Between Beauty & Magic
2,Carpe Diem
3,Twice As Tall
4,What Have We Done
5,APOLLO
6,Boo of the Booless
7,PANDEMIC
8,A Better Time
9,Made In Lagos
10,WONDALAND
11,Man Of Galilee
12,Before the Chaos EP
13,Get Layd
14,Justice
15,Twelve A.M
16,Alagbe
17,Too Faithful
18,Hall of Fame
19,"Laughter, Tears & Goosebumps"
20,Culture III
21,Hallelujah Again (Revelation 19:3)
22,SATISFIED
23,Man Of Galilee (Live)
24,The Voice of the Heroes
25,KAIROS
26,King Of Love
27,African Giant
28,The Gospel of the Kingdom
29,Yes And Amen
30,Three
31,Ecstasy
32,Sex Over Love
33,The King Is Coming
34,Ea$t N We$t
35,Superstar
36,LV N ATTN
37,The Prodigal
38,JORDI (Deluxe)
39,Simisola
40,Born Of God
41,Next Level
42,High Tension
43,The Life And Times Of 50th Birthday Edition
44,Mafia Culture (Vol. 2.0)
45,The Erigma II
46,Love & Light EP
47,Omo Charlie Champagne Vol. I
48,Fuji The Sound
49,Barry Back The EP
50,...Shall We Begin...
51,LOL (Lord Of Lamba) EP
52,The Off-Season
53,You Have Done Me Well
54,Flavour of Africa
55,Legends Never Die
56,Gratitude
57,KHALED KHALED
58,Something Else EP
59,Ayo (Joy)
60,Please Excuse Me for Being Antisocial
61,A Good Time
62,Boyfriend
63,Goodbye & Good Riddance (Anniversary Edition)
64,Shoot For The Stars Aim For The Moon
65,Deal With It
66,Kingdom Now
67,Cultural Praise
68,\xc3\x8cR\xc3\x8c (The Album Live) (Live)
69,Outside
70,No Bad Songz
71,Grass 2 Grace
72,TOO LATE TOO LIT (EP)
73,Arojinle
74,The Spirit Of Light
75,!
76,Hymnal (Volume 1)
77,The Voice of the Heroes
78,Kapacity
79,Rum & Boogie
80,This God Is Too Good
81,You Are Great
82,Meet The Woo
83,Anthems & Glory (Live)
84,The Cross: My Gaze
85,Hakuna Matata
86,The Playmaker
87,Chiomalized
88,Waves
89,Coast To Coast (Expanded Edition)
90,Country Moods
91,Meet The Woo 2 (Deluxe)
92,Death Race For Love
93,Warriors
94,About 30
95,Once in a Lifetime (Live)
96,\xc3\x8cR\xc3\x8c
97,999
98,Best Of The Best
99,Street OT
100,Feed tha Streets
