,artist,song
0,PlaTBoss,Matriculation (Intro)
1,PlaTBoss,Hustler's Tale
2,PlaTBoss,Politics and Lies
3,PlaTBoss,Trust Issues
4,PlaTBoss,Tomorrow Never Comes
5,PlaTBoss,Balling
6,Lojay,Monalisa ft. Sarz
7,PlaTBoss,Living It Up
8,PlaTBoss,Indifferent
9,PlaTBoss,Graduation
10,Kaptain,Check Yourself
11,Naira Marley,Koleyewon
12,Vector,Early Momo ft. Good Girl LA
13,Jae5,Dimension ft. Skepta & Rema
14,Erigga,Many Nites
15,Nasty C,Jack
16,Dave,System ft. WizKid
17,M.I Abaga,All My Life (feat. Oxlade)
18,Phyno,For the Money ft. Peruzzi
19,Black Sherif,Second Sermon
20,Sarkodie,Non Living Thing feat. Oxlade
21,Roddy Ricch,Late At Night
22,Erigga,Dick Appointment
23,Show Dem Camp,Align ft. LadiPoe
24,Lojay,Tonongo ft. Sarz
25,Erigga,Wahala Dey
26,Pop Smoke,Dior
27,Juice WRLD,Stay High
28,Roddy Ricch,The Box
29,Dave,Lazarus ft. Boj
30,Dave,Clash ft. Stormzy
31,Roddy Ricch,Die Young
32,Pop Smoke,Mood Swings ft. Lil Tjay
33,Roddy Ricch,Down Below
34,Show Dem Camp,Tycoon ft. Reminisce & Mojo
35,LiL Baby,Voice of the Heroes ft. Lil Durk
36,Cardi B,Up
37,Pop Smoke,Bout A Million ft. 21 Savage & 42 Dugg
38,Sarkodie,Coachella feat. Kwesi Arthur
39,Erigga,I No Wear Pant
40,Balloranking,Sorry ft. Mohbad
41,Juice WRLD,Wishing Well
42,Dremo,Ego ft. Jeriq
43,Pop Smoke,Tell The Vision ft. Kanye West & Pusha T
44,Dremo,East To West ft. Jeriq
45,Roddy Ricch,High Fashion (feat. Mustard)
46,Lojay,LV N ATTN feat. Wizkid ft. Sarz & Wizkid
47,Juice WRLD,Robbery
48,Roddy Ricch,God's Eyes
49,Roddy Ricch,War Baby
