position,album
1,Uy Scuti
2,Magna Cum Laude
3,Somewhere Between Beauty & Magic
4,Carpe Diem
5,PANDEMIC
6,Twice As Tall
7,What Have We Done
8,WONDALAND
9,APOLLO
10,Made In Lagos
11,Love or the Word (EP)
12,Boo of the Booless
13,19 & Dangerous
14,Nothing To Prove
15,Hallelujah Again (Revelation 19:3)
16,A Better Time
17,Man Of Galilee
18,SATISFIED
19,Alagbe
20,"Laughter, Tears & Goosebumps"
21,The Gospel of the Kingdom
22,Get Layd
23,Queendoncom
24,King Of Love
25,Too Faithful
26,LV N ATTN
27,African Giant
28,High Tension 2.0
29,The King Is Coming
30,Yes And Amen
31,Three
32,Twelve A.M
33,Ecstasy
34,Rudykillus
35,Justice
36,Man Of Galilee (Live)
37,Before the Chaos EP
38,Please Excuse Me for Being Antisocial
39,KAIROS
40,Born Of God
41,We\'re All Alone In This Together
42,No Pressure
43,Superstar
44,Love Deep High Life
45,Sex Over Love
46,The Life And Times Of 50th Birthday Edition
47,Fuji The Sound
48,Simisola
49,You Have Done Me Well
50,Legends Never Die
51,The Erigma II
52,Flavour of Africa
53,Faith
54,Boyfriend
55,Ayo (Joy)
56,No Bad Songz
57,Love & Light EP
58,High Tension
59,Omo Charlie Champagne Vol. I
60,LOL (Lord Of Lamba) EP
61,The Voice of the Heroes
62,Zero Panic
63,Barry Back The EP
64,Kingdom Now
65,Glory - Proskuneo Season 2 (Live)
66,Clone Wars Vol. 5 - The Algorhythm
67,MWWU
68,The Harvest
69,A Good Time
70,11 Eleven
71,Ea$t N We$t
72,\xc3\x8cR\xc3\x8c (The Album Live) (Live)
73,Deal With It
74,Outside
75,You Are Great
76,This God Is Too Good
77,Death Race For Love
78,Shoot For The Stars Aim For The Moon
79,Country Moods
80,Grass 2 Grace
81,"Kpos Lifestyle, Vol. 1"
82,\xc3\x8cm\xc3\xba\xe1\xb9\xa3\xe1\xba\xb9!
83,Feed Tha Streets II
84,Mafia Culture (Vol. 2.0)
85,New Era
86,The Spirit Of Light
87,The Cross: My Gaze
88,Gratitude
89,Hall of Fame
90,The Playmaker
91,By Special Request Vol. 2
92,Hymnal (Volume 1)
93,Chiomalized
94,A True Champion
95,Coast To Coast (Expanded Edition)
96,Feed tha Streets
97,"Afro Pop, Vol. 1"
98,About 30
99,Warriors
100,Get Layd
