,artist,song
0,Kizz Daniel,Lie
1,Omah Lay,Understand
2,Adekunle Gold,High ft. Davido
3,LADIPOE,Feeling ft. Buju
4,Cheque,LOML ft. Olamide
5,Olamide,Rock
6,Jaywillz,Medicine
7,Joeboy,Show Me
8,Ruger,Bounce
9,Joeboy,Focus
10,Buju,Testimony
11,Burna Boy,Kilometre
12,Cheque,History ft. Fireboy DML
13,Omah Lay,Godly
14,Olamide,Infinity ft. Omah Lay
15,Mayorkun,Let Me Know
16,Olamide,Triumphant ft. Bella Shmurda
17,AV,Big Thug Boys
18,Chike,Running (To You) ft. Simi
19,Teni,Dorime 
20,T-Classic,MAKAVELI
21,Patoranking,Celebrate Me
22,Coca Cola,Ginjaaah Your Flow ft. Mayorkun
23,Fireboy DML,Champion ft. D Smoke
24,Falz,Mercy
25,2Baba,Rise Up ft. Falz
26,Omah Lay,Can't Relate
27,Seyi Vibez,Professor Peller ft. Zlatan
28,Burna Boy,Way Too Big
29,Crayon,Too Correct ft. Rema
30,Joeboy,Door ft. Kwesi Arthur
31,DJ Tunez,"PAMI ft. Wizkid, Adekunle Gold & Omah Lay"
32,Patoranking,Abule
33,Joeboy,Lonely
34,Omah Lay,My Bebe
35,Reeze,Wahala
36,Burna Boy,23
37,Bella Shmurda,Adura ft. Mohbad
38,Omah Lay,Bad Influence 
39,Olamide,Loading ft. BadboyTimz
40,Lil Kesh,Love Like This ft. Fireboy DML
41,CKay,Felony
42,Olamide,Julie
43,Naira Marley,Aye
44,Phyno,Bia
45,Chike,If You No Love
46,Omah Lay,Lo Lo
47,Kizz Daniel,Ada
48,WizKid,Ginger ft. Burna Boy
49,WizKid,Essence ft. Tems
