position,album
1,Certified Lover Boy
2,Made In Lagos: Deluxe Edition
3,19 & Dangerous
4,Somewhere Between Beauty & Magic
5,Uy Scuti
6,Before We Fall Asleep
7,Carpe Diem
8,Twice As Tall
9,What Have We Done
10,Donda
11,APOLLO
12,Water & Garri
13,Love or the Word (EP)
14,PANDEMIC
15,Boo of the Booless
16,Hallelujah Again (Revelation 19:3)
17,WONDALAND
18,King Of Love
19,"Laughter, Tears & Goosebumps"
20,A Better Time
21,Made In Lagos
22,The Gospel of the Kingdom
23,Nothing To Prove
24,Alagbe
25,Get Layd
26,SATISFIED
27,Too Faithful
28,African Giant
29,Man Of Galilee
30,LV N ATTN
31,Rudykillus
32,Yes And Amen
33,The King Is Coming
34,Three
35,High Tension 2.0
36,Born Of God
37,Alari
38,Twelve A.M
39,Ecstasy
40,Superstar
41,KAIROS
42,Please Excuse Me for Being Antisocial
43,All That Matters
44,Vibrator
45,Before the Chaos EP
46,Fuji The Sound
47,Simisola
48,The Life And Times Of 50th Birthday Edition
49,Ayo (Joy)
50,You Have Done Me Well
51,Justice
52,No Pressure
53,Eclipse
54,Sex Over Love
55,Legends Never Die
56,Flavour of Africa
57,No Bad Songz
58,Barry Back The EP
59,The Erigma II
60,Omo Charlie Champagne Vol. I
61,Zero Panic
62,High Tension
63,We\'re All Alone In This Together
64,All or Nothing
65,Boyfriend
66,A Good Time
67,Love & Light EP
68,Kingdom Now
69,Certified Lover Boy
70,LOL (Lord Of Lamba) EP
71,The Voice of the Heroes
72,Warriors
73,Shopla
74,You Are Great
75,Outside
76,This God Is Too Good
77,\xc3\x8cR\xc3\x8c (The Album Live) (Live)
78,Shoot For The Stars Aim For The Moon
79,Deal With It
80,Legends Never Die
81,Suddenly + Amazing God (Double Single)
82,Country Moods
83,Ea$t N We$t
84,Death Race For Love
85,New Era
86,\xc3\x8cm\xc3\xba\xe1\xb9\xa3\xe1\xba\xb9!
87,By Special Request Vol. 2
88,Faith
89,Chiomalized
90,The Cross: My Gaze
91,"Afro Pop, Vol. 1"
92,Coast To Coast (Expanded Edition)
93,The Playmaker
94,The Spirit Of Light
95,Glory: Proskuneo (Season 2) - Medley
96,Mafia Culture (Vol. 2.0)
97,Feed Tha Streets II
98,Grass 2 Grace
99,New Season
100,The Prodigal
