position,album
1,Somewhere Between Beauty & Magic
2,Carpe Diem
3,What Have We Done
4,Twice As Tall
5,Man Of Galilee
6,Boo of the Booless
7,PANDEMIC
8,APOLLO
9,A Better Time
10,Made In Lagos
11,WONDALAND
12,Before the Chaos EP
13,Justice
14,Twelve A.M
15,Alagbe
16,The Voice of the Heroes
17,Get Layd
18,"Laughter, Tears & Goosebumps"
19,Hallelujah Again (Revelation 19:3)
20,Too Faithful
21,SATISFIED
22,KAIROS
23,The Gospel of the Kingdom
24,Yes And Amen
25,Three
26,Ecstasy
27,King Of Love
28,African Giant
29,Sex Over Love
30,Man Of Galilee (Live)
31,Ea$t N We$t
32,LV N ATTN
33,The King Is Coming
34,The Off-Season
35,The Prodigal
36,Next Level
37,Mafia Culture (Vol. 2.0)
38,Goodbye & Good Riddance (Anniversary Edition)
39,Born Of God
40,Simisola
41,...Shall We Begin...
42,High Tension
43,The Erigma II
44,Fuji The Sound
45,Something Else EP
46,Superstar
47,The Life And Times Of 50th Birthday Edition
48,Barry Back The EP
49,Omo Charlie Champagne Vol. I
50,Legends Never Die
51,Love & Light EP
52,KHALED KHALED
53,TOO LATE TOO LIT (EP)
54,Flavour of Africa
55,You Have Done Me Well
56,Please Excuse Me for Being Antisocial
57,Gratitude
58,LOL (Lord Of Lamba) EP
59,The Voice of the Heroes
60,Shoot For The Stars Aim For The Moon
61,A Good Time
62,Cultural Praise
63,Ayo (Joy)
64,Boyfriend
65,Kingdom Now
66,Rum & Boogie
67,Deal With It
68,Outside
69,The Spirit Of Light
70,Hymnal (Volume 1)
71,No Bad Songz
72,You Are Great
73,Grass 2 Grace
74,Stones To Diamonds
75,Hakuna Matata
76,GOLDEN
77,Meet The Woo
78,The Playmaker
79,This God Is Too Good
80,Jowo (The African Remixes)
81,Death Race For Love
82,\xc3\x8cR\xc3\x8c (The Album Live) (Live)
83,The Cross: My Gaze
84,!
85,Country Moods
86,Chiomalized
87,INDOMITABLE (The Undefeated God)
88,Kapacity
89,Coast To Coast (Expanded Edition)
90,Meet The Woo 2 (Deluxe)
91,SoundGod Fest Reloaded
92,Warriors
93,Beam Me Up Scotty
94,Once in a Lifetime (Live)
95,About 30
96,Best Of The Best
97,Feed tha Streets
98,999
99,Faith Is Rising
100,Asha
