,artist,song
0,Fireboy DML,Peru
1,Buju,Outside
2,Davido,La La ft. Ckay
3,Falz,"Squander (Remix) (Remix) ft. Kamo Mphela, Mpura, Niniola & Sayfar"
4,LADIPOE,Feeling ft. Buju
5,DJ Neptune,Music Messiah ft. Wande Coal
6,L.A.X,PEPE ft. Davido
7,Rexxie,KPK (Remix) ft. Sho Madjozi & MohBad
8,Wizkid,Essence ft. Tems
9,Greatman Takit,Peteru (Peter)
10,Teni,INJURE ME
11,Peruzzi,Somebody Baby ft. Davido
12,Naira Marley,Coming ft. Busiswa
13,Timaya,Don Dada
14,Zlatan,Cho Cho ft. Davido & Mayorkun
15,Greatman Takit,Story
16,Seyi Shay,Pempe ft. Yemi Alade
17,Wizerd,Joro Kini Joro
18,Mr Eazi,Rotate (Freestyle)
19,Victor AD,OLOFOFO
20,KDDO,Holy Ghost Fire ft. The Cavemen
21,Young Jonn,Off You ft. KiDi
22,Joeboy,Show Me
23,Ruger,Bounce
24,Akuchi,Whyne
25,Greatman Takit,My Daddy
26,Laycon,Verified ft. Mayorkun
27,Burna Boy,Kilometre
28,Teni,FOR YOU ft. Davido
29,Crayon,Too Correct ft. Rema
30,Masterkraft,Hallelu ft. Bella Shmurda & Zlatan
31,Naira Marley,Koleyewon
32,Wizkid,Ginger ft. Burna Boy
33,Zlatan,"Lagos Anthem (Remix) ft. Oberz, Frescool, Oladips, Kabex & Trod"
34,Ajebo Hustlers,Pronto ft. Omah Lay
35,Chinko Ekun,Jafafa ft. Mohbad
36,Dj Enimoney,Sugar Daddy ft. Olamide
37,terri,Money ft. Bella Shmurda & Mohbad
38,Slimcase,Focus Vibe
39,Skales,This Your Body ft. Davido
40,Luddy Dave,GAT ME SINGING
41,Speroachbeatz,Constantly ft. Mayorkun & Peruzzi
42,Blaq Jerzee,6AM
43,KDDO,Loco ft. Mayorkun
44,Masterkraft,Egbon ft. Phyno
45,Zinoleesky,Kilofese (Remix) ft. Mayorkun & Busiswa
46,Crayon,Jackpot ft. Bella Shumurda
47,Idowest,Kabaa ft. Mayorkun
48,Tems,The Key
