,artist,song
0,Burna Boy,Kilometre
1,Cheque,History ft. Fireboy DML
2,Naira Marley,Coming ft. Busiswa
3,LADIPOE,Feeling ft. Buju
4,Omah Lay,Godly
5,Joeboy,Focus
6,Joeboy,Door ft. Kwesi Arthur
7,Joeboy,Show Me
8,Chike,Running (To You) ft. Simi
9,Mrolaide ,Forgive
10,Olamide,Infinity ft. Omah Lay
11,Adekunle Gold,It Is What It Is
12,Omah Lay,Can\'t Relate
13,Gyakie,Forever
14,Slimcase,Focus Vibe
15,Olamide,Triumphant ft. Bella Shmurda
16,Chidinma,Jehovah Overdo
17,DJ Spinall,Sere (Remix) ft. Fireboy DML & 6LACK
18,Gyakie,Forever (Remix) ft. Omah Lay
19,Tekno,Enjoy (Remix) ft. Mafikizolo
20,Burna Boy,Way Too Big
21,Crayon,Too Correct ft. Rema
22,Davido,La La ft. Ckay
23,Falz,"Squander (Remix) (Remix) ft. Kamo Mphela, Mpura, Niniola & Sayfar"
24,Laycon,Verified ft. Mayorkun
25,Omah Lay,My Bebe
26,Timaya,Don Dada
27,Zlatan,Cho Cho ft. Davido & Mayorkun
28,Seyi Shay,Pempe ft. Yemi Alade
29,Teni,FOR YOU ft. Davido
30,Peruzzi,Somebody Baby ft. Davido
31,Dj Enimoney,Sugar Daddy ft. Olamide
32,Dangbana Republik,World ft. Bella Shmurda
33,Omah Lay,You
34,Patoranking,Abule
35,Burna Boy,23
36,Naira Marley,Koleyewon
37,Fireboy DML,Champion ft. D Smoke
38,Blaqbonez,Bling ft. Amaarae & Buju
39,Davido,The Best ft. Mayorkun
40,Teni,INJURE ME
41,Omah Lay,Bad Influence 
42,Nathaniel Bassey,Hallelujah Challenge Praise Medley
43,Olamide,Loading ft. BadboyTimz
44,Joeboy,Lonely
45,Zlatan,Lagos Anthem
46,Justin Bieber,Loved By You ft. Burna Boy
47,DJ Tunez,"PAMI ft. Wizkid, Adekunle Gold & Omah Lay"
48,Naira Marley,Aye
49,Chike,If You No Love
50,Mr. P,"I Love You ft. Teni, Simi & Tamar Braxton"
51,Omah Lay,Bad Influence
52,Zlatan,"Lagos Anthem (Remix) ft. Oberz, Frescool, Oladips, Kabex & Trod"
53,Omah Lay,Confession
54,Blaqbonez,Fendi ft. Joeboy
55,Justin Bieber,Peaches ft. Daniel Caesar & Giveon
56,Masterkraft,Egbon ft. Phyno
57,CKay,Felony
58,Davido,Jowo
59,Omah Lay,Damn ft. 6Lack
60,Judikay,Capable God
61,Mr Real,Baba Fela (Remix) ft. Laycon & Zlatan
62,Wizkid,Essence ft. Tems
63,Ajebo Hustlers,Pronto ft. Omah Lay
64,Bella Shmurda,Cash App ft. Zlatan & Lincoln
65,Dremo,Secure The Bag ft. Jeriq
66,Lil Kesh,Love Like This ft. Fireboy DML
67,Onos,Faithful God (Live)
68,Dj Kaywise,High Way ft. Phyno
69,Dangbana Republik,Rush
70,Jae5,Dimension ft. Skepta & Rema
71,Omah Lay,Lo Lo
72,J Martins,Sote
73,Dremo,East To West ft. Jeriq
74,Omah Lay,Damn
75,Ruger,Bounce
76,Bella Shmurda,Adura ft. Mohbad
77,Blaqbonez,Heartbreaker ft. Nasty C
78,Burna Boy,Monsters You Made ft. Chris Martin
79,Wizkid,Ginger ft. Burna Boy
80,Burna Boy,Bank On It
81,Masterkraft,Hallelu ft. Bella Shmurda & Zlatan
82,Joeboy,Call
83,Burna Boy,Real Life ft. Stormzy
84,Ajebutter22,King of Parole
85,Mercy Chinwo,Onyedikagi ft. Glowrie
86,Naira Marley,Chi Chi
87,Burna Boy,No Fit Vex
88,Fireboy DML,Afar ft. Olamide
89,Focalistic,Ke Star (Remix) ft. Davido & Virgo Deep
90,Mayorkun,Betty Butter ft. Davido
91,KDDO,Beamer Body ft. Davido
92,Burna Boy,Onyeka (Baby)
93,Chike,Roju
94,Teni,HUSTLE
95,Burna Boy,Wonderful
96,Barry Jhay,Ori
97,Laycon,Kele ft. Joeboy
98,MerryGoKids,Mama ft. Teni
