,song,artist
0,Feeling,"LADIPOE, Buju"
1,Rock,Olamide
2,Bounce,Rema
3,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign, Darkoo"
4,Bling (feat. Amaarae & Buju),Blaqbonez
5,Outside,Buju
6,Dimension (feat. Skepta & Rema),JAE5
7,Coming,Naira Marley
8,Kilometre,Burna Boy
9,m y . l i f e (with 21 Savage & Morray),J. Cole
10,Show Me,Joeboy
11,a m a r i,J. Cole
12,History,Cheque
13,Essence (feat. Tems),WizKid
14,Forever (Remix),Gyakie
15,Pronto,Ajebo Hustlers
16,Felony,CKay
17,p r i d e . i s . t h e . d e v i l (with Lil Baby),J. Cole
18,9 5 . s o u t h,J. Cole
19,Focus,Joeboy
20,Ke Star - Remix,Focalistic
21,Somebody Baby,DaVido
22,It Is What It Is,Adekunle Gold
23,La La (feat. Ckay),DaVido
24,Loved By You (feat. Burna Boy),Justin Bieber
25,Ginger (feat. Burna Boy),WizKid
26,Southy Love,Peruzzi
27,Running (To You),chike
28,a p p l y i n g . p r e s s u r e,J. Cole
29,World,Dangbana Republik
30,Blessed (feat. Damian Marley),WizKid
31,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber
32,l e t . g o . m y . h a n d (with Bas & 6LACK),J. Cole
33,FOR YOU,Teni
34,Early Momo,Vector
35,KOLO (feat. Oxlade),Ice Prince
36,Seeing Green (with Drake & Lil Wayne),Nicki Minaj
37,Rush,Dangbana Republik
38,1 0 0 . m i l ‘ (with Bas),J. Cole
39,i n t e r l u d e,J. Cole
40,Commitment Issues,Central Cee
41,23,Burna Boy
42,p u n c h i n ‘ . t h e . c l o c k,J. Cole
43,High Way,DJ Kaywise
44,The Best (feat. Mayorkun),DaVido
45,Fendi (feat. Joeboy),Blaqbonez
46,Hallelu,Masterkraft
47,Kilofeshe,Zinoleesky
48,Godly,Omah Lay
49,INJURE ME,Teni
50,KPK (Ko Por Ke),Rexxie
51,Too Correct,Crayon
52,Cash App,Bella Shmurda
53,t h e . c l i m b . b a c k,J. Cole
54,Okwaraji,Blaqbonez
55,Way Too Big,Burna Boy
56,Verified,LAYCON
57,Reckless,WizKid
58,Bank On It,Burna Boy
59,Loco (feat. Mayorkun),KDDO
60,Runaway,AURORA
61,Jowo,DaVido
62,Abu Dhabi,Ruger
63,Straightenin,Migos
64,h u n g e r . o n . h i l l s i d e (with Bas),J. Cole
65,Infinity (feat. Omah Lay),Olamide
66,Leave The Door Open,Bruno Mars
67,c l o s e,J. Cole
68,Heartbreak Anniversary,Giveon
69,Real Life (feat. Stormzy),Burna Boy
70,No Stress,WizKid
71,LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled
72,Body,Russ Millions
73,Door,Joeboy
74,Longtime (feat. Skepta),WizKid
75,Cho Cho,Zlatan
76,Sweet One,WizKid
77,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",Internet Money
78,Loading (feat. Bad Boy Timz),Olamide
79,Away,Ayra Starr
80,Mighty Wine,WizKid
81,Beamer Body,KDDO
82,RAPSTAR,Polo G
83,Koleyewon,Naira Marley
84,Holy Ground (feat. Nicki Minaj),DaVido
85,True Love (feat. Tay Iwar & Projexx),WizKid
86,Ruger,Ruger
87,Calling My Phone,Lil Tjay
88,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez
89,Damages,Tems
90,Mood Swings (feat. Lil Tjay),Pop Smoke
91,Piece of Me (feat. Ella Mai),WizKid
92,Sere - Remix,Spinall
93,BBC (feat. Tiwa Savage) [Remix],Blaqbonez
94,World - Alternate Cut,Dangbana Republik
95,Bad Influence,Omah Lay
96,Your Body,Mayorkun
97,Okay,Adekunle Gold
98,Onyeka (Baby),Burna Boy
