,song,artist
0,Feeling,"LADIPOE, Buju"
1,Bounce,Rema
2,Rock,Olamide
3,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign, Darkoo"
4,Bling (feat. Amaarae & Buju),Blaqbonez
5,Dimension (feat. Skepta & Rema),JAE5
6,m y . l i f e (with 21 Savage & Morray),J. Cole
7,Coming,Naira Marley
8,Kilometre,Burna Boy
9,a m a r i,J. Cole
10,Show Me,Joeboy
11,History,Cheque
12,Essence (feat. Tems),WizKid
13,9 5 . s o u t h,J. Cole
14,p r i d e . i s . t h e . d e v i l (with Lil Baby),J. Cole
15,Forever (Remix),Gyakie
16,Pronto,Ajebo Hustlers
17,Felony,CKay
18,Focus,Joeboy
19,Ke Star - Remix,Focalistic
20,Somebody Baby,DaVido
21,It Is What It Is,Adekunle Gold
22,a p p l y i n g . p r e s s u r e,J. Cole
23,Loved By You (feat. Burna Boy),Justin Bieber
24,La La (feat. Ckay),DaVido
25,l e t . g o . m y . h a n d (with Bas & 6LACK),J. Cole
26,Ginger (feat. Burna Boy),WizKid
27,Southy Love,Peruzzi
28,Running (To You),chike
29,1 0 0 . m i l ‘ (with Bas),J. Cole
30,i n t e r l u d e,J. Cole
31,World,Dangbana Republik
32,Seeing Green (with Drake & Lil Wayne),Nicki Minaj
33,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber
34,p u n c h i n ‘ . t h e . c l o c k,J. Cole
35,Blessed (feat. Damian Marley),WizKid
36,Commitment Issues,Central Cee
37,FOR YOU,Teni
38,KOLO (feat. Oxlade),Ice Prince
39,Rush,Dangbana Republik
40,Early Momo,Vector
41,23,Burna Boy
42,t h e . c l i m b . b a c k,J. Cole
43,Fendi (feat. Joeboy),Blaqbonez
44,High Way,DJ Kaywise
45,The Best (feat. Mayorkun),DaVido
46,Hallelu,Masterkraft
47,Godly,Omah Lay
48,Too Correct,Crayon
49,INJURE ME,Teni
50,Kilofeshe,Zinoleesky
51,KPK (Ko Por Ke),Rexxie
52,h u n g e r . o n . h i l l s i d e (with Bas),J. Cole
53,Okwaraji,Blaqbonez
54,c l o s e,J. Cole
55,Cash App,Bella Shmurda
56,Straightenin,Migos
57,Verified,LAYCON
58,Way Too Big,Burna Boy
59,Runaway,AURORA
60,Bank On It,Burna Boy
61,Reckless,WizKid
62,Loco (feat. Mayorkun),KDDO
63,Leave The Door Open,Bruno Mars
64,Jowo,DaVido
65,Focus Beat Dance,Hagman
66,Heartbreak Anniversary,Giveon
67,Abu Dhabi,Ruger
68,Infinity (feat. Omah Lay),Olamide
69,Body,Russ Millions
70,LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled
71,Real Life (feat. Stormzy),Burna Boy
72,Door,Joeboy
73,No Stress,WizKid
74,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",Internet Money
75,Longtime (feat. Skepta),WizKid
76,Cho Cho,Zlatan
77,Away,Ayra Starr
78,Beamer Body,KDDO
79,RAPSTAR,Polo G
80,Sweet One,WizKid
81,Koleyewon,Naira Marley
82,Holy Ground (feat. Nicki Minaj),DaVido
83,True Love (feat. Tay Iwar & Projexx),WizKid
84,Calling My Phone,Lil Tjay
85,Loading (feat. Bad Boy Timz),Olamide
86,Sere - Remix,Spinall
87,Mighty Wine,WizKid
88,BBC (feat. Tiwa Savage) [Remix],Blaqbonez
89,Damages,Tems
90,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez
91,Ruger,Ruger
92,Mood Swings (feat. Lil Tjay),Pop Smoke
93,World - Alternate Cut,Dangbana Republik
94,Piece of Me (feat. Ella Mai),WizKid
95,Outside,Buju
96,Your Body,Mayorkun
97,Okay,Adekunle Gold
98,Bad Influence,Omah Lay
