,song,artist
0,Feeling,"LADIPOE, Buju"
1,Rock,Olamide
2,Bounce,Rema
3,Outside,Buju
4,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign, Darkoo"
5,Bling (feat. Amaarae & Buju),"Blaqbonez, Buju"
6,Dimension (feat. Skepta & Rema),JAE5
7,Coming,Naira Marley
8,Kilometre,Burna Boy
9,Show Me,Joeboy
10,Essence (feat. Tems),WizKid
11,History,Cheque
12,m y . l i f e (with 21 Savage & Morray),J. Cole
13,Forever (Remix),Gyakie
14,Pronto,Ajebo Hustlers
15,a m a r i,J. Cole
16,Felony,CKay
17,Focus,Joeboy
18,Ke Star - Remix,Focalistic
19,Somebody Baby,DaVido
20,p r i d e . i s . t h e . d e v i l (with Lil Baby),J. Cole
21,It Is What It Is,Adekunle Gold
22,La La (feat. Ckay),DaVido
23,Southy Love,Peruzzi
24,Ginger (feat. Burna Boy),WizKid
25,9 5 . s o u t h,J. Cole
26,Loved By You (feat. Burna Boy),Justin Bieber
27,Running (To You),chike
28,World,Dangbana Republik
29,Blessed (feat. Damian Marley),WizKid
30,KOLO (feat. Oxlade),Ice Prince
31,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber
32,Early Momo,Vector
33,FOR YOU,Teni
34,Rush,Dangbana Republik
35,a p p l y i n g . p r e s s u r e,J. Cole
36,The Best (feat. Mayorkun),DaVido
37,Seeing Green (with Drake & Lil Wayne),Nicki Minaj
38,Commitment Issues,Central Cee
39,23,Burna Boy
40,High Way,DJ Kaywise
41,l e t . g o . m y . h a n d (with Bas & 6LACK),J. Cole
42,Kilofeshe,Zinoleesky
43,Hallelu,Masterkraft
44,INJURE ME,Teni
45,Godly,Omah Lay
46,KPK (Ko Por Ke),Rexxie
47,i n t e r l u d e,J. Cole
48,1 0 0 . m i l ‘ (with Bas),J. Cole
49,Too Correct,Crayon
50,Fendi (feat. Joeboy),Blaqbonez
51,Okwaraji,Blaqbonez
52,p u n c h i n ‘ . t h e . c l o c k,J. Cole
53,Way Too Big,Burna Boy
54,Cash App,Bella Shmurda
55,Jowo,DaVido
56,Reckless,WizKid
57,Bank On It,Burna Boy
58,Verified,LAYCON
59,Abu Dhabi,Ruger
60,Runaway,AURORA
61,Infinity (feat. Omah Lay),Olamide
62,Leave The Door Open,Bruno Mars
63,t h e . c l i m b . b a c k,J. Cole
64,Loco (feat. Mayorkun),KDDO
65,Door,Joeboy
66,Heartbreak Anniversary,Giveon
67,Real Life (feat. Stormzy),Burna Boy
68,No Stress,WizKid
69,Longtime (feat. Skepta),WizKid
70,Body,Russ Millions
71,RAPSTAR,Polo G
72,h u n g e r . o n . h i l l s i d e (with Bas),J. Cole
73,LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled
74,Holy Ground (feat. Nicki Minaj),DaVido
75,Beamer Body,KDDO
76,Cho Cho,Zlatan
77,Straightenin,Migos
78,Away,Ayra Starr
79,Koleyewon,Naira Marley
80,c l o s e,J. Cole
81,Sweet One,WizKid
82,Mighty Wine,WizKid
83,Ruger,Ruger
84,Loading (feat. Bad Boy Timz),Olamide
85,True Love (feat. Tay Iwar & Projexx),WizKid
86,Damages,Tems
87,Calling My Phone,Lil Tjay
88,Piece of Me (feat. Ella Mai),WizKid
89,Bad Influence,Omah Lay
90,Mood Swings (feat. Lil Tjay),Pop Smoke
91,BBC (feat. Tiwa Savage) [Remix],Blaqbonez
92,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez
93,Onyeka (Baby),Burna Boy
94,Your Body,Mayorkun
95,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",Internet Money
96,Sere - Remix,Spinall
97,Okay,Adekunle Gold
98,Kilofese - Remix,Zinoleesky
